# TOTAL_GENES = 16492
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                SET      22     -0.28387    -0.010361      0.17701      0.94559 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                SET      41      0.10234    0.0050965      0.14864      0.24558 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_UP                SET      13      0.25213    0.0070763      0.22764      0.13403 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS              SET      15     0.060459    0.0018226      0.22748      0.39521 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...         SET      13     -0.21201   -0.0059503      0.26606      0.78722 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                           SET      39     0.072062    0.0035003      0.16173      0.32796 ABE_INNER_EAR
ABE_VEGFA_TARGETS                       SET      15    -0.061699   -0.0018599       0.2364      0.60295 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                   SET      29      0.21853     0.009156      0.16583     0.093797 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                 SET      26      0.15092     0.005988      0.19508      0.21958 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1        SET      20     -0.20699    -0.007204      0.19781       0.8523 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2        SET      25      0.26677     0.010379      0.17155     0.059982 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE             SET      39      -0.1915   -0.0093016      0.15909      0.88564 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                 SET     489     0.091645     0.015545     0.042537      0.01561 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                 SET     858     0.030959    0.0068756     0.033822      0.18001 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1        SET     150    -0.040997   -0.0038921      0.08046       0.6948 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2        SET     228     -0.15404    -0.017987     0.066015      0.99018 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3        SET      83     0.084919    0.0060093     0.093622       0.1822 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4        SET     115     -0.15702    -0.013066      0.09045       0.9587 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1        SET     240      0.13238     0.015854     0.061422     0.015578 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2        SET     758    -0.024218   -0.0050714     0.036198      0.74826 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...         SET     698     0.041819    0.0084195     0.037813      0.13438 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1        SET     323     0.050186    0.0069545     0.050941      0.16227 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2        SET     154     0.030222    0.0029068     0.077109      0.34756 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1        SET     105    -0.049449   -0.0039332     0.092655      0.70322 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2        SET      76    -0.075901   -0.0051408      0.10097      0.77388 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...         SET      71   -0.0058157  -0.00038077      0.10492       0.5221 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                    SET     233     0.075594    0.0089218      0.06284      0.11451 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                    SET     178     0.070382    0.0072726     0.075137      0.17446 AFFAR_YY1_TARGETS_UP
AGUIRRE_PANCREATIC_CANCER_CO...1        SET     219     0.076556    0.0087634     0.071132      0.14092 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2        SET     273     -0.02217   -0.0028288     0.066974      0.62969 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                     SET      33     0.060551    0.0027059      0.16094      0.35337 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                 SET      28    -0.077554    -0.003193      0.19483      0.65471 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                 SET      36     -0.21275   -0.0099293      0.16504       0.9013 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                  SET      59     -0.10019   -0.0059819      0.13465      0.77157 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                  SET      24      0.25747     0.009815       0.2205      0.12148 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1        SET     170      0.08076    0.0081573     0.071061      0.12789 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2        SET     122      0.11895     0.010194     0.092029     0.098089 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                        SET      81    0.0067177   0.00046964      0.10568      0.47466 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                      SET     225     0.025379    0.0029442      0.06138      0.33963 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                    SET      23      0.36865     0.013758      0.19457     0.029074 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_UP                SET      31     -0.17918   -0.0077613      0.17665      0.84478 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP             SET      15    -0.061771   -0.0018621      0.25594      0.59536 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                    SET     172    0.0022401   0.00022758     0.071282      0.48747 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...         SET     117    -0.034391   -0.0028865     0.087823      0.65232 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...         SET      96    -0.080706   -0.0061397     0.091878      0.81013 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                SET      18     -0.12046   -0.0039776      0.21744      0.71021 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA              SET      61      0.31219     0.018952      0.12987    0.0081198 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A            SET      39     0.066488    0.0032295        0.156      0.33498 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA               SET      12    -0.082464   -0.0022237      0.29211      0.61114 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A             SET      11      0.21901    0.0056545      0.35397      0.26806 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA              SET      56      0.20671     0.012025      0.12334     0.046886 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A            SET      21     0.032835     0.001171      0.19864      0.43435 AMIT_EGF_RESPONSE_240_MCF10A
