# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = BERENJENO_TRANSFORMED_BY_RHOA_DN (set)
# _SET1_  NGENES = 360
# _SET1_  P-VALUE = 6.29412e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000175756     1    1274110    1345875    209      14  195813      0.48597      0.28455    8.5598e-14      0.48597
_SET1_   ENSG00000162413     1    6615784    6709667    205      32  195813    -0.091874      0.49569    8.5612e-14    -0.091874
_SET1_   ENSG00000116285     1    8029464    8121368    142      12  195813     -0.03674      0.42176    8.5619e-14     -0.03674
_SET1_   ENSG00000120937     1   11882521   11953988    321      29  195813      0.98195      0.13037    8.5598e-14      0.98195
_SET1_   ENSG00000070831     1   22344120   22454437    403      25  195813       0.4474      0.26799    8.5598e-14       0.4474
_SET1_   ENSG00000117632     1   26175672   26268482    121      11  195813      0.62315      0.19499    8.5598e-14      0.62315
_SET1_   ENSG00000117713     1   26987524   27143595    208      14  195813     -0.10432      0.50713    8.5612e-14     -0.10432
_SET1_   ENSG00000117751     1   28122289   28213187    139      19  195813      -1.3955      0.90554    8.5709e-14      -1.3955
_SET1_   ENSG00000116514     1   33367046   33465286    184      19  195813      0.97237       0.1295    8.5598e-14      0.97237
_SET1_   ENSG00000117000     1   40592045   40741593    186      25  195813       1.6618     0.040195    8.5709e-14       1.6618
_SET1_   ENSG00000117450     1   45941708   46023719    187      12  195813     -0.11604      0.44549    8.5612e-14     -0.11604
_SET1_   ENSG00000123080     1   51391417   51475305    122      15  195813       1.9931     0.016051    8.5709e-14       1.9931
_SET1_   ENSG00000172380     1   68132149   68334150    530      32  195813     -0.20747      0.51317    8.5626e-14     -0.20747
_SET1_   ENSG00000137947     1   89283615   89392627    386      20  195813      0.76066      0.18218    8.5598e-14      0.76066
_SET1_   ENSG00000143106     1  109906653  110004062    149      13  195813       2.0274     0.013105    8.5709e-14       2.0274
_SET1_   ENSG00000065135     1  110056233  110171975    215      30  195813       2.0659     0.014534    8.5709e-14       2.0659
_SET1_   ENSG00000155363     1  113180763  113278368    177      27  195813     -0.45699      0.62693    8.5598e-14     -0.45699
_SET1_   ENSG00000155380     1  113419469  113534635    197      23  195813      0.59492      0.22812    8.5598e-14      0.59492
_SET1_   ENSG00000143437     1  150747181  150884244    229      20  195813       2.4421     0.004335    8.5709e-14       2.4421
_SET1_   ENSG00000159352     1  151192179  151274955    101      13  195813     -0.73484      0.71438    8.5598e-14     -0.73484
_SET1_   ENSG00000169291     1  154407248  154509589    275      17  195813       3.9856   1.2539e-05    8.5709e-14       3.9856
_SET1_   ENSG00000143603     1  154634931  154877756    671     101  195813       2.8263    0.0025715    8.5709e-14       2.8263
_SET1_   ENSG00000160691     1  154899774  154981871    117      19  195813       2.7859    0.0020106    8.5709e-14       2.7859
_SET1_   ENSG00000163563     1  158766107  158854296    357      26  195813       2.2494    0.0074128    8.5709e-14       2.2494
_SET1_   ENSG00000143171     1  165335159  165449433    453      54  195813     -0.43928      0.64508    8.5598e-14     -0.43928
_SET1_   ENSG00000188404     1  169624808  169715839    458      31  195813     -0.32063       0.5663    8.5598e-14     -0.32063
_SET1_   ENSG00000152092     1  176791438  177169109    942      64  195813     0.034906      0.46038    8.5619e-14     0.034906
_SET1_   ENSG00000047410     1  186245784  186379825    289      20  195813       2.3076     0.006272    8.5709e-14       2.3076
_SET1_   ENSG00000116741     1  192743169  192816403    201      27  195813      -1.8635      0.95707    8.5709e-14      -1.8635
_SET1_   ENSG00000000971     1  196586008  196751634    361      19  195813       1.2385     0.070953    8.5709e-14       1.2385
_SET1_   ENSG00000163485     1  203024782  203171533    414      57  195813     -0.43349       0.6435    8.5598e-14     -0.43349
_SET1_   ENSG00000133048     1  203113059  203190877    262      37  195813      0.15806      0.39573    8.5626e-14      0.15806
_SET1_   ENSG00000174567     1  204132288  204218220    290      32  195813      0.79548      0.17531    8.5598e-14      0.79548
_SET1_   ENSG00000143850     1  204152979  204381793    700      52  195813     -0.45263      0.63184    8.5598e-14     -0.45263
_SET1_   ENSG00000162889     1  206823289  206942628    331      36  195813       2.4388    0.0056625    8.5709e-14       2.4388
_SET1_   ENSG00000117595     1  209924036  210014465    304      21  195813      0.88636      0.13864    8.5598e-14      0.88636
_SET1_   ENSG00000082512     1  211464957  211583288    332      30  195813       -0.421      0.64526    8.5598e-14       -0.421
_SET1_   ENSG00000196660     1  219823769  220166989   1206      54  195813     -0.20241      0.53026    8.5626e-14     -0.20241
_SET1_   ENSG00000181450     1  227716244  227900144    487      23  195813      -1.5298       0.9053    8.5709e-14      -1.5298
_SET1_   ENSG00000135766     1  231464497  231595790    472      13  195813     -0.27645       0.4936    8.5598e-14     -0.27645
