# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I (set)
# _SET1_  NGENES = 34
# _SET1_  P-VALUE = 5.65576e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000084636     1   32082848   32204920     96      11  223679       4.0262   1.5132e-05    1.1635e-13       4.0262
_SET1_   ENSG00000198892     1  201822808  201896434     42       7  237923       5.2883   4.8452e-09    1.1635e-13       5.2883
_SET1_   ENSG00000143811     1  226072578  226146978     31      10  224701      -1.9705      0.96667    1.1613e-13      -1.9705
_SET1_   ENSG00000171303     2   26880619   26991288     49       8  243798       4.1151   1.2998e-06    1.1635e-13       4.1151
_SET1_   ENSG00000150938     2   36548069   36813278    400      43  226396       1.3849     0.058233    1.1613e-13       1.3849
_SET1_   ENSG00000115935     2  175389300  175582644    128      19  228297      0.17457      0.38145     1.161e-13      0.17457
_SET1_   ENSG00000152056     2  224581403  224737744    154      22  227143       1.0084      0.13517    1.1613e-13       1.0084
_SET1_   ENSG00000068024     2  239934864  240358348    381      58  222170      0.79715      0.27425    1.1613e-13      0.79715
_SET1_   ENSG00000114166     3   20046515   20230896    175      24  226768       1.1683      0.10615    1.1613e-13       1.1683
_SET1_   ENSG00000145781     5  115385688  115783459    647      28  227053       -0.153      0.22159     1.161e-13       -0.153
_SET1_   ENSG00000120885     8   27419434   27507548    110      18  227656    -0.077174      0.48961    1.1612e-13    -0.077174
_SET1_   ENSG00000180828     8   65457814   65531181     30       6  237180     -0.76415       0.6299    1.1613e-13     -0.76415
_SET1_   ENSG00000104375     8   99378631   99990055    228      23  225383       1.1924     0.086408    1.1613e-13       1.1924
_SET1_   ENSG00000171843     9   20306663   20657542    302      42  219057       2.0017     0.030686    1.1591e-13       2.0017
_SET1_   ENSG00000130222     9   92184928   92256470    114      13  222847       3.2353   0.00040693    1.1591e-13       3.2353
_SET1_   ENSG00000067064    10    1050848    1130110     79      13  231747     -0.53228      0.62911    1.1613e-13     -0.53228
_SET1_   ENSG00000167325    11    4080937    4195106    157      14  231890      -1.6336      0.91067    1.1613e-13      -1.6336
_SET1_   ENSG00000149743    11   63956271   64028726     35       6  225677       1.3641     0.056762    1.1613e-13       1.3641
_SET1_   ENSG00000175467    11   65694160   65782299     44       5  228733      0.27824      0.28014    1.1613e-13      0.27824
_SET1_   ENSG00000166086    11  133903820  134056896    149      12  228010      0.12506      0.35618     1.161e-13      0.12506
_SET1_   ENSG00000167588    12   50462602   50540102     37       4  236579       -1.134      0.74321    1.1613e-13       -1.134
_SET1_   ENSG00000123338    12   54856495   54972726     81      21  223729     0.065219      0.49409    1.1612e-13     0.065219
_SET1_   ENSG00000011465    12   91504025   91611900     76      10  200721        0.744      0.37021    1.1613e-13        0.744
_SET1_   ENSG00000128917    15   41186538   41266237     38       9  217409       1.2088      0.10257    1.1613e-13       1.2088
_SET1_   ENSG00000137764    15   67800047   68134461    272      14  283278       4.8273   2.0015e-11    1.1635e-13       4.8273
_SET1_   ENSG00000140694    16   14494558   14761585     70      11  225813     0.014064      0.45067    1.1611e-13     0.014064
_SET1_   ENSG00000108381    17    3340668    3441713    124      24  220422    -0.076811      0.56977    1.1612e-13    -0.076811
_SET1_   ENSG00000128422    17   39740689   39816094     41       5  198966      0.75321      0.26636    1.1613e-13      0.75321
_SET1_   ENSG00000108984    17   67375839   67574472    195      33  219782       1.1872      0.14692    1.1613e-13       1.1872
_SET1_   ENSG00000141564    17   78483619   78975171    609      48  229006       3.2494   6.4333e-05    1.1591e-13       3.2494
_SET1_   ENSG00000082397    18    5357383    5665699    292      40  224176      0.49143      0.32141    1.1613e-13      0.49143
_SET1_   ENSG00000178184    18   77880115   78040429    102      12  230647     -0.18626      0.48519     1.161e-13     -0.18626
_SET1_   ENSG00000127511    19   16905211   17026164     54      11  222724    -0.081884      0.49501    1.1612e-13    -0.081884
_SET1_   ENSG00000125977    20   32641104   32735138     42       4  230641        2.177    0.0059585    1.1591e-13        2.177
