# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = LU_AGING_BRAIN_DN (set)
# _SET1_  NGENES = 138
# _SET1_  P-VALUE = 7.87162e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000116237     1    6246253    6331032     23       6  204402        1.242     0.040755   -6.6613e-16        1.242
_SET1_   ENSG00000171608     1    9676790    9824172     45      12  204402     -0.12986      0.34851   -7.2164e-16     -0.12986
_SET1_   ENSG00000175206     1   11870766   11943402     84      14  204402       1.4842     0.022366   -6.6613e-16       1.4842
_SET1_   ENSG00000162496     1   12592939   12712737    100      26  204402      -1.1119      0.72696   -6.6613e-16      -1.1119
_SET1_   ENSG00000126067     1   36032185   36142445     27       4  204402        1.799      0.02088   -6.6613e-16        1.799
_SET1_   ENSG00000142961     1   47038387   47117563     50       7  204402      0.72149      0.10557   -7.7716e-16      0.72149
_SET1_   ENSG00000123080     1   51391417   51475305     21       3  204402       1.7792     0.011275   -6.6613e-16       1.7792
_SET1_   ENSG00000116754     1   70636365   70753735     28       6  204402       2.8318   0.00047728   -8.8818e-16       2.8318
_SET1_   ENSG00000116874     1  119538839  119718294    179      16  204402     -0.67757       0.5453   -7.7716e-16     -0.67757
_SET1_   ENSG00000143369     1  150445538  150521265     47       6  204402        3.071   0.00016045   -8.8818e-16        3.071
_SET1_   ENSG00000163155     1  151097224  151173424     23       6  204402       1.0396     0.060851   -6.6613e-16       1.0396
_SET1_   ENSG00000196154     1  153481089  153557612     17       2  204402       1.9231     0.013039   -6.6613e-16       1.9231
_SET1_   ENSG00000160691     1  154899774  154981871     28       5  204402       1.7739     0.011139   -6.6613e-16       1.7739
_SET1_   ENSG00000163468     1  156243759  156372664     78      11  204402       2.4951    0.0011808   -8.8818e-16       2.4951
_SET1_   ENSG00000143257     1  161164456  161243092     68      17  204402       1.8556    0.0085842   -6.6613e-16       1.8556
_SET1_   ENSG00000117594     1  209824510  209943295     97      10  204402     -0.97951      0.68223   -7.7716e-16     -0.97951
_SET1_   ENSG00000117650     1  211801114  211883960    102      17  204402       1.3391     0.029965   -6.6613e-16       1.3391
_SET1_   ENSG00000180875     1  240617873  240810449    198      50  204402     0.042309      0.30308   -7.2858e-16     0.042309
_SET1_   ENSG00000117009     1  241660434  241793944    104      23  204402      0.65562      0.11803   -7.7716e-16      0.65562
_SET1_   ENSG00000005436     2   75844126   75973115    121      13  204402       0.3998      0.16981   -7.2164e-16       0.3998
_SET1_   ENSG00000168280     2  149597819  149918273     96      10  204402      0.84479     0.087321   -7.7716e-16      0.84479
_SET1_   ENSG00000115524     2  198219508  198334815     26       3  204402       1.8724    0.0088346   -6.6613e-16       1.8724
_SET1_   ENSG00000138376     2  215555370  215709428    148      24  204402       1.6298     0.015132   -6.6613e-16       1.6298
_SET1_   ENSG00000138363     2  216141540  216249487     84      11  204402      0.56255      0.13487   -7.7716e-16      0.56255
_SET1_   ENSG00000243135     2  234602754  234716945    234      30  204402       1.4465     0.023211   -6.6613e-16       1.4465
_SET1_   ENSG00000144476     2  237441430  237526001     47       8  204402      0.64319      0.13341   -7.7716e-16      0.64319
_SET1_   ENSG00000132330     2  238934530  239043054     92      10  204402      0.48241      0.15714   -7.2164e-16      0.48241
_SET1_   ENSG00000145020     3   49419211   49495186     23       3  204402       3.6996   1.2852e-05   -8.8818e-16       3.6996
_SET1_   ENSG00000016391     3   53811362   53915417     74      14  204402      0.51089      0.14646   -7.7716e-16      0.51089
_SET1_   ENSG00000114405     3   62269648   62356888     24       5  204402     -0.71572      0.57317   -7.7716e-16     -0.71572
_SET1_   ENSG00000082701     3  119505170  119848264    171      18  204402        2.386    0.0016992   -8.8818e-16        2.386
_SET1_   ENSG00000180767     3  126208126  126297134     69      10  204402      -2.5148       0.9757   -8.8818e-16      -2.5148
_SET1_   ENSG00000069849     3  141559966  141680356     89      15  204402     0.092397      0.26953   -7.3552e-16     0.092397
_SET1_   ENSG00000163882     3  184044506  184121384     34      13  204402       2.2911    0.0023491   -8.8818e-16       2.2911
_SET1_   ENSG00000181092     3  186525463  186611252     40      13  204402     -0.58686      0.52103   -7.7716e-16     -0.58686
_SET1_   ENSG00000182899     3  197641858  197718481     42       5  204402      0.64528      0.13411   -7.7716e-16      0.64528
_SET1_   ENSG00000163993     4    6659796    6733897     47      14  204402      -1.1232      0.71985   -6.6613e-16      -1.1232
_SET1_   ENSG00000138755     4   76887428   76963641     80       6  204402     -0.37488      0.43669   -7.2164e-16     -0.37488
_SET1_   ENSG00000138750     4   77000812   77104668    122      11  204402       1.9438    0.0068466   -6.6613e-16       1.9438
_SET1_   ENSG00000174720     4  113523120  113613748     30       8  204402       2.0835     0.004471   -8.8818e-16       2.0835
_SET1_   ENSG00000071205     4  148618214  149028931    271      31  204402       2.0112    0.0060712   -8.8818e-16       2.0112
_SET1_   ENSG00000164236     5   10529442   10685308    156      30  204402     -0.31551      0.41657   -7.2164e-16     -0.31551
_SET1_   ENSG00000044115     5  137911656  138305723    212       9  204402       1.6823      0.01187   -6.6613e-16       1.6823
_SET1_   ENSG00000094755     5  170155354  170276051    142      25  204402     -0.34311      0.42117   -7.2164e-16     -0.34311
_SET1_   ENSG00000137198     6   16203811   16330780     77      16  204402      0.33496      0.19689   -7.2164e-16      0.33496
_SET1_   ENSG00000231500     6   33204787   33279287     34       5  204402       2.3977    0.0017405   -8.8818e-16       2.3977
