# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_15 (set)
# _SET1_  NGENES = 29
# _SET1_  P-VALUE = 4.10087e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000215788     1    6486211    6561255    227      31  59957        3.388   2.2836e-05    1.8208e-14        3.388
_SET1_   ENSG00000131389     3   14409076   14565857    595     103  59957     -0.94454      0.47186    1.8319e-14     -0.94454
_SET1_   ENSG00000173702     3  124589289  124707663    446      61  59957       1.1558     0.018056    1.8208e-14       1.1558
_SET1_   ENSG00000113916     3  187404165  187498515    352      41  59957       1.6312    0.0068241    1.8208e-14       1.6312
_SET1_   ENSG00000164023     4  108710719  108871203    419      58  59957    -0.085103      0.20157    1.8291e-14    -0.085103
_SET1_   ENSG00000113525     5  131842136  131927530    183      22  59957       3.4349   1.5773e-05    1.8208e-14       3.4349
_SET1_   ENSG00000113615     5  133949479  134098513    297      32  59957     -0.32129      0.40985    1.8263e-14     -0.32129
_SET1_   ENSG00000160867     5  176478887  176560145    296      39  59957       2.5215   0.00041959    1.8208e-14       2.5215
_SET1_   ENSG00000112679     6     256630     386355    202      52  59957      0.60257     0.087267    1.8319e-14      0.60257
_SET1_   ENSG00000204657     6   29520683   29591745    286      32  59957       2.8714    0.0001404    1.8208e-14       2.8714
_SET1_   ENSG00000179344     6   32592244   32671160    634      33  59957       6.2753   8.1455e-13    1.8652e-14       6.2753
_SET1_   ENSG00000204228     6   33137419   33209608    241      41  59957       2.3438   0.00060932    1.8208e-14       2.3438
_SET1_   ENSG00000104419     8  134214414  134349265    564      72  59957       1.1532     0.017583    1.8208e-14       1.1532
_SET1_   ENSG00000096968     9    4950033    5163183    734      38  59957        7.021   3.0159e-15    1.8652e-14        7.021
_SET1_   ENSG00000151474    10   13650706   14539141   4257     300  59957      0.38221     0.067033    1.8263e-14      0.38221
_SET1_   ENSG00000107758    10   75161186   75290782    349      11  59957      0.86816      0.15536    1.8319e-14      0.86816
_SET1_   ENSG00000006071    11   17379432   17533449    648      61  59957       2.7065   0.00014245    1.8208e-14       2.7065
_SET1_   ENSG00000213619    11   47551888   47641114    179      33  59957      0.17038      0.15749    1.8291e-14      0.17038
_SET1_   ENSG00000176463    15   92361925   92750665   1517     125  59957      -1.3625      0.65739    1.8208e-14      -1.3625
_SET1_   ENSG00000048462    16   12023964   12096925    275      28  59957      0.46836      0.10718    1.8263e-14      0.46836
_SET1_   ENSG00000155393    16   50064852   50175298    329      21  59957       3.3738   2.6777e-05    1.8208e-14       3.3738
_SET1_   ENSG00000257017    16   72053491   72129954    242      32  59957       2.2693   0.00077344    1.8208e-14       2.2693
_SET1_   ENSG00000186187    16   74997928   75179892    587      49  59957     0.031047      0.19717    1.8287e-14     0.031047
_SET1_   ENSG00000179094    17    8008790    8094824    281      38  59957     -0.70434      0.44492    1.8319e-14     -0.70434
_SET1_   ENSG00000108587    17   28769380   28889610    238      28  59957     -0.30727      0.27973    1.8263e-14     -0.30727
_SET1_   ENSG00000186868    17   43936748   44140700   1152       7  59957       2.0499    0.0081653    1.8208e-14       2.0499
_SET1_   ENSG00000011132    19    3715817    3796697    323      53  59957     -0.70145      0.39211    1.8319e-14     -0.70145
_SET1_   ENSG00000221983    19   18647540   18723360    224      28  59957    -0.095261       0.2051    1.8291e-14    -0.095261
_SET1_   ENSG00000101138    20   54932427   55014518    248      65  59957       2.8142   9.1776e-05    1.8208e-14       2.8142
