# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000188976    1     844584     929689      5       2  195813       1.9686    8.5487e-14       1.9686
ENSG00000187961    1     860967     936095      9       2  195813        2.409    8.5709e-14        2.409
ENSG00000187583    1     866877     946245     20       2  195813       2.4883    8.5709e-14       2.4883
ENSG00000188290    1     899342     970552     55       3  195813       1.9763    8.5487e-14       1.9763
ENSG00000187608    1     913803     984920     61       4  195813       2.0409    8.5709e-14       2.0409
ENSG00000188157    1     920503    1026496    127       9  195813        1.695    8.5487e-14        1.695
ENSG00000237330    1     971346    1044687    133      14  195813      0.59247    8.5487e-14      0.59247
ENSG00000131591    1     982198    1086741    236      20  195813      0.55128    8.5487e-14      0.55128
ENSG00000162571    1    1074264    1168315    306      22  195813      -1.2479    8.5487e-14      -1.2479
ENSG00000186891    1    1103888    1177071    314      20  195813      -1.1738    8.5487e-14      -1.1738
ENSG00000186827    1    1111706    1184518    306      16  195813      -1.4777    8.5487e-14      -1.4777
ENSG00000078808    1    1117288    1202411    343      18  195813      -1.2806    8.5487e-14      -1.2806
ENSG00000176022    1    1132629    1205421    270      15  195813      -1.0549    8.5487e-14      -1.0549
ENSG00000160087    1    1154289    1244265    307      21  195813     -0.67073    8.5487e-14     -0.67073
ENSG00000162572    1    1180816    1262409    196      21  195813     0.022289    8.5491e-14     0.022289
ENSG00000131584    1    1192756    1279989    205      19  195813    -0.022945    8.5491e-14    -0.022945
ENSG00000169972    1    1208947    1282057    172      17  195813     -0.34026    8.5487e-14     -0.34026
ENSG00000169962    1    1231694    1305686    189      13  195813     0.038469    8.5494e-14     0.038469
ENSG00000107404    1    1235656    1319730    232      14  195813      0.20501    8.5487e-14      0.20501
ENSG00000162576    1    1253069    1332157    222      14  195813      0.30218    8.5487e-14      0.30218
ENSG00000175756    1    1274110    1345875    209      14  195813      0.48597    8.5487e-14      0.48597
ENSG00000221978    1    1286091    1369708    254      12  195813      0.51906    8.5487e-14      0.51906
