# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = PID_GLYPICAN_1PATHWAY (set)
# _SET1_  NGENES = 27
# _SET1_  P-VALUE = 2.19751e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000171793     1   41410007   41513235    442      49  146152     -0.47698      0.56215   -2.9976e-15     -0.47698
_SET1_   ENSG00000143569     1  154157655  154278986    260      31  136204     -0.50519      0.56219   -2.9976e-15     -0.50519
_SET1_   ENSG00000163346     1  154881552  154963599    179      34  139720      0.44478      0.22018   -2.9976e-15      0.44478
_SET1_   ENSG00000144426     2  203844602  204126101    637      40  141588     -0.68082      0.64059   -2.9976e-15     -0.68082
_SET1_   ENSG00000177479     3   48921254   49058815    195      29  138563       1.0838     0.078284   -3.1086e-15       1.0838
_SET1_   ENSG00000158092     3  136546050  136703665    468      23  148323     0.021779      0.36453   -3.0219e-15     0.021779
_SET1_   ENSG00000114744     3  149421257  149505286    327      42  139202      0.23663      0.28986   -3.0254e-15      0.23663
_SET1_   ENSG00000178053     3  158253952  158360041    411      30  151163       2.0296    0.0094725   -3.1086e-15       2.0296
_SET1_   ENSG00000109501     4    6236576    6339992    570      50  142125       7.2619    5.036e-20   -2.6645e-15       7.2619
_SET1_   ENSG00000164405     5  132167252  132238723    205      30  141965      -0.4714       0.5561   -2.9976e-15      -0.4714
_SET1_   ENSG00000156427     5  170811660  170919627    411      70  134095     -0.18173      0.43594   -3.0254e-15     -0.18173
_SET1_   ENSG00000174705     5  171717185  171916527    929      68  142650      -3.1043      0.99699   -3.1086e-15      -3.1043
_SET1_   ENSG00000083123     6   80781364   81090987   1174      39  148025       1.3206     0.045476   -3.1086e-15       1.3206
_SET1_   ENSG00000112425     6  145787719  146092160   1014      22  149250        1.487     0.032883   -3.1086e-15        1.487
_SET1_   ENSG00000122507     7   33133856   33680680   2257      82  142363     -0.56668      0.54194   -2.9976e-15     -0.56668
_SET1_   ENSG00000008513     8  134432091  134619183    950     132  147499      0.89124      0.11384   -2.9976e-15      0.89124
_SET1_   ENSG00000147872     9   19073373   19184288    534      65  147032       1.6602     0.023721   -3.1086e-15       1.6602
_SET1_   ENSG00000108175    10   80793792   81111276   1428     182  145113       5.5692   1.8465e-09   -2.6645e-15       5.5692
_SET1_   ENSG00000148737    10  114675009  114962437    974     143  138864       7.2936    8.795e-22   -2.6645e-15       7.2936
_SET1_   ENSG00000110092    11   69420855   69504242    291      40  141290       3.1494   0.00025192   -3.1086e-15       3.1494
_SET1_   ENSG00000183542    12   10524983   10597356    226      26  145445       -1.001      0.75069   -3.1086e-15       -1.001
_SET1_   ENSG00000149948    12   66182911   66395075    595      60  139781       4.9907   6.1874e-08   -2.6645e-15       4.9907
_SET1_   ENSG00000166822    16   75441952   75534395    480      37  146098     0.085067       0.3374   -3.0254e-15     0.085067
_SET1_   ENSG00000133026    17    8342523    8569079    584      48  138286        1.174     0.064272   -3.1086e-15        1.174
_SET1_   ENSG00000133030    17   16910859   17155993   1014      51  129898       1.7963     0.017029   -3.1086e-15       1.7963
_SET1_   ENSG00000101158    20   57521263   57605188    274      40  144380       2.3374    0.0038057   -3.1086e-15       2.3374
_SET1_   ENSG00000160298    21   47685095   47778789    432      36  148800     -0.47256      0.55951   -2.9976e-15     -0.47256
