# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_INTERLEUKIN_27_SIGNALING (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 4.92047e-08
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000132196     1  162725492  162817607     49      11  204402       1.3079     0.035082   -6.6613e-16       1.3079
_SET1_   ENSG00000133835     5  118753138  119007894    205      22  204402      -1.4433      0.80561   -6.6613e-16      -1.4433
_SET1_   ENSG00000049541     7   73610829   73703774     13       4  204402       -1.882      0.92928   -6.6613e-16       -1.882
_SET1_   ENSG00000198363     8   62378116   62662155    266      24  204402      0.65092      0.10947   -7.7716e-16      0.65092
_SET1_   ENSG00000151640    10  133965404  134054280     45       6  204402      -0.2466      0.39116   -7.2164e-16      -0.2466
_SET1_   ENSG00000135100    12  121381346  121475315     75      13  204402       7.1499   7.6052e-15   -8.8818e-16       7.1499
_SET1_   ENSG00000198826    15   32872345   32967150     34      11  204402     -0.46899      0.47728   -7.2164e-16     -0.46899
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000176463    15   92361925   92750665    426      64  204402       2.0507    0.0048715   -8.8818e-16       2.0507
_SET1_   ENSG00000205220    16   67933405   68005990     16       4  204402     -0.44751      0.51527   -7.2164e-16     -0.44751
_SET1_   ENSG00000072210    17   19516449   19615911     43       4  204402      -0.5475      0.51278   -7.7716e-16      -0.5475

# _SET2_  VARIABLE = YIH_RESPONSE_TO_ARSENITE_C3 (set)
# _SET2_  NGENES = 26
# _SET2_  P-VALUE = 5.6858e-07
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000162613     1   78374740   78479794     39       7  204402     -0.65345      0.59793   -7.7716e-16     -0.65345
_SET2_   ENSG00000213190     1  150995234  151075970     40       8  204402       0.6722      0.12181   -7.7716e-16       0.6722
_SET2_   ENSG00000158710     1  159852897  159930522     90      22  204402       3.4204   4.1207e-05   -8.8818e-16       3.4204
_SET2_   ENSG00000023228     2  206944541  207059327     54       5  204402      0.79758     0.092949   -7.7716e-16      0.79758
_SET2_   ENSG00000241635     2  234491291  234716956    414      35  204402      0.88927     0.065175   -7.7716e-16      0.88927
_SET2_   ENSG00000163947     3   56726446   57148357    353      55  204402      0.59057      0.13178   -7.7716e-16      0.59057
_SET2_   ENSG00000081189     5   87978975   88234922    141      16  204402      0.76915     0.093307   -7.7716e-16      0.76915
_SET2_   ENSG00000160867     5  176478887  176560145     40       9  204402     -0.35245      0.44113   -7.2164e-16     -0.35245
_SET2_   ENSG00000171453     6   43442440   43532323     26       4  204402      0.87329     0.096818   -7.7716e-16      0.87329
_SET2_   ENSG00000118526     6  134175276  134251691     88      10  204402       0.3863      0.17956   -7.2164e-16       0.3863
_SET2_   ENSG00000198791     8   17051737   17139387     83      12  204402    -0.053131      0.31637   -7.2858e-16    -0.053131
_SET2_   ENSG00000061337     8   20068676   20196474    128      31  204402     -0.47589       0.4817   -7.2164e-16     -0.47589
_SET2_   ENSG00000118972    12    4442393    4523894    100      19  204402      0.60924      0.12859   -7.7716e-16      0.60924
_SET2_   ENSG00000213809    12   10489952   10579473     66       8  204402      0.91759     0.073499   -7.7716e-16      0.91759
_SET2_   ENSG00000111775    12  120840893  120913545     31       8  204402       4.2128   1.0751e-06   -8.8818e-16       4.2128
_SET2_   ENSG00000089041    12  121535622  121658876    158      21  204402       7.2668   3.4418e-15   -8.8818e-16       7.2668
_SET2_   ENSG00000170345    14   75710477   75783933     39      13  204402       2.0558    0.0048319   -8.8818e-16       2.0558
_SET2_   ENSG00000166947    15   43363423   43548481     43       6  204402         0.28      0.22081   -7.2164e-16         0.28
_SET2_   ENSG00000069667    15   60745483   61556518    952     147  204402       5.1271   3.4795e-09   -8.8818e-16       5.1271
_SET2_   ENSG00000170425    17   15813231   15914060     35       6  204402       3.8525   6.0369e-06   -8.8818e-16       3.8525
_SET2_   ENSG00000177885    17   73279157   73436790     78       6  204402       1.8385    0.0099901   -6.6613e-16       1.8385
_SET2_   ENSG00000176890    18     622604     708578     91      12  204402      0.67881      0.10984   -7.7716e-16      0.67881
_SET2_   ENSG00000158201    18   19195858   19319766     32       3  204402       1.4949     0.023384   -6.6613e-16       1.4949
_SET2_   ENSG00000099331    19   17151591   17360346    115      24  204402       1.4534     0.023391   -6.6613e-16       1.4534
_SET2_   ENSG00000105193    19   39888847   39961588     40       7  204402       2.3027    0.0022383   -8.8818e-16       2.3027
_SET2_   ENSG00000154734    21   28173066   28252728    101      23  204402       0.1225       0.2639   -7.3552e-16       0.1225
