# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = GROSS_ELK3_TARGETS_UP (set)
# _SET1_  NGENES = 25
# _SET1_  P-VALUE = 3.45364e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000143437     1  150747181  150884244    144      11  216467     -0.25479      0.44094   -2.7756e-16     -0.25479
_SET1_   ENSG00000159377     1  151337010  151409420     92       9  198197       1.1609     0.060212   -2.2204e-16       1.1609
_SET1_   ENSG00000143578     1  153905010  153981839     70       9  220649       1.7998     0.016524   -2.2204e-16       1.7998
_SET1_   ENSG00000117475     1  169302208  169400778    265      18  214616     -0.85517      0.64973   -3.3307e-16     -0.85517
_SET1_   ENSG00000128656     2  175629091  175905097    356      17  212605      0.89963     0.076175   -3.3307e-16      0.89963
_SET1_   ENSG00000121807     3   46360225   46437419    227      19  219416      0.41319      0.19619   -2.7756e-16      0.41319
_SET1_   ENSG00000163602     3   72385976   72531069    240      32  219107     -0.77094      0.61264   -3.3307e-16     -0.77094
_SET1_   ENSG00000051382     3  138337860  138588780    277       7  215319       1.7715     0.013615   -2.2204e-16       1.7715
_SET1_   ENSG00000188313     3  146197967  146297651    379      33  218314        1.618     0.015967   -2.2204e-16        1.618
_SET1_   ENSG00000035720     4   68389446   68508055    379      36  214700      0.62775      0.11766   -3.3307e-16      0.62775
_SET1_   ENSG00000163739     4   74700110   74771959    193      18  216934      0.94234     0.087467   -3.3307e-16      0.94234
_SET1_   ENSG00000086189     5   61648081   61734766    182      14  212727      0.94238      0.08247   -3.3307e-16      0.94238
_SET1_   ENSG00000170542     6    2852500    2938514    281      35  209001     -0.33683      0.41582   -2.7756e-16     -0.33683
_SET1_   ENSG00000131023     6  149944289  150074392    185       4  216192       2.9271    0.0005213   -4.4409e-16       2.9271
_SET1_   ENSG00000058091     7   90060738   90874905   2209      71  218637      0.55024     0.041032   -3.3307e-16      0.55024
_SET1_   ENSG00000147799     8  145719563  145946194    130       6  211555       1.6411     0.030081   -2.2204e-16       1.6411
_SET1_   ENSG00000078114    10   21033902   21498116   1015      54  217618     -0.17491      0.27267   -2.7756e-16     -0.17491
_SET1_   ENSG00000110090    11   68487088   68646878    303      26  217925       1.0175     0.065225   -2.2204e-16       1.0175
_SET1_   ENSG00000166923    15   32975175   33061870    297      31  212238       1.0599     0.054865   -2.2204e-16       1.0599
_SET1_   ENSG00000187193    16   56681336   56753108    295      37  217199      0.87292     0.082315   -3.3307e-16      0.87292
_SET1_   ENSG00000042753    19   47306393   47389249     61      13  215060     -0.85236       0.6748   -3.3307e-16     -0.85236
_SET1_   ENSG00000101017    20   44711911   44793502    255      31  217270       2.4366     0.001726   -4.4409e-16       2.4366
_SET1_   ENSG00000101144    20   55708804   55876685    494      41  210476      0.45092      0.14101   -2.7756e-16      0.45092
_SET1_   ENSG00000100280    22   29688669   29854168    339      29  213021      0.66866       0.1145   -3.3307e-16      0.66866
_SET1_   ENSG00000184381    22   38472502   38636697    442      20  214575      0.16931      0.23222   -2.7756e-16      0.16931
