# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_DN (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 7.23714e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000117748     1   28183035   28276257    262      16  128121     -0.93165      0.42692   -1.9984e-15     -0.93165
_SET1_   ENSG00000158488     1  158288254  158362343    247      20  112801      0.68233     0.070669   -1.9984e-15      0.68233
_SET1_   ENSG00000077157     1  202282827  202596834    409      21  127388      -1.5807      0.62855   -1.9984e-15      -1.5807
_SET1_   ENSG00000163947     3   56726446   57148357   1263     102  128519       1.3133    0.0012373   -1.9984e-15       1.3133
_SET1_   ENSG00000134061     5   66443103   66527627    194      34  126167     -0.16993       0.1777   -2.0539e-15     -0.16993
_SET1_   ENSG00000135341     6   91188292   91331764    434      32  129155      0.74159     0.032327   -1.9984e-15      0.74159
_SET1_   ENSG00000158604     7   44582493   44656886    206      20  127563       3.4701   2.5654e-06   -2.2204e-15       3.4701
_SET1_   ENSG00000106479     7  149500456  149599568    260      22  128833      0.40404     0.071779   -2.0539e-15      0.40404
_SET1_   ENSG00000158815     8   21864909   21941320    227      34  127749      -1.9272      0.81574   -1.9984e-15      -1.9272
_SET1_   ENSG00000120896     8   22367499   22468301    215      29  128512       2.0468   0.00080035   -2.2204e-15       2.0468
_SET1_   ENSG00000148814    10  134110614  134230010    435      32  127527     -0.67399      0.29637   -1.9984e-15     -0.67399
_SET1_   ENSG00000176973    11   65304820   65376669    107      17  128287       1.2476     0.011782   -1.9984e-15       1.2476
_SET1_   ENSG00000137757    11  104829962  104928895    293      23  128807       1.2159     0.013122   -1.9984e-15       1.2159
_SET1_   ENSG00000239672    17   49195897   49274789    209      26  130161       1.2473     0.015108   -1.9984e-15       1.2473
_SET1_   ENSG00000196628    18   52854562   53367018    857      51  128589       7.0437    1.786e-17   -1.7764e-15       7.0437
_SET1_   ENSG00000150656    18   72166675   72289448    369      62  128664       2.6719   7.4858e-05   -2.2204e-15       2.6719
_SET1_   ENSG00000124193    20   42051568   42127245    260      35  128390       3.1809   1.0893e-05   -2.2204e-15       3.1809
