# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = CARDOSO_RESPONSE_TO_GAMMA_RADIATION_AND_3AB (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 7.96507e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000143412     1  150919493  151003110    289      37  143511        1.733     0.020092   -3.1086e-15        1.733
_SET1_   ENSG00000243244     2   48721522   48861025    685      67  148650       0.4065      0.23413   -2.9976e-15       0.4065
_SET1_   ENSG00000197713     2  210832289  210921300    175      40  136426      -0.7311      0.65186   -2.9976e-15      -0.7311
_SET1_   ENSG00000225697     3   48628156   48707926    127      26  136124      0.24402      0.33356   -3.0254e-15      0.24402
_SET1_   ENSG00000169359     3  155503813  155607218    373      37  148338       0.5526       0.1972   -2.9976e-15       0.5526
_SET1_   ENSG00000109501     4    6236576    6339992    570      50  142125       7.2619    5.036e-20   -2.6645e-15       7.2619
_SET1_   ENSG00000196743     5  150556711  150685001    622      68  146678      0.69256      0.15345   -2.9976e-15      0.69256
_SET1_   ENSG00000124731     6   41200664   41289457    567      41  141575        2.056    0.0087978   -3.1086e-15        2.056
_SET1_   ENSG00000112531     6  163800032  164034628    737      55  143741       1.2662     0.053919   -3.1086e-15       1.2662
_SET1_   ENSG00000186088     7   76905068   77080717    797      54  148464      0.67722      0.15583   -2.9976e-15      0.67722
_SET1_   ENSG00000111341    12   14999115   15073860    349      18  136591     -0.60902      0.60566   -2.9976e-15     -0.60902
_SET1_   ENSG00000100902    14   35712839   35821699    455      32  148201     -0.55188      0.60282   -2.9976e-15     -0.55188
_SET1_   ENSG00000081913    18   60347672   60682666    970      61  143467       1.9433     0.011179   -3.1086e-15       1.9433
