# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = MARTINEZ_TP53_TARGETS_UP (set)
# _SET1_  NGENES = 568
# _SET1_  P-VALUE = 3.70304e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000116288     1    7979351    8080565    183      20  195813     -0.51813      0.63248    8.5598e-14     -0.51813
_SET1_   ENSG00000009724     1   11051580   11142290    212      15  195813      -1.1529      0.83533    8.5709e-14      -1.1529
_SET1_   ENSG00000188784     1   20211502   20285110    239      34  195813       1.5802      0.04939    8.5709e-14       1.5802
_SET1_   ENSG00000117215     1   20403432   20481050    231      61  195813      -1.6242      0.95017    8.5709e-14      -1.6242
_SET1_   ENSG00000070831     1   22344120   22454437    403      25  195813       0.4474      0.26799    8.5598e-14       0.4474
_SET1_   ENSG00000125944     1   23595264   23705829    151      15  195813       1.0255      0.12169    8.5709e-14       1.0255
_SET1_   ENSG00000060642     1   27078963   27159889     95      10  195813     -0.49517      0.66763    8.5598e-14     -0.49517
_SET1_   ENSG00000117751     1   28122289   28213187    139      19  195813      -1.3955      0.90554    8.5709e-14      -1.3955
_SET1_   ENSG00000117748     1   28183035   28276257    318      20  195813     -0.38882       0.5657    8.5598e-14     -0.38882
_SET1_   ENSG00000169403     1   28438677   28555447    213      27  195813      0.78551      0.17906    8.5598e-14      0.78551
_SET1_   ENSG00000180198     1   28797455   28900812    241      14  195813     -0.99068      0.78697    8.5598e-14     -0.99068
_SET1_   ENSG00000116329     1   29103654   29225208    346      33  195813      -1.2005      0.85511    8.5709e-14      -1.2005
_SET1_   ENSG00000134686     1   33754224   33931653    531      23  195813     -0.40847      0.57337    8.5598e-14     -0.40847
_SET1_   ENSG00000117399     1   43789626   43863874    103      14  195813       1.7452     0.027053    8.5709e-14       1.7452
_SET1_   ENSG00000132773     1   45770342   45844647     84      14  195813       1.2176     0.089064    8.5709e-14       1.2176
_SET1_   ENSG00000117461     1   46470812   46677160    359      25  195813        1.258     0.072364    8.5709e-14        1.258
