# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_REGULATION_OF_SIGNALING_BY_NODAL (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 2.24504e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000160712     1  154342669  154476926    365      32  195813       4.9416   1.6852e-07    8.5265e-14       4.9416
_SET1_   ENSG00000018408     3  149200022  149489501   1045      79  195813       1.5192     0.060779    8.5709e-14       1.5192
_SET1_   ENSG00000087008     4    8333009    8477450    679      42  195813       1.0294      0.12677    8.5709e-14       1.0294
_SET1_   ENSG00000173678     7  102255772  102336847     11       3  195813      0.20476      0.36928    8.5626e-14      0.20476
_SET1_   ENSG00000122367    10   88393206   88530825    525      41  195813      0.89022      0.15461    8.5598e-14      0.89022
_SET1_   ENSG00000166033    10  124186041  124309424    464      43  195813       2.6273    0.0031832    8.5709e-14       2.6273
_SET1_   ENSG00000181333    11   93719527   93881917    389      26  195813      0.94943      0.12567    8.5598e-14      0.94943
_SET1_   ENSG00000167553    12   49547519   49702114    337      31  195813      -1.0146      0.81547    8.5709e-14      -1.0146
_SET1_   ENSG00000120805    12  101751898  101836598    240      38  195813     -0.66038      0.72014    8.5598e-14     -0.66038
_SET1_   ENSG00000172530    16   87947850   88145924    878      33  195813     -0.45882      0.59704    8.5598e-14     -0.45882
_SET1_   ENSG00000094804    17   38408885   38494171    111      12  195813      0.69155      0.24903    8.5598e-14      0.69155
