# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_ZINC_TRANSPORTERS (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 1.01764e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000160712     1  154342669  154476926    365      32  195813       4.9416   1.6852e-07    8.5265e-14       4.9416
_SET1_   ENSG00000172986     3   72902224   73082289    528      30  195813       1.0802      0.10017    8.5709e-14       1.0802
_SET1_   ENSG00000078295     5    7361321    7865194   1443     101  195813       1.5779     0.058018    8.5709e-14       1.5779
_SET1_   ENSG00000112984     5  137479408  137558404    104      16  195813      0.62177      0.22124    8.5598e-14      0.62177
_SET1_   ENSG00000106617     7  151218197  151609210   1422     145  195813       1.1539      0.14938    8.5709e-14       1.1539
_SET1_   ENSG00000155876     9   19014372   19086019    310      20  195813       3.4135   0.00014573    8.5709e-14       3.4135
_SET1_   ENSG00000099810     9   21767542   21966646    485      41  195813       4.0291   1.5813e-05    8.5265e-14       4.0291
_SET1_   ENSG00000070214     9  107971903  108236452    691      39  195813      0.37067      0.35599    8.5598e-14      0.37067
_SET1_   ENSG00000196814     9  129054128  129304320    746      54  195813      0.64944      0.22526    8.5598e-14      0.64944
_SET1_   ENSG00000102554    13   73594114   73686676    305      43  195813     -0.93305      0.80322    8.5598e-14     -0.93305
_SET1_   ENSG00000135720    16   66719796   66820701    194      13  195813      -0.1543      0.46449    8.5626e-14      -0.1543
_SET1_   ENSG00000135698    16   82146403   82238831    630      16  195813      0.10589      0.35461    8.5612e-14      0.10589
_SET1_   ENSG00000167851    17   72427555   72515933    351      43  195813     -0.40247      0.62531    8.5598e-14     -0.40247
_SET1_   ENSG00000130164    19   11165038   11279492    446      39  195813        7.131   1.8553e-13    8.5265e-14        7.131
_SET1_   ENSG00000100206    22   38879954   39001291    194      22  195813       1.1296      0.10874    8.5709e-14       1.1296
