# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = DOANE_RESPONSE_TO_ANDROGEN_UP (set)
# _SET1_  NGENES = 164
# _SET1_  P-VALUE = 3.45664e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000157916     1    2288267    2371883    345      71  59957      0.54019     0.060435    1.8319e-14      0.54019
_SET1_   ENSG00000054523     1   10235863   10476661    818      23  59957     -0.69918      0.54435    1.8319e-14     -0.69918
_SET1_   ENSG00000179051     1   17698256   17801220    428      31  59957      -1.0299      0.57662    1.8208e-14      -1.0299
_SET1_   ENSG00000007968     1   23797922   23892712    264      35  59957     -0.40444       0.3288    1.8263e-14     -0.40444
_SET1_   ENSG00000158062     1   26572819   26679854    373      23  59957       1.9277    0.0038919    1.8208e-14       1.9277
_SET1_   ENSG00000142945     1   45170490   45268439    281      34  59957       1.0899     0.031037    1.8208e-14       1.0899
_SET1_   ENSG00000177606     1   59211465   59284785    170      35  59957     -0.51353      0.34974    1.8319e-14     -0.51353
_SET1_   ENSG00000162645     1   89536815   89651139    335      22  59957       1.0542     0.034754    1.8208e-14       1.0542
_SET1_   ENSG00000065135     1  110056233  110171975    288      36  59957      -1.1054      0.61132    1.8208e-14      -1.1054
_SET1_   ENSG00000143457     1  150583701  150704630    348      22  59957       4.1459   3.8651e-07    1.8652e-14       4.1459
_SET1_   ENSG00000143416     1  151301778  151380209    159      36  59957       2.2509   0.00071873    1.8208e-14       2.2509
_SET1_   ENSG00000160691     1  154899774  154981871    146      29  59957     -0.21985      0.27681    1.8291e-14     -0.21985
_SET1_   ENSG00000242252     1  156176753  156248112    199      30  59957     -0.44324      0.31043    1.8263e-14     -0.44324
_SET1_   ENSG00000116711     1  186763085  186993113    795      71  59957       1.4426     0.010714    1.8208e-14       1.4426
_SET1_   ENSG00000122180     1  203017260  203090164    227      39  59957      -0.8374      0.44349    1.8319e-14      -0.8374
_SET1_   ENSG00000162889     1  206823289  206942628    377      47  59957        4.804   8.8731e-09    1.8652e-14        4.804
_SET1_   ENSG00000168118     1  229371822  229476641    281      26  59957      0.18128      0.14691    1.8291e-14      0.18128
_SET1_   ENSG00000182118     1  231119704  231210992    422      60  59957      0.42032     0.084432    1.8263e-14      0.42032
_SET1_   ENSG00000151694     2    9593615    9730921    331      32  59957       2.2999   0.00069252    1.8208e-14       2.2999
_SET1_   ENSG00000134324     2   11782721   12002535    855     111  59957      0.87842     0.034161    1.8319e-14      0.87842
_SET1_   ENSG00000138031     2   25007038   25177708    641      35  59957       5.9774   5.9822e-12    1.8652e-14       5.9774
_SET1_   ENSG00000115808     2   37035783   37228615    666      37  59957      0.98867     0.046479    1.8319e-14      0.98867
_SET1_   ENSG00000152518     2   43414541   43488748    214      40  59957       3.6601   1.8857e-06    1.8208e-14       3.6601
_SET1_   ENSG00000068784     2   45580819   45874304   1037      50  59957      0.51967      0.10564    1.8319e-14      0.51967
_SET1_   ENSG00000197223     2   68233262   68373080    354      58  59957      0.30869      0.10506    1.8263e-14      0.30869
_SET1_   ENSG00000115548     2   86632770   86754839    329      30  59957      -1.5984      0.79672    1.8208e-14      -1.5984
_SET1_   ENSG00000163083     2  121068719  121144384    277      57  59957      -1.5136      0.70632    1.8208e-14      -1.5136
_SET1_   ENSG00000169554     2  145106648  145317147    366      72  59957      0.33121      0.10699    1.8263e-14      0.33121
_SET1_   ENSG00000115233     2  162129549  162303228    352      35  59957      0.46675      0.11988    1.8263e-14      0.46675
_SET1_   ENSG00000118260     2  208359461  208503155    302      30  59957      -1.4855      0.76804    1.8208e-14      -1.4855
_SET1_   ENSG00000138413     2  209065951  209165798    290      36  59957     -0.53107      0.44277    1.8319e-14     -0.53107
_SET1_   ENSG00000154764     3   13822755   13956618    516      73  59957     -0.47747      0.30794    1.8263e-14     -0.47747
_SET1_   ENSG00000114166     3   20046515   20230896    761      47  59957      0.69416     0.062802    1.8319e-14      0.69416
_SET1_   ENSG00000163508     3   27722440   27799206    279      30  59957      -1.1053      0.65074    1.8208e-14      -1.1053
_SET1_   ENSG00000163513     3   30612994   30770634    589      76  59957        3.959   4.6325e-07    1.8208e-14        3.959
_SET1_   ENSG00000153560     3   33394828   33517863    439      27  59957     0.087115      0.23967    1.8291e-14     0.087115
_SET1_   ENSG00000185313     3   38703293   38870501    621      66  59957      -0.3007       0.2783    1.8263e-14      -0.3007
_SET1_   ENSG00000163935     3   52902588   53115766    502      28  59957       1.9296    0.0036588    1.8208e-14       1.9296
_SET1_   ENSG00000184500     3   93556881   93727910    245      54  59957      0.37193      0.10484    1.8263e-14      0.37193
_SET1_   ENSG00000121552     3  122009091  122095819    297      29  59957    -0.091896      0.24293    1.8291e-14    -0.091896
_SET1_   ENSG00000183770     3  138628066  138700982    206      31  59957      0.92799     0.051146    1.8319e-14      0.92799
_SET1_   ENSG00000187068     3  184760838  184905802    574      33  59957      0.20388      0.16756    1.8291e-14      0.20388
_SET1_   ENSG00000178950     4     808064     961161    639      46  59957      -1.1296       0.6234    1.8208e-14      -1.1296
_SET1_   ENSG00000002587     4   11359774   11466389    464      70  59957      -0.3875      0.29239    1.8263e-14      -0.3875
_SET1_   ENSG00000171209     4   71073305   71152145    406      19  59957     -0.86297      0.57202    1.8319e-14     -0.86297
_SET1_   ENSG00000138756     4   79662496   79872526    537      25  59957       1.0032     0.079536    1.8208e-14       1.0032
_SET1_   ENSG00000138669     4   81974837   82171218    533      40  59957     -0.24352      0.32036    1.8291e-14     -0.24352
_SET1_   ENSG00000138814     4  101909566  102304435   1117      74  59957       3.7475   2.3383e-06    1.8208e-14       3.7475
_SET1_   ENSG00000174607     4  115484611  115634380    396      33  59957      -1.6788      0.83484    1.8208e-14      -1.6788
_SET1_   ENSG00000109471     4  123337625  123412880    215      32  59957       4.6268   2.6793e-08    1.8652e-14       4.6268
_SET1_   ENSG00000164161     4  145532173  145701423    334      29  59957       2.1659    0.0012636    1.8208e-14       2.1659
_SET1_   ENSG00000145491     5   10406636   10507141    258      35  59957    -0.021457      0.22067    1.8287e-14    -0.021457
_SET1_   ENSG00000145604     5   36117091   36219421    245      39  59957      0.36515      0.10997    1.8263e-14      0.36515
_SET1_   ENSG00000113520     5  131974678  132053368    205      26  59957       3.4514   1.1286e-05    1.8208e-14       3.4514
_SET1_   ENSG00000170606     5  132352654  132477141    439      36  59957        2.518   0.00049474    1.8208e-14        2.518
_SET1_   ENSG00000120129     5  172160093  172233198    302      52  59957       2.7472   0.00012082    1.8208e-14       2.7472
_SET1_   ENSG00000078401     6   12255596   12332427    222      41  59957      0.53896     0.066457    1.8319e-14      0.53896
_SET1_   ENSG00000010017     6   13586730   13746796    311      33  59957      -1.1972      0.62507    1.8208e-14      -1.1972
_SET1_   ENSG00000112242     6   20367398   20528941    464      73  59957        2.387   0.00049829    1.8208e-14        2.387
_SET1_   ENSG00000196735     6   32560956   32649839    656      38  59957       7.2564   4.1986e-16    1.8652e-14       7.2564
_SET1_   ENSG00000241106     6   32745540   32819825    870      46  59957        8.075   3.5505e-19    1.7764e-14        8.075
_SET1_   ENSG00000112576     6   41867671   42053095    592      79  59957       3.2756   1.2642e-05    1.8208e-14       3.2756
_SET1_   ENSG00000124813     6   45260894   45667086   1305      87  59957       1.0048     0.032027    1.8208e-14       1.0048
_SET1_   ENSG00000155111     6  110896181  111172161    712      37  59957       1.1199     0.035667    1.8208e-14       1.1199
