# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WP_OXIDATIVE_STRESS_RESPONSE (set)
# _SET1_  NGENES = 30
# _SET1_  P-VALUE = 4.38993e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000125944     1   23595264   23705829    151      15  195813       1.0255      0.12169    8.5709e-14       1.0255
_SET1_   ENSG00000185420     1  245877642  246705614   3889     118  195813      -1.2154      0.89583    8.5709e-14      -1.2154
_SET1_   ENSG00000168899     2   85776531   85855535    194      26  195813       5.4763   1.0967e-08    8.5265e-14       5.4763
_SET1_   ENSG00000213672     3   48666364   48758797    132      10  195813      0.37924       0.2897    8.5598e-14      0.37924
_SET1_   ENSG00000114480     3   81503850   81846312    674      34  195813       2.5952    0.0028851    8.5709e-14       2.5952
_SET1_   ENSG00000114200     3  165455692  165590260    526      24  195813      0.51901         0.25    8.5598e-14      0.51901
_SET1_   ENSG00000118785     4   88861819   88939562    270      25  195813     -0.93714      0.78006    8.5598e-14     -0.93714
_SET1_   ENSG00000134058     5   68495668   68608250    300      13  195813       1.2804     0.059878    8.5709e-14       1.2804
_SET1_   ENSG00000040275     5  168975638  169066782    262      13  195813      -0.8413      0.72907    8.5598e-14      -0.8413
_SET1_   ENSG00000198939     5  178287895  178395213    519      17  195813       1.8042      0.02004    8.5709e-14       1.8042
_SET1_   ENSG00000010810     6  111946535  112229655    899      50  195813      0.77952      0.18758    8.5598e-14      0.77952
_SET1_   ENSG00000099219     9    5730076    5868117    395      28  195813    -0.073445      0.46163    8.5612e-14    -0.073445
_SET1_   ENSG00000186350     9  137173944  137367431    587      42  195813      0.46731      0.28047    8.5598e-14      0.46731
_SET1_   ENSG00000136758    10   27364383   27479195    471      22  195813     -0.40806      0.58273    8.5598e-14     -0.40806
_SET1_   ENSG00000152944    12   27140479   27254276    412      32  195813      0.28125      0.33204    8.5598e-14      0.28125
_SET1_   ENSG00000161813    12   50751166   50908787    299      16  195813      0.44121      0.27254    8.5598e-14      0.44121
_SET1_   ENSG00000088387    13   99410741   99773879   1409      46  195813        1.394     0.060154    8.5709e-14        1.394
_SET1_   ENSG00000176294    14   20152174   20331531     10       3  195813     -0.39935      0.61213    8.5598e-14     -0.39935
_SET1_   ENSG00000069667    15   60745483   61556518   2278     226  195813       1.7417     0.060072    8.5709e-14       1.7417
_SET1_   ENSG00000166949    15   67321101   67522533    567      65  195813       2.9035    0.0014759    8.5709e-14       2.9035
_SET1_   ENSG00000166501    16   23812322   24266932   1475     117  195813     -0.12812      0.56957    8.5626e-14     -0.12812
_SET1_   ENSG00000141096    16   67974566   68049732     95      13  195813     0.023292      0.46063    8.5619e-14     0.023292
_SET1_   ENSG00000141510    17    7530097    7625856    321      34  195813     -0.22191      0.54514    8.5626e-14     -0.22191
_SET1_   ENSG00000132470    17   73682408   73788899    194      36  195813        2.241     0.010006    8.5709e-14        2.241
_SET1_   ENSG00000186115    19   15953833   16043930    484      27  195813       3.9496   1.5719e-05    8.5709e-14       3.9496
_SET1_   ENSG00000105695    19   35748028   35839707    277      41  195813      0.28182      0.35614    8.5598e-14      0.28182
_SET1_   ENSG00000012061    19   45875591   46017086    390      44  195813        1.812     0.028105    8.5709e-14        1.812
_SET1_   ENSG00000126460    19   50048903   50129272    190      18  195813       1.1482     0.099927    8.5709e-14       1.1482
_SET1_   ENSG00000149599    20   30400440   30493550    215      28  195813     -0.88034        0.778    8.5598e-14     -0.88034
_SET1_   ENSG00000185651    22   21868736   22013323    213      17  195813     -0.79644      0.73038    8.5598e-14     -0.79644
