# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = BIOCARTA_NDKDYNAMIN_PATHWAY (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 2.08513e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000162434     1   65263912   65467187    162      20  204402       2.1238    0.0041837   -8.8818e-16       2.1238
_SET1_   ENSG00000158710     1  159852897  159930522     90      22  204402       3.4204   4.1207e-05   -8.8818e-16       3.4204
_SET1_   ENSG00000135824     1  182580239  182688711     59      14  204402     0.068368      0.28353   -7.3552e-16     0.068368
_SET1_   ENSG00000073756     1  186605923  186684559     46       6  204402      0.94858     0.082346   -7.7716e-16      0.94858
_SET1_   ENSG00000174579     3  135832764  135951083     26       5  204402       2.1031    0.0044457   -8.8818e-16       2.1031
_SET1_   ENSG00000178394     5   63221183   63293334     24       3  204402       1.9204    0.0075346   -6.6613e-16       1.9204
_SET1_   ENSG00000131732     5   80562409   80644116     42       8  204402      0.23664      0.22203   -7.2164e-16      0.23664
_SET1_   ENSG00000152495     5  110524351  110865584    336      28  204402       -1.355      0.77084   -6.6613e-16       -1.355
_SET1_   ENSG00000044115     5  137911656  138305723    212       9  204402       1.6823      0.01187   -6.6613e-16       1.6823
_SET1_   ENSG00000204287     6   32372619   32447823    250      21  204402        6.544   4.5798e-13   -8.8818e-16        6.544
_SET1_   ENSG00000106330     7  100174725  100248007     20       5  204402       1.3775     0.030046   -6.6613e-16       1.3775
_SET1_   ENSG00000257923     7  101423959  101962249    319      37  204402       1.7331     0.010176   -6.6613e-16       1.7331
_SET1_   ENSG00000065328    10   13168554   13288104    123      31  204402        0.498      0.15616   -7.2164e-16        0.498
_SET1_   ENSG00000121743    13   20677394   20770188     86      24  204402      -1.1069      0.72148   -6.6613e-16      -1.1069
_SET1_   ENSG00000185989    13  114712194  114933086    118      18  204402      -1.5157      0.83331   -6.6613e-16      -1.5157
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000172216    20   48772376   48844212     33       7  204402     0.079509      0.26645   -7.3552e-16     0.079509
