# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000187634    1     825260     914955      4       1  189508      0.55033   -3.3307e-16      0.55033
ENSG00000188976    1     844584     929689     25       3  189306      0.97238   -3.3307e-16      0.97238
ENSG00000187961    1     860967     936095     33       3  189122      0.83844   -3.3307e-16      0.83844
ENSG00000187583    1     866877     946245     42       4  189131      0.64327   -3.3307e-16      0.64327
ENSG00000188290    1     899342     970552     49       5  189154      0.57037   -3.3307e-16      0.57037
ENSG00000187608    1     913803     984920     49       5  189154      0.57037   -3.3307e-16      0.57037
ENSG00000188157    1     920503    1026496     42       4  189095      0.61982   -3.3307e-16      0.61982
ENSG00000237330    1     971346    1044687     32       1  212923      0.22018   -2.7756e-16      0.22018
ENSG00000131591    1     982198    1086741     44       1  214830      0.29394   -2.7756e-16      0.29394
ENSG00000162571    1    1074264    1168315     36       4  216760      0.56057   -3.3307e-16      0.56057
ENSG00000186891    1    1103888    1177071     36       4  216760      0.56057   -3.3307e-16      0.56057
ENSG00000186827    1    1111706    1184518     33       4  217256      0.40913   -2.7756e-16      0.40913
ENSG00000078808    1    1117288    1202411     24       3  218783     -0.28201   -2.7756e-16     -0.28201
ENSG00000176022    1    1132629    1205421      2       1  204195      -1.5704   -2.2204e-16      -1.5704
ENSG00000160087    1    1154289    1244265      6       1  185049     -0.20397   -2.7756e-16     -0.20397
ENSG00000162572    1    1180816    1262409      6       1  185049     -0.20397   -2.7756e-16     -0.20397
ENSG00000131584    1    1192756    1279989      6       1  185049     -0.20397   -2.7756e-16     -0.20397
ENSG00000169972    1    1208947    1282057      5       1  185208     -0.15703   -2.7756e-16     -0.15703
ENSG00000169962    1    1231694    1305686      3       1  196642     -0.44964   -2.7756e-16     -0.44964
ENSG00000107404    1    1235656    1319730      5       1  196492     -0.69705   -3.3307e-16     -0.69705
ENSG00000162576    1    1253069    1332157      5       1  196492     -0.69705   -3.3307e-16     -0.69705
ENSG00000175756    1    1274110    1345875      6       1  196159     -0.66685   -3.3307e-16     -0.66685
ENSG00000221978    1    1286091    1369708      7       1  195920     -0.64464   -3.3307e-16     -0.64464
ENSG00000242485    1    1302288    1377693      4       1  195379     -0.52422   -3.3307e-16     -0.52422
ENSG00000235098    1    1318800    1392149      2       1  194490     -0.32212   -2.7756e-16     -0.32212
ENSG00000205116    1    1326508    1398167      2       1  194490     -0.32212   -2.7756e-16     -0.32212
ENSG00000179403    1    1335241    1413262      2       1  194490     -0.32212   -2.7756e-16     -0.32212
ENSG00000215915    1    1350069    1440538      2       1  189832      -1.0109   -2.2204e-16      -1.0109
ENSG00000160072    1    1372143    1468228      2       1  198914      -1.5229   -2.2204e-16      -1.5229
ENSG00000197785    1    1412531    1505067     55       5  187564     0.017327   -2.8103e-16     0.017327
ENSG00000160075    1    1442053    1545249     68       6  187919      0.12317   -2.7756e-16      0.12317
ENSG00000197530    1    1515795    1600990      6       1  189290     -0.62885   -3.3307e-16     -0.62885
ENSG00000248333    1    1535603    1625473      9       1  186174      0.23697   -2.7756e-16      0.23697
ENSG00000189339    1    1557939    1659167      9       1  186174      0.23697   -2.7756e-16      0.23697
ENSG00000008128    1    1599169    1690766     13       2  180783     -0.12607   -2.7756e-16     -0.12607
ENSG00000008130    1    1647671    1746896     60       7  212825       -1.185   -2.2204e-16       -1.185
ENSG00000078369    1    1681729    1857495    204      13  212401      -1.3262   -2.2204e-16      -1.3262
ENSG00000169885    1    1811266    1883735    118      10  206454      -1.5743   -2.2204e-16      -1.5743
