# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000186092    1      34091     105008      2       1   64503       1.0045   -3.1086e-15       1.0045
ENSG00000185097    1     586059     657053      2       1  104836       1.4061   -3.1086e-15       1.4061
ENSG00000187634    1     825260     914955    350      39  107640      -0.6354   -2.9976e-15      -0.6354
ENSG00000188976    1     844584     929689    363      43  109147     -0.45352   -2.9976e-15     -0.45352
ENSG00000187961    1     860967     936095    319      41  109683    -0.069675   -3.0254e-15    -0.069675
ENSG00000187583    1     866877     946245    323      41  111808      0.00178   -3.0223e-15      0.00178
ENSG00000188290    1     899342     970552    297      30  115360      0.75252   -2.9976e-15      0.75252
ENSG00000187608    1     913803     984920    296      27  118319       1.1037   -3.1086e-15       1.1037
ENSG00000188157    1     920503    1026496    432      39  120621       1.2631   -3.1086e-15       1.2631
ENSG00000237330    1     971346    1044687    302      38  124602       1.3661   -3.1086e-15       1.3661
ENSG00000131591    1     982198    1086741    457      50  128364      0.72193   -2.9976e-15      0.72193
ENSG00000162571    1    1074264    1168315    547      49  131757     -0.21508   -3.0254e-15     -0.21508
ENSG00000186891    1    1103888    1177071    444      37  134569      0.31427   -2.9976e-15      0.31427
ENSG00000186827    1    1111706    1184518    418      33  136245      0.51524   -2.9976e-15      0.51524
ENSG00000078808    1    1117288    1202411    448      31  136944      0.53764   -2.9976e-15      0.53764
ENSG00000176022    1    1132629    1205421    351      25  136354      0.43074   -2.9976e-15      0.43074
ENSG00000160087    1    1154289    1244265    449      46  131786     0.032091   -3.0254e-15     0.032091
ENSG00000162572    1    1180816    1262409    327      41  126184     -0.13783   -3.0254e-15     -0.13783
ENSG00000131584    1    1192756    1279989    366      39  123789     -0.54363   -2.9976e-15     -0.54363
ENSG00000169972    1    1208947    1282057    316      38  122284     -0.83849   -2.9976e-15     -0.83849
ENSG00000169962    1    1231694    1305686    314      28  124957      -1.7615   -3.1086e-15      -1.7615
ENSG00000107404    1    1235656    1319730    353      26  128370      -1.4989   -3.1086e-15      -1.4989
ENSG00000162576    1    1253069    1332157    330      23  127826      -1.3453   -3.1086e-15      -1.3453
ENSG00000175756    1    1274110    1345875    298      21  128750      -1.4144   -3.1086e-15      -1.4144
ENSG00000221978    1    1286091    1369708    376      26  123706      -1.1442   -3.1086e-15      -1.1442
ENSG00000242485    1    1302288    1377693    311      24  122429      -1.1191   -3.1086e-15      -1.1191
ENSG00000235098    1    1318800    1392149    285      28  117523      -1.3003   -3.1086e-15      -1.3003
ENSG00000205116    1    1326508    1398167    305      35  117817      -1.6743   -3.1086e-15      -1.6743
ENSG00000179403    1    1335241    1413262    335      36  116366      -1.5757   -3.1086e-15      -1.5757
ENSG00000215915    1    1350069    1440538    431      40  108672      -1.5937   -3.1086e-15      -1.5937
ENSG00000160072    1    1372143    1468228    447      39  111075      -1.4869   -3.1086e-15      -1.4869
ENSG00000197785    1    1412531    1505067    419      34  115039      -1.3019   -3.1086e-15      -1.3019
ENSG00000160075    1    1442053    1545249    429      43  120450      -1.5438   -3.1086e-15      -1.5438
ENSG00000197530    1    1515795    1600990    230      31   79182       -1.326   -3.1086e-15       -1.326
ENSG00000189409    1    1532474    1605639    159      21   64965     -0.80103   -2.9976e-15     -0.80103
ENSG00000248333    1    1535603    1625473    201      29   70010      -1.1364   -3.1086e-15      -1.1364
ENSG00000189339    1    1557939    1659167    238      33   65137      0.71426   -2.9976e-15      0.71426
ENSG00000008128    1    1599169    1690766    272      26   91388      0.35382   -2.9976e-15      0.35382
ENSG00000008130    1    1647671    1746896    299      31  112131     -0.72001   -2.9976e-15     -0.72001
ENSG00000078369    1    1681729    1857495    471      38  128507      -2.1497   -3.1086e-15      -2.1497
ENSG00000169885    1    1811266    1883735    280      21  135641      -1.0022   -3.1086e-15      -1.0022
ENSG00000178821    1    1814029    1885712    270      22  135718      -1.0167   -3.1086e-15      -1.0167
ENSG00000187730    1    1915780    1997192    328      52  114824     -0.99572   -2.9976e-15     -0.99572
ENSG00000067606    1    1946909    2151834    818      65  129503     -0.50448   -2.9976e-15     -0.50448
ENSG00000157933    1    2125134    2276558    643      91  138529      0.38628   -2.9976e-15      0.38628
ENSG00000116151    1    2217692    2358146    714     106  142628    -0.067973   -3.0254e-15    -0.067973
ENSG00000157916    1    2288267    2371883    402      86  140416       -1.108   -3.1086e-15       -1.108
ENSG00000157911    1    2301236    2380236    377      82  139514      -1.5931   -3.1086e-15      -1.5931
