# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MEDICUS_VARIANT_AMPLIFIED_MYC_TO_CELL_CYCLE_G1_S (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 7.3786e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000050628     1   71283036   71548491    713      47  128820      0.96565     0.011045   -1.9984e-15      0.96565
_SET1_   ENSG00000119866     2   60643302   60815702    291      43  126927       2.8257   2.6538e-05   -2.2204e-15       2.8257
_SET1_   ENSG00000172340     3   67375884   67740038   1272      64  128497       1.3459    0.0011753   -1.9984e-15       1.3459
_SET1_   ENSG00000168884     4    2708375    2793103    309      33  128307      0.52812     0.050772   -1.9984e-15      0.52812
_SET1_   ENSG00000142731     4  128767016  128855350    106      12  122522      -2.9022      0.97369   -2.2204e-15      -2.9022
_SET1_   ENSG00000124788     6   16264343   16796722   1567     167  126792       1.4271   0.00032065   -1.9984e-15       1.4271
_SET1_   ENSG00000092820     6  159151773  159275444    437      27  129361      0.93703     0.020207   -1.9984e-15      0.93703
_SET1_   ENSG00000175538    11   74130886   74213774    218      26  128726       1.5565    0.0041361   -1.9984e-15       1.5565
_SET1_   ENSG00000198752    14  103363716  103558799    453      40  127137      0.95851     0.018394   -1.9984e-15      0.95851
_SET1_   ENSG00000196547    15   91410448   91500814    267      28  127668       4.4486   1.4186e-08   -1.7764e-15       4.4486
_SET1_   ENSG00000108379    17   44804872   44945520    251      36  125998       3.9319   1.5395e-07   -2.2204e-15       3.9319
