# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = FIRESTEIN_PROLIFERATION (set)
# _SET1_  NGENES = 150
# _SET1_  P-VALUE = 1.43525e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000187608     1     913803     984920    236      25  59957     -0.40967      0.33906    1.8263e-14     -0.40967
_SET1_   ENSG00000215915     1    1350069    1440538    351      33  59957       4.5417   1.3137e-07    1.8652e-14       4.5417
_SET1_   ENSG00000116285     1    8029464    8121368    184      20  59957       5.3378   2.7319e-10    1.8652e-14       5.3378
_SET1_   ENSG00000189337     1   14890200   15479539   2451     245  59957       2.0428   0.00088075    1.8208e-14       2.0428
_SET1_   ENSG00000117298     1   21508740   21706997    641      63  59957       2.0466    0.0020256    1.8208e-14       2.0466
_SET1_   ENSG00000020633     1   25191002   25326612    451      61  59957       3.0792   2.4335e-05    1.8208e-14       3.0792
_SET1_   ENSG00000162512     1   31307314   31416608    402      76  59957      -1.5946      0.73391    1.8208e-14      -1.5946
_SET1_   ENSG00000189280     1   35185648   35259113    296      56  59957     -0.69358      0.37778    1.8319e-14     -0.69358
_SET1_   ENSG00000086015     1   46217659   46536796    866      24  59957       1.3375      0.02253    1.8208e-14       1.3375
_SET1_   ENSG00000123472     1   47063409   47174539    324      19  59957      -2.0531      0.90689    1.8208e-14      -2.0531
_SET1_   ENSG00000134184     1  110195436  110286661    234      47  59957        1.601    0.0047892    1.8208e-14        1.601
_SET1_   ENSG00000143226     1  161440220  161528803    269      37  59957       6.6914   2.1778e-14    1.8652e-14       6.6914
_SET1_   ENSG00000143179     1  165761768  165915855    443      64  59957     -0.86336      0.46244    1.8319e-14     -0.86336
_SET1_   ENSG00000197959     1  171775621  172422606   1907      96  59957     -0.58558       0.3702    1.8319e-14     -0.58558
_SET1_   ENSG00000162897     1  207096310  207178970    212      33  59957       1.9725    0.0019442    1.8208e-14       1.9725
_SET1_   ENSG00000152104     1  214487039  214760792   1110      90  59957     -0.73047      0.45033    1.8319e-14     -0.73047
_SET1_   ENSG00000115904     2   39173537   39386486    524      25  59957      0.66272      0.12693    1.8319e-14      0.66272
_SET1_   ENSG00000119888     2   47537297   47649740    387      59  59957     -0.27267      0.27517    1.8263e-14     -0.27267
_SET1_   ENSG00000143947     2   55424039   55497989    226      38  59957     -0.10958      0.23179    1.8291e-14     -0.10958
_SET1_   ENSG00000144034     2   73921231   73999527    163      12  59957      -2.3686      0.94925    1.8208e-14      -2.3686
_SET1_   ENSG00000115041     2   95928052   96086825    212      31  59957      0.43071      0.10581    1.8263e-14      0.43071
_SET1_   ENSG00000153094     2  111841955  111961024    318      34  59957       2.3258    0.0005937    1.8208e-14       2.3258
_SET1_   ENSG00000153234     2  157145944  157233860    135      27  59957       1.7562    0.0037076    1.8208e-14       1.7562
_SET1_   ENSG00000115221     2  160921177  161163399    807      51  59957       1.6831     0.006552    1.8208e-14       1.6831
_SET1_   ENSG00000091409     2  173257082  173406181    671      42  59957     -0.29343      0.33526    1.8263e-14     -0.29343
_SET1_   ENSG00000138378     2  191859302  192051322    529      55  59957       2.2543   0.00090995    1.8208e-14       2.2543
_SET1_   ENSG00000197121     2  197662728  197827520    363      28  59957      0.92985     0.060999    1.8319e-14      0.92985
_SET1_   ENSG00000173166     2  204224068  204435133    357      34  59957      -2.9697      0.98794    1.8208e-14      -2.9697
_SET1_   ENSG00000163251     2  208592310  208669287    194      27  59957     -0.55818      0.42097    1.8319e-14     -0.55818
_SET1_   ENSG00000242366     2  234633894  234716945    347      48  59957      0.53488     0.074627    1.8319e-14      0.53488
_SET1_   ENSG00000144476     2  237441430  237526001    313      39  59957       1.4727     0.014972    1.8208e-14       1.4727
_SET1_   ENSG00000163704     3    9952226   10029078    206      23  59957      0.84491     0.051197    1.8319e-14      0.84491
_SET1_   ENSG00000164078     3   49889435   49976299    136      19  59957       6.3101   2.5819e-13    1.8652e-14       6.3101
_SET1_   ENSG00000163636     3   63961225   64044658    239      44  59957      0.97293     0.033034    1.8319e-14      0.97293
_SET1_   ENSG00000173193     3  122364465  122484687    462      40  59957     -0.86585      0.52304    1.8319e-14     -0.86585
_SET1_   ENSG00000181449     3  181394714  181467221    148      41  59957      -2.0888      0.89105    1.8208e-14      -2.0888
_SET1_   ENSG00000145191     3  183817826  184437546   2256     213  59957      0.37157     0.078546    1.8263e-14      0.37157
_SET1_   ENSG00000145194     3  183932438  184045819    249      36  59957      0.29658      0.12376    1.8263e-14      0.29658
_SET1_   ENSG00000163959     3  195903358  196005049    402      42  59957       2.3401   0.00059608    1.8208e-14       2.3401
_SET1_   ENSG00000157404     4   55489085   55641881    502      56  59957     -0.96386      0.51379    1.8319e-14     -0.96386
_SET1_   ENSG00000118785     4   88861819   88939562    297      34  59957     -0.04963      0.20641    1.8291e-14     -0.04963
_SET1_   ENSG00000134352     5   55195923   55325821    349      44  59957        0.763     0.063155    1.8319e-14        0.763
_SET1_   ENSG00000068796     5   61566989   61868076    768      30  59957      0.57036       0.1021    1.8319e-14      0.57036
_SET1_   ENSG00000123219     5   64778593   64893998    403      20  59957      0.17846      0.17504    1.8291e-14      0.17846
_SET1_   ENSG00000145715     5   86528705   86722748    345      32  59957      -1.4863      0.79777    1.8208e-14      -1.4863
_SET1_   ENSG00000170606     5  132352654  132477141    439      36  59957        2.518   0.00049474    1.8208e-14        2.518
_SET1_   ENSG00000131504     5  140859583  141033622    500      51  59957       1.2973     0.021528    1.8208e-14       1.2973
_SET1_   ENSG00000175416     5  175784456  175878570    242      49  59957      0.13693      0.14496    1.8291e-14      0.13693
_SET1_   ENSG00000112715     6   43702921   43789224    273      64  59957       1.0706     0.017025    1.8208e-14       1.0706
_SET1_   ENSG00000135316     6   86283053   86388510    192      33  59957      0.90764     0.037983    1.8319e-14      0.90764
_SET1_   ENSG00000197594     6  132094156  132251295    519      55  59957       1.2357     0.018895    1.8208e-14       1.2357
_SET1_   ENSG00000118513     6  135467453  135575311    298      43  59957      0.37226      0.10146    1.8263e-14      0.37226
_SET1_   ENSG00000146587     7    5050452    5144119    425      34  59957      -1.7706      0.81813    1.8208e-14      -1.7706
_SET1_   ENSG00000136238     7    6379154    6478608    521      35  59957       3.2198   4.0911e-05    1.8208e-14       3.2198
_SET1_   ENSG00000196262     7   44801279   44899163    308      28  59957      0.89519     0.050143    1.8319e-14      0.89519
_SET1_   ENSG00000196313     7   72314936   72456979    132      33  59957      0.59465      0.08342    1.8319e-14      0.59465
_SET1_   ENSG00000106635     7   72915686   73007332    208      28  59957      0.99687     0.045732    1.8319e-14      0.99687
_SET1_   ENSG00000075223     7   80336854   80586675    693      85  59957     -0.16794      0.25118    1.8291e-14     -0.16794
_SET1_   ENSG00000135245     7  128060903  128133472    239      37  59957      0.25483      0.14437    1.8263e-14      0.25483
_SET1_   ENSG00000106459     7  129216555  129431922    670      46  59957        1.267     0.019949    1.8208e-14        1.267
_SET1_   ENSG00000055118     7  150607049  150710403    258      39  59957       0.4276      0.09058    1.8263e-14       0.4276
_SET1_   ENSG00000003987     8   17120539   17306037    971      73  59957     -0.27548      0.28023    1.8263e-14     -0.27548
_SET1_   ENSG00000175445     8   19724228   19859769    623      44  59957     -0.50911      0.40768    1.8319e-14     -0.50911
_SET1_   ENSG00000120907     8   26570667   26759790    926      91  59957     -0.71271      0.43402    1.8319e-14     -0.71271
_SET1_   ENSG00000104368     8   41997236   42100242    261      31  59957      0.12841      0.18526    1.8291e-14      0.12841
_SET1_   ENSG00000172172     8  121358000  121492642    306      26  59957     -0.76309      0.49988    1.8319e-14     -0.76309
_SET1_   ENSG00000155897     8  131757547  132089672   1347      85  59957       2.9986   5.2284e-05    1.8208e-14       2.9986
_SET1_   ENSG00000184489     8  142367093  142476620    459      53  59957      0.12279      0.15696    1.8291e-14      0.12279
_SET1_   ENSG00000186803     9   21171180   21242142    402      17  59957      -1.3694      0.79465    1.8208e-14      -1.3694
_SET1_   ENSG00000147885     9   21181372   21252310    377      17  59957       -1.395      0.79843    1.8208e-14       -1.395
_SET1_   ENSG00000122707     9   36001430   36159448    505      45  59957     -0.64486      0.42224    1.8319e-14     -0.64486
_SET1_   ENSG00000165119     9   86547998   86630569    166      26  59957       1.0087     0.027378    1.8208e-14       1.0087
_SET1_   ENSG00000107968    10   30687866   30785762    255      20  59957       7.0608   2.6246e-15    1.8652e-14       7.0608
_SET1_   ENSG00000107562    10   44758038   44916941    736      69  59957      0.42637     0.097819    1.8263e-14      0.42637
_SET1_   ENSG00000170312    10   62503089   62589610    332      34  59957       0.3734      0.10704    1.8263e-14       0.3734
_SET1_   ENSG00000026103    10   90715414   90810542    396      44  59957       2.8572   7.6055e-05    1.8208e-14       2.8572
_SET1_   ENSG00000214063    11     807808     902116    304      31  59957      0.95694     0.032859    1.8319e-14      0.95694
_SET1_   ENSG00000258659    11    5605994    5700628    452      67  59957     -0.33805      0.26646    1.8263e-14     -0.33805
_SET1_   ENSG00000166340    11    6599000    6675692    221      47  59957     -0.68285      0.38967    1.8319e-14     -0.68285
_SET1_   ENSG00000148926    11   10291227   10363944    247      25  59957      0.34239       0.1124    1.8263e-14      0.34239
_SET1_   ENSG00000149090    11   35418370   35586848    719      85  59957       0.5306     0.064016    1.8319e-14       0.5306
_SET1_   ENSG00000175104    11   36473577   36566822    237      34  59957       1.2642     0.018722    1.8208e-14       1.2642
_SET1_   ENSG00000176567    11   48250413   48321330    295      14  59957      -1.2573      0.73517    1.8208e-14      -1.2573
