# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MEDICUS_REFERENCE_HEPARAN_SULFATE_BIOSYNTHESIS (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 2.1896e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000157933     1    2125134    2276558    448      64  195813       4.1356   1.4058e-05    8.5265e-14       4.1356
_SET1_   ENSG00000198799     1  113580831  113709882    280      18  195813       1.8781     0.019987    8.5709e-14       1.8781
_SET1_   ENSG00000134107     3    4985801    5062008    273      35  195813      0.26297      0.35864    8.5598e-14      0.26297
_SET1_   ENSG00000151617     4  148367069  148501106    313      28  195813       3.4829   0.00013134    8.5709e-14       3.4829
_SET1_   ENSG00000145675     5   67476548   67632649    451      63  195813       2.4005    0.0077539    8.5709e-14       2.4005
_SET1_   ENSG00000112742     6   80678604   80787244    401      22  195813      0.79089       0.1556    8.5598e-14      0.79089
_SET1_   ENSG00000185697     8   67439410   67561482    178      14  195813      0.12665      0.53151    8.5626e-14      0.12665
_SET1_   ENSG00000138119    10   95031186   95277074   1131      79  195813       1.3047     0.088409    8.5709e-14       1.3047
_SET1_   ENSG00000165474    13   20726609   20802037    294      37  195813     -0.94152       0.7997    8.5598e-14     -0.94152
_SET1_   ENSG00000170296    17    7108333    7181089    104      13  195813     -0.13521      0.47607    8.5626e-14     -0.13521
_SET1_   ENSG00000141027    17   15897471   16156499    468      14  195813       1.1071     0.081922    8.5709e-14       1.1071
