# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT (set)
# _SET1_  NGENES = 23
# _SET1_  P-VALUE = 3.60288e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000152061     1  174093548  174999445   2329      35  59957      -1.0986      0.68323    1.8208e-14      -1.0986
_SET1_   ENSG00000092969     1  218484577  218652961    405      55  59957       1.9446     0.002764    1.8208e-14       1.9446
_SET1_   ENSG00000211460     2  122459679  122560429    263      24  59957      0.92203     0.074778    1.8319e-14      0.92203
_SET1_   ENSG00000128052     4   55909644   56026756    418      62  59957       2.2159    0.0006483    1.8208e-14       2.2159
_SET1_   ENSG00000151470     4  129979472  130072795    265      20  59957      0.32468      0.13802    1.8263e-14      0.32468
_SET1_   ENSG00000113712     5  148836760  148966007    316      36  59957       1.4045     0.012758    1.8208e-14       1.4045
_SET1_   ENSG00000183807     6  117038363  117121886    227      41  59957       1.1747     0.016184    1.8208e-14       1.1747
_SET1_   ENSG00000214300     7   99870325   99954819    102      23  59957      0.69318     0.064453    1.8319e-14      0.69318
_SET1_   ENSG00000161057     7  102949701  103044842    205      33  59957     0.005018      0.23153    1.8289e-14     0.005018
_SET1_   ENSG00000254087     8   56757372   56958940    724      47  59957        1.378     0.014306    1.8208e-14        1.378
_SET1_   ENSG00000104529     8  144626867  144716711    346      34  59957     -0.98114      0.56395    1.8319e-14     -0.98114
_SET1_   ENSG00000198435     9  140159083  140231703    176      46  59957     -0.23453      0.24004    1.8291e-14     -0.23453
_SET1_   ENSG00000149177    11   47967113   48224670    601      40  59957       1.6953    0.0078413    1.8208e-14       1.6953
_SET1_   ENSG00000175567    11   73650712   73729352    259      29  59957      -1.2052       0.6472    1.8208e-14      -1.2052
_SET1_   ENSG00000160703    11  119002277  119089725    178      26  59957       1.4469    0.0093349    1.8208e-14       1.4469
_SET1_   ENSG00000110880    12  109003885  109160372    456      46  59957      0.90075     0.042258    1.8319e-14      0.90075
_SET1_   ENSG00000166949    15   67321101   67522533    622      80  59957       6.1781   3.4756e-13    1.8652e-14       6.1781
_SET1_   ENSG00000004779    16   23557323   23642677    288      26  59957     0.037412      0.26927    1.8291e-14     0.037412
_SET1_   ENSG00000173757    17   40316186   40463725    223      34  59957        6.754   1.8874e-14    1.8652e-14        6.754
_SET1_   ENSG00000123143    19   14508865   14617679    377      66  59957      -1.2302      0.60074    1.8208e-14      -1.2302
_SET1_   ENSG00000182986    19   53332043   53435946    552      57  59957       1.1303     0.019539    1.8208e-14       1.1303
_SET1_   ENSG00000088832    20    1314622    1408806    392      42  59957       1.2367     0.014662    1.8208e-14       1.2367
_SET1_   ENSG00000125845    20    6713311    6795927    291      60  59957       1.2595     0.011481    1.8208e-14       1.2595

# _SET2_  VARIABLE = MATZUK_EMBRYONIC_GERM_CELL (set)
# _SET2_  NGENES = 18
# _SET2_  P-VALUE = 1.0258e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000136634     1  206905947  206980839    236      52  59957       7.3023   5.5512e-17    1.8652e-14       7.3023
_SET2_   ENSG00000182247     3   23209511   23668284   1761      38  59957       1.7788     0.006617    1.8208e-14       1.7788
_SET2_   ENSG00000173585     3   45892996   45979667    244      37  59957       1.9519    0.0021849    1.8208e-14       1.9519
_SET2_   ENSG00000175161     3   84973132   86158579   3819      83  59957       2.9636   6.7943e-05    1.8208e-14       2.9636
_SET2_   ENSG00000171557     4  155490286  155569119    164      37  59957       1.1751     0.014024    1.8208e-14       1.1751
_SET2_   ENSG00000175416     5  175784456  175878570    242      49  59957      0.13693      0.14496    1.8291e-14      0.13693
_SET2_   ENSG00000112290     6  110386022  110536207    415      19  59957      0.93392      0.09265    1.8319e-14      0.93392
_SET2_   ENSG00000106803     9  101949346  102027897    206      15  59957     -0.44388      0.47628    1.8263e-14     -0.44388
_SET2_   ENSG00000075073    10   71128659   71211623    364      35  59957      -2.1861        0.907    1.8208e-14      -2.1861
_SET2_   ENSG00000110700    11   17060936   17134334    185      30  59957       1.6294    0.0057591    1.8208e-14       1.6294
_SET2_   ENSG00000110395    11  119041752  119213859    280      37  59957       1.3743     0.011046    1.8208e-14       1.3743
_SET2_   ENSG00000139970    14   60027694   60372684    876      42  59957      -1.1453       0.6359    1.8208e-14      -1.1453
_SET2_   ENSG00000178802    15   75147346   75226798    136      20  59957      -0.9391      0.51287    1.8319e-14      -0.9391
_SET2_   ENSG00000133026    17    8342523    8569079    467      48  59957      -1.8566      0.83546    1.8208e-14      -1.8566
_SET2_   ENSG00000168610    17   40430342   40575586    360      27  59957        6.478   2.4423e-13    1.8652e-14        6.478
_SET2_   ENSG00000087088    19   49423072   49500055    249      50  59957     -0.14817      0.21433    1.8291e-14     -0.14817
_SET2_   ENSG00000083807    19   58955879   59058780    212      33  59957       1.5602     0.006737    1.8208e-14       1.5602
_SET2_   ENSG00000184117    22   29915797   30012326    330      22  59957       2.1879    0.0015886    1.8208e-14       2.1879
