# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = VANDESLUIS_COMMD1_TARGETS_GROUP_4_UP (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 7.05336e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000160712     1  154342669  154476926    365      32  195813       4.9416   1.6852e-07    8.5265e-14       4.9416
_SET1_   ENSG00000079308     2  218629512  218902718    823     108  195813       4.1834   1.7708e-05    8.5265e-14       4.1834
_SET1_   ENSG00000132155     3   12590100   12740725    424      22  195813      0.11334      0.36873    8.5612e-14      0.11334
_SET1_   ENSG00000145675     5   67476548   67632649    451      63  195813       2.4005    0.0077539    8.5709e-14       2.4005
_SET1_   ENSG00000147873     9   21269613   21340312    215      17  195813    0.0034787      0.44073    8.5619e-14    0.0034787
_SET1_   ENSG00000148516    10   31572424   31853742    434      17  195813       2.5233    0.0061444    8.5709e-14       2.5233
_SET1_   ENSG00000149554    11  125460036  125581150    399      22  195813       1.0859      0.10093    8.5709e-14       1.0859
_SET1_   ENSG00000139192    12    6525856    6610683    328      30  195813      -2.4007      0.98705    8.5709e-14      -2.4007
_SET1_   ENSG00000161638    12   54754045   54848244    160      26  195813      0.67635      0.24562    8.5598e-14      0.67635
_SET1_   ENSG00000072609    12  133363773  133567890    567      23  195813        1.159     0.082696    8.5709e-14        1.159
_SET1_   ENSG00000141736    17   37809167   37921679    195      18  195813       1.1687     0.089539    8.5709e-14       1.1687
_SET1_   ENSG00000168610    17   40430342   40575586    325      24  195813         2.56    0.0031134    8.5709e-14         2.56
_SET1_   ENSG00000108821    17   48225650   48313993    216      47  195813     -0.38612      0.63642    8.5598e-14     -0.38612
_SET1_   ENSG00000124116    20   44341583   44455571    552      21  195813     -0.41372      0.56769    8.5598e-14     -0.41372
_SET1_   ENSG00000100348    22   36828083   36913077    383      31  195813      0.23484      0.36136    8.5626e-14      0.23484
