# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 1.49734e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000174827     1  145691918  145799074     72      16  59957       2.5146   0.00021801    1.8208e-14       2.5146
_SET1_   ENSG00000136634     1  206905947  206980839    236      52  59957       7.3023   5.5512e-17    1.8652e-14       7.3023
_SET1_   ENSG00000138030     2   27274615   27358640    164      26  59957      0.58108     0.071567    1.8319e-14      0.58108
_SET1_   ENSG00000187955     8  121037019  121419275   1165      87  59957     -0.94354      0.49989    1.8319e-14     -0.94354
_SET1_   ENSG00000096968     9    4950033    5163183    734      38  59957        7.021   3.0159e-15    1.8652e-14        7.021
_SET1_   ENSG00000110200    11   71782424   71858826    242      22  59957      0.77244     0.085918    1.8319e-14      0.77244
_SET1_   ENSG00000100911    14   24577574   24651779    161      35  59957      0.81437     0.039886    1.8319e-14      0.81437
_SET1_   ENSG00000100504    14   51289609   51446454    606      76  59957     -0.16879      0.22243    1.8291e-14     -0.16879
_SET1_   ENSG00000196296    16   28854726   28950830    172      21  59957       6.4807   1.1524e-13    1.8652e-14       6.4807
_SET1_   ENSG00000100281    22   35618445   35726800    329      21  59957       3.7284   3.9466e-06    1.8208e-14       3.7284
_SET1_   ENSG00000100311    22   39584364   39675756    410      43  59957       5.1984   3.8513e-10    1.8652e-14       5.1984

# _SET2_  VARIABLE = REACTOME_NUCLEOTIDE_EXCISION_REPAIR (set)
# _SET2_  NGENES = 108
# _SET2_  P-VALUE = 1.1871e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000066185     1   42861000   42956938    293      20  59957     -0.46579      0.37083    1.8263e-14     -0.46579
_SET2_   ENSG00000174021     1   84929008   85007248    342      25  59957     -0.36686      0.38745    1.8263e-14     -0.36686
_SET2_   ENSG00000162645     1   89536815   89651139    335      22  59957       1.0542     0.034754    1.8208e-14       1.0542
_SET2_   ENSG00000143553     1  153596130  153669306    132      17  59957      -1.3314      0.66396    1.8208e-14      -1.3314
_SET2_   ENSG00000162753     1  173434603  173607233    461      27  59957      0.87454     0.060016    1.8319e-14      0.87454
_SET2_   ENSG00000152061     1  174093548  174999445   2329      35  59957      -1.0986      0.68323    1.8208e-14      -1.0986
_SET2_   ENSG00000175137     1  249069648  249155832    255      19  59957       1.2091     0.038125    1.8208e-14       1.2091
_SET2_   ENSG00000155368     2  120089497  120165126    318      27  59957      0.85268     0.049416    1.8319e-14      0.85268
_SET2_   ENSG00000115290     2  165314322  165513358    452      59  59957    -0.056999      0.19409    1.8291e-14    -0.056999
_SET2_   ENSG00000128714     2  176922619  176995666    202      49  59957       1.8106    0.0033309    1.8208e-14       1.8106
_SET2_   ENSG00000064933     2  190614107  190777355    387      30  59957      0.37052      0.16633    1.8263e-14      0.37052
_SET2_   ENSG00000178568     2  212205446  213438565   5092     232  59957       1.3786    0.0094454    1.8208e-14       1.3786
_SET2_   ENSG00000178623     2  241509848  241605676    492      54  59957       4.7388   8.4951e-09    1.8652e-14       4.7388
_SET2_   ENSG00000164078     3   49889435   49976299    136      19  59957       6.3101   2.5819e-13    1.8652e-14       6.3101
_SET2_   ENSG00000163931     3   53223723   53325068    360      26  59957        0.246      0.14256    1.8291e-14        0.246
_SET2_   ENSG00000163947     3   56726446   57148357   1490     131  59957      0.45522     0.075634    1.8263e-14      0.45522
_SET2_   ENSG00000114480     3   81503850   81846312    822      46  59957     -0.80379       0.5266    1.8319e-14     -0.80379
_SET2_   ENSG00000144810     3   99322319   99553070    683      52  59957      0.52905     0.096773    1.8319e-14      0.52905
_SET2_   ENSG00000163840     3  122248085  122329050    315      33  59957       1.1802     0.020366    1.8208e-14       1.1802
_SET2_   ENSG00000188313     3  146197967  146297651    436      46  59957       1.0319     0.028713    1.8208e-14       1.0319
_SET2_   ENSG00000114346     3  172433472  172574264    425      31  59957      0.28541      0.15003    1.8263e-14      0.28541
_SET2_   ENSG00000121879     3  178830902  178992881    573      39  59957       1.2572     0.023436    1.8208e-14       1.2572
_SET2_   ENSG00000157404     4   55489085   55641881    502      56  59957     -0.96386      0.51379    1.8319e-14     -0.96386
_SET2_   ENSG00000138798     4  110799040  110968422    518      32  59957      -0.8249      0.53728    1.8319e-14      -0.8249
_SET2_   ENSG00000164400     5  131374483  131446859    183      29  59957        6.012   1.9095e-12    1.8652e-14        6.012
_SET2_   ENSG00000164611     5  159813829  159890748    251      48  59957       0.4723     0.078167    1.8263e-14       0.4723
_SET2_   ENSG00000175416     5  175784456  175878570    242      49  59957      0.13693      0.14496    1.8291e-14      0.13693
_SET2_   ENSG00000112812     6   27180480   27259403    272      28  59957       2.0152    0.0029922    1.8208e-14       2.0152
_SET2_   ENSG00000168787     6   29329416   29400448    366      26  59957       4.4059   7.7155e-08    1.8652e-14       4.4059
_SET2_   ENSG00000224389     6   31947539   32038195    120      33  59957       7.0368   9.9924e-16    1.8652e-14       7.0368
_SET2_   ENSG00000196126     6   32511546   32592625    491      33  59957       5.8579   1.3317e-11    1.8652e-14       5.8579
_SET2_   ENSG00000168394     6   32777986   32856755    659      53  59957       7.6104   1.4477e-17    1.8652e-14       7.6104
_SET2_   ENSG00000156711     6   36060586   36142842    173      35  59957       1.3166     0.012696    1.8208e-14       1.3166
_SET2_   ENSG00000137200     6   37365995   37485603    365      29  59957      -1.2984      0.69565    1.8208e-14      -1.2984
_SET2_   ENSG00000112658     6   43104037   43184243    201      26  59957      -0.6111      0.47406    1.8319e-14      -0.6111
_SET2_   ENSG00000010818     6  143037604  143301338    824      90  59957       0.9979     0.027152    1.8319e-14       0.9979
_SET2_   ENSG00000112486     6  167490295  167588184    395      42  59957       5.4563     1.25e-10    1.8652e-14       5.4563
_SET2_   ENSG00000157927     7    4801686    4958350    761      54  59957      -1.4374      0.75345    1.8208e-14      -1.4374
_SET2_   ENSG00000136244     7   22730503   22806621    360      34  59957       2.0749    0.0016602    1.8208e-14       2.0749
_SET2_   ENSG00000136235     7   23240586   23349727    350      25  59957      0.39248      0.15262    1.8263e-14      0.39248
_SET2_   ENSG00000006451     7   39628082   39782723    418      37  59957     -0.35802      0.33677    1.8263e-14     -0.35802
_SET2_   ENSG00000160908     7   99049142   99132947    167      27  59957       2.0258    0.0038743    1.8208e-14       2.0258
_SET2_   ENSG00000164815     7  103731788  103883495    571      29  59957      -1.5222      0.77779    1.8208e-14      -1.5222
_SET2_   ENSG00000105851     7  106470723  106582590    349      42  59957      -1.1836      0.63061    1.8208e-14      -1.1836
_SET2_   ENSG00000186480     7  155054486  155136945    441      48  59957      -2.3885      0.92795    1.8208e-14      -2.3885
_SET2_   ENSG00000147457     8   23066150   23154512    378      48  59957      -1.6963      0.77777    1.8208e-14      -1.6963
_SET2_   ENSG00000134013     8   23119702   23317841    966      62  59957       -0.664      0.41627    1.8319e-14       -0.664
_SET2_   ENSG00000104290     8   28316729   28466775    432      35  59957      0.46433     0.097638    1.8263e-14      0.46433
_SET2_   ENSG00000067167     8   71450677   71555622    301      26  59957     -0.37016      0.35925    1.8263e-14     -0.37016
_SET2_   ENSG00000164953     8   94732072   94866462    255      30  59957      -1.4906      0.74792    1.8208e-14      -1.4906
_SET2_   ENSG00000155096     8  103803585  103941092    477      33  59957      0.30384      0.14277    1.8263e-14      0.30384
_SET2_   ENSG00000204882     8  142331600  142412367    275      38  59957      0.68545     0.058987    1.8319e-14      0.68545
_SET2_   ENSG00000107099     9     179854     500259   1649      88  59957       3.4784   5.9865e-06    1.8208e-14       3.4784
_SET2_   ENSG00000147852     9    2586834    2695053    537      76  59957     -0.34817      0.26993    1.8263e-14     -0.34817
_SET2_   ENSG00000119508     9  102549137  102664173    203      32  59957      0.43193     0.089706    1.8263e-14      0.43193
_SET2_   ENSG00000181634     9  117511915  117603406    233      48  59957       5.1893        5e-10    1.8652e-14       5.1893
_SET2_   ENSG00000130707     9  133285316  133411661    532      74  59957      -2.6058      0.95199    1.8208e-14      -2.6058
_SET2_   ENSG00000148300     9  136236186  136318164    312      26  59957      0.90338     0.050276    1.8319e-14      0.90338
_SET2_   ENSG00000107968    10   30687866   30785762    255      20  59957       7.0608   2.6246e-15    1.8652e-14       7.0608
_SET2_   ENSG00000072422    10   62594196   62796198    624      59  59957      0.27044      0.12993    1.8263e-14      0.27044
_SET2_   ENSG00000175097    11   36562124   36654829    260      18  59957       1.2202     0.036836    1.8208e-14       1.2202
_SET2_   ENSG00000150764    11  111762868  111928308    336      23  59957    -0.056295       0.2813    1.8291e-14    -0.056295
_SET2_   ENSG00000165495    11  124999583  125338285   1217     138  59957       1.4799    0.0077383    1.8208e-14       1.4799
_SET2_   ENSG00000179941    12   76703254   76777222    162      31  59957     -0.55006      0.34967    1.8319e-14     -0.55006
_SET2_   ENSG00000089022    12  112244782  112369343    295      12  59957       0.5253      0.16017    1.8319e-14       0.5253
_SET2_   ENSG00000150967    12  123370498  123501196    188      41  59957       -0.663      0.43801    1.8319e-14       -0.663
_SET2_   ENSG00000150991    12  125361150  125436914    284      47  59957      0.79448     0.040623    1.8319e-14      0.79448
_SET2_   ENSG00000222028    14   23476376   23548269    166      43  59957        1.307      0.01197    1.8208e-14        1.307
_SET2_   ENSG00000165410    14   35144593   35219029    297      32  59957     0.039016      0.18904    1.8291e-14     0.039016
_SET2_   ENSG00000165417    14   81606796   81722721    298      34  59957      0.74057     0.055645    1.8319e-14      0.74057
_SET2_   ENSG00000198838    15   33568163   34193303   3088     236  59957     0.022906      0.13666    1.8287e-14     0.022906
_SET2_   ENSG00000230778    15   40538645   40609787    258      58  59957      0.82382      0.03635    1.8319e-14      0.82382
_SET2_   ENSG00000137802    15   42031632   42155053    319      28  59957      -0.3587      0.32464    1.8263e-14      -0.3587
_SET2_   ENSG00000166128    15   63446668   63594981    433      41  59957     -0.23325      0.29577    1.8291e-14     -0.23325
_SET2_   ENSG00000166949    15   67321101   67522533    622      80  59957       6.1781   3.4756e-13    1.8652e-14       6.1781
_SET2_   ENSG00000103034    16   58461750   58582532    421      76  59957      0.15024      0.13365    1.8291e-14      0.15024
_SET2_   ENSG00000183723    16   66613653   66765610    384      27  59957      0.71094      0.08863    1.8319e-14      0.71094
_SET2_   ENSG00000198373    16   69761209   70010644    684      41  59957       1.7298    0.0059894    1.8208e-14       1.7298
_SET2_   ENSG00000166451    16   81005103   81101719    498      27  59957      -1.1964      0.71609    1.8208e-14      -1.1964
_SET2_   ENSG00000141027    17   15897471   16156499    602      24  59957     -0.17123      0.30357    1.8291e-14     -0.17123
_SET2_   ENSG00000141034    17   17907606   18006718    202      19  59957      -1.5469      0.76235    1.8208e-14      -1.5469
_SET2_   ENSG00000181291    17   32872768   33001337    449      98  59957     -0.75026      0.38019    1.8319e-14     -0.75026
_SET2_   ENSG00000141141    17   35934787   36038493    211      45  59957       1.5538    0.0065811    1.8208e-14       1.5538
_SET2_   ENSG00000171475    17   38340556   38475388    254      20  59957       3.4459   3.0502e-05    1.8208e-14       3.4459
_SET2_   ENSG00000171345    17   39644869   39719560    223      40  59957     -0.68294      0.40193    1.8319e-14     -0.68294
_SET2_   ENSG00000136450    17   56045721   56119707    165      25  59957      0.98073     0.052104    1.8319e-14      0.98073
_SET2_   ENSG00000108604    17   61874444   61955425    230      15  59957     -0.20833      0.27237    1.8291e-14     -0.20833
_SET2_   ENSG00000082397    18    5357383    5665699   1112     121  59957      -1.2569      0.62539    1.8208e-14      -1.2569
_SET2_   ENSG00000196628    18   52854562   53367018   1073      86  59957       3.6359    3.679e-06    1.8208e-14       3.6359
_SET2_   ENSG00000131196    18   77120856   77324325   1079      91  59957       3.6052   3.4196e-06    1.8208e-14       3.6052
_SET2_   ENSG00000105229    19    3972644    4074384    292      30  59957       2.1982    0.0016961    1.8208e-14       2.1982
_SET2_   ENSG00000130545    19    6428788    6502232    258      38  59957     -0.97809      0.54306    1.8319e-14     -0.97809
_SET2_   ENSG00000076984    19    7933728    8014363    269      41  59957     -0.83516      0.47315    1.8319e-14     -0.83516
_SET2_   ENSG00000127616    19   11036598   11211071    541      37  59957      0.56569     0.094526    1.8319e-14      0.56569
_SET2_   ENSG00000130303    19   17478748   17551457    310      31  59957      0.31969      0.14363    1.8263e-14      0.31969
_SET2_   ENSG00000105723    19   42699338   42781777    118      13  59957      0.26155      0.20931    1.8263e-14      0.26155
_SET2_   ENSG00000105559    19   49305354   49406889    432      36  59957      -1.8304      0.85212    1.8208e-14      -1.8304
_SET2_   ENSG00000062822    19   50852461   50956273    316      47  59957      0.93416     0.032068    1.8319e-14      0.93416
_SET2_   ENSG00000105568    19   52658292   52765687    456      37  59957      -1.0118      0.60325    1.8208e-14      -1.0118
_SET2_   ENSG00000188559    20   20335196   20728131    574      55  59957     -0.25725       0.3205    1.8263e-14     -0.25725
_SET2_   ENSG00000132661    20   23296373   23370414    246      28  59957     -0.77537      0.46818    1.8319e-14     -0.77537
