# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = BIOCARTA_EDG1_PATHWAY (set)
# _SET1_  NGENES = 20
# _SET1_  P-VALUE = 4.33334e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000171385     1  112278284  112566777    964     109  195813      0.17786      0.45631    8.5626e-14      0.17786
_SET1_   ENSG00000160712     1  154342669  154476926    365      32  195813       4.9416   1.6852e-07    8.5265e-14       4.9416
_SET1_   ENSG00000092969     1  218484577  218652961    359      44  195813     -0.33293      0.60519    8.5598e-14     -0.33293
_SET1_   ENSG00000177151     1  248766588  248837559     90       8  195813     -0.13469      0.48097    8.5626e-14     -0.13469
_SET1_   ENSG00000084674     2   21189301   21301945    256      31  195813       4.5136   1.6125e-06    8.5265e-14       4.5136
_SET1_   ENSG00000115461     2  217501828  217595248    219      26  195813      0.34315      0.33328    8.5598e-14      0.34315
_SET1_   ENSG00000152977     3  147076209  147263080    442      35  195813      -1.8665      0.96013    8.5709e-14      -1.8665
_SET1_   ENSG00000134480     5   86652311   86743836    111      17  195813     -0.56724       0.6916    8.5598e-14     -0.56724
_SET1_   ENSG00000171720     5  140965443  141051437    216      40  195813       1.4259     0.070816    8.5709e-14       1.4259
_SET1_   ENSG00000107984    10   54039056   54112802    188      26  195813       1.9822     0.016696    8.5709e-14       1.9822
_SET1_   ENSG00000073921    11   85633727   85815924    553      25  195813     -0.36635      0.56339    8.5598e-14     -0.36635
_SET1_   ENSG00000152556    12   48463922   48575187    327      22  195813        1.183      0.08615    8.5709e-14        1.183
_SET1_   ENSG00000102755    13   28839489   29104265    665      57  195813        3.554   0.00015073    8.5709e-14        3.554
_SET1_   ENSG00000120659    13   43101872   43217149    318      26  195813     -0.96388      0.78893    8.5598e-14     -0.96388
_SET1_   ENSG00000198176    13  114204013  114330785    217      19  195813     -0.23823      0.51528    8.5626e-14     -0.23823
_SET1_   ENSG00000168952    14   25243862   25554503   1015      67  195813  -0.00018513      0.47102    8.5618e-14  -0.00018513
_SET1_   ENSG00000125686    17   37525538   37642539    217      12  195813       2.0002     0.013001    8.5709e-14       2.0002
_SET1_   ENSG00000089685    17   76175267   76256717    411      45  195813      0.70759       0.2074    8.5598e-14      0.70759
_SET1_   ENSG00000184557    17   76317864   76391158    278      44  195813      -0.2733      0.57887    8.5598e-14      -0.2733
_SET1_   ENSG00000131043    20   34789381   34893840     99      25  195813       3.3332   0.00035185    8.5709e-14       3.3332
