# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE (set)
# _SET1_  NGENES = 70
# _SET1_  P-VALUE = 5.5812e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000020633     1   25191002   25326612    144      24  204402       1.8476     0.008242   -6.6613e-16       1.8476
_SET1_   ENSG00000163875     1   37923176   38015375     33       7  204402       1.1167     0.050318   -6.6613e-16       1.1167
_SET1_   ENSG00000132768     1   44400672   44474041     38       6  204402      0.26154      0.24567   -7.2164e-16      0.26154
_SET1_   ENSG00000184588     1   66223197   66875259    592      51  204402       6.4041   7.0804e-13   -8.8818e-16       6.4041
_SET1_   ENSG00000163131     1  150667672  150773433     28       2  204402      -1.0992      0.73075   -6.6613e-16      -1.0992
_SET1_   ENSG00000143603     1  154634931  154877756    252      57  204402       6.1194   2.1546e-11   -8.8818e-16       6.1194
_SET1_   ENSG00000160691     1  154899774  154981871     28       5  204402       1.7739     0.011139   -6.6613e-16       1.7739
_SET1_   ENSG00000163518     1  157508539  157602870    114      10  204402      -1.9254       0.9156   -6.6613e-16      -1.9254
_SET1_   ENSG00000117592     1  173411405  173492946     54       6  204402     -0.77727      0.60541   -7.7716e-16     -0.77727
_SET1_   ENSG00000169006     2   11763304   11845290     62      18  204402      0.12766      0.25419   -7.2164e-16      0.12766
_SET1_   ENSG00000070950     3    8782088    9040457    370      32  204402       2.3041    0.0017996   -8.8818e-16       2.3041
_SET1_   ENSG00000153283     3  110976566  111419597    360      37  204402      -1.0983      0.69292   -6.6613e-16      -1.0983
_SET1_   ENSG00000180353     3  121315246  121414774     84      15  204402     -0.84534      0.62065   -7.7716e-16     -0.84534
_SET1_   ENSG00000172765     3  129331635  129647419     78       6  204402      0.23723      0.24796   -7.2164e-16      0.23723
_SET1_   ENSG00000163660     3  156829297  156913549     43       6  204402       1.6435      0.01539   -6.6613e-16       1.6435
_SET1_   ENSG00000163584     3  170547664  170623272     45       5  204402       1.9042     0.007597   -6.6613e-16       1.9042
_SET1_   ENSG00000152784     4   81070033   81160483     85      16  204402       0.1099      0.26546   -7.3552e-16       0.1099
_SET1_   ENSG00000164109     4  120941763  121023229     50       8  204402      0.32419      0.19513   -7.2164e-16      0.32419
_SET1_   ENSG00000153037     5  112161919  112240485     62       5  204402    -0.028996      0.31095   -7.2858e-16    -0.028996
_SET1_   ENSG00000168938     5  122323945  122407436     63       8  204402      0.54983      0.13997   -7.7716e-16      0.54983
_SET1_   ENSG00000185129     5  139452362  139531321     28       4  204402      -1.1199      0.73238   -6.6613e-16      -1.1199
_SET1_   ENSG00000196923     5  176875395  176959607     12       1  204402      0.90775      0.08557   -7.7716e-16      0.90775
_SET1_   ENSG00000112242     6   20367398   20528941    130      25  204402     -0.22403      0.38428   -7.2164e-16     -0.22403
_SET1_   ENSG00000234745     6   31286649   31359965    219      27  204402         5.19   4.5757e-09   -8.8818e-16         5.19
