# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_IRAK1_RECRUITS_IKK_COMPLEX (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 7.11782e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000084636     1   32082848   32204920    180      20  210265       1.6174     0.017842   -2.2204e-16       1.6174
_SET1_   ENSG00000084072     1   40122854   40264586    423      50  215239       1.0857     0.047496   -2.2204e-16       1.0857
_SET1_   ENSG00000116990     1   40326098   40402928    170      20  217541       0.7784      0.11561   -3.3307e-16       0.7784
_SET1_   ENSG00000121989     2  148567086  148723393    163      11  218265     -0.26965      0.44727   -2.7756e-16     -0.26965
_SET1_   ENSG00000172482     2  241772896  241854919    355      13  220884      0.68159      0.12434   -3.3307e-16      0.68159
_SET1_   ENSG00000136603     3  170040466  170149623    242      22  217103       1.5584     0.022783   -2.2204e-16       1.5584
_SET1_   ENSG00000118816     4   77933311   78032158    164      21  211334     -0.32382      0.45952   -2.7756e-16     -0.32382
_SET1_   ENSG00000113360     5   31365604   31567303    517      38  218843     -0.23744       0.3603   -2.7756e-16     -0.23744
_SET1_   ENSG00000175416     5  175784456  175878570    168      28  213559      -1.2524      0.78692   -2.2204e-16      -1.2524
_SET1_   ENSG00000173599    11   66580704   66760847    243      28  215093     -0.11401       0.3643   -2.7756e-16     -0.11401
_SET1_   ENSG00000125826    20     353142     446610    211      31  214789       -1.107      0.72705   -2.2204e-16       -1.107
_SET1_   ENSG00000100994    20   25193705   25313650    314      17  209659      -2.0117      0.93112   -4.4409e-16      -2.0117
