# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = DAZARD_RESPONSE_TO_UV_NHEK_DN (set)
# _SET1_  NGENES = 278
# _SET1_  P-VALUE = 4.95699e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000132879     1   11679432   11758384     38      11  204402    -0.054409       0.3238   -7.2858e-16    -0.054409
_SET1_   ENSG00000117676     1   26821252   26936521     50      10  204402       1.0739     0.055137   -6.6613e-16       1.0739
_SET1_   ENSG00000180198     1   28797455   28900812     28       3  204402       0.8298      0.09445   -7.7716e-16       0.8298
_SET1_   ENSG00000162512     1   31307314   31416608     96      27  204402       1.8108    0.0099965   -6.6613e-16       1.8108
_SET1_   ENSG00000121769     1   31803472   31884697     73       6  204402       -1.279      0.77973   -6.6613e-16       -1.279
_SET1_   ENSG00000160050     1   32630987   32705988     21       3  204402      -0.7366      0.70127   -7.7716e-16      -0.7366
_SET1_   ENSG00000084073     1   40688779   40794856     40      10  204402      0.85995     0.085047   -7.7716e-16      0.85995
_SET1_   ENSG00000117461     1   46470812   46677160    108       9  204402       1.6825     0.012768   -6.6613e-16       1.6825
_SET1_   ENSG00000085840     1   52803501   52905131     30       5  204402     -0.37224      0.49765   -7.2164e-16     -0.37224
_SET1_   ENSG00000162409     1   57075995   57216008     71      11  204402        0.822       0.0856   -7.7716e-16        0.822
_SET1_   ENSG00000055732     1   85448765   85549182     94      11  204402       1.1607     0.044567   -6.6613e-16       1.1607
_SET1_   ENSG00000117228     1   89483002   89566043     60       6  204402      -0.1052      0.33735   -7.3552e-16      -0.1052
_SET1_   ENSG00000137942     1   93878688   94055218     46       9  204402       2.7808   0.00048928   -8.8818e-16       2.7808
_SET1_   ENSG00000143106     1  109906653  110004062     39       3  204402      0.65139      0.12829   -7.7716e-16      0.65139
_SET1_   ENSG00000156097     1  110047494  110126028     52       8  204402       2.3482    0.0019967   -8.8818e-16       2.3482
_SET1_   ENSG00000163399     1  116880290  116987883     41       5  204402     -0.62366      0.63303   -7.7716e-16     -0.62366
_SET1_   ENSG00000092621     1  120167421  120321838    152      24  204402     -0.92448      0.64565   -7.7716e-16     -0.92448
_SET1_   ENSG00000163113     1  149874705  150017625     43       7  204402    -0.077382      0.34359   -7.3552e-16    -0.077382
_SET1_   ENSG00000143420     1  150538327  150637088     35       5  204402      -0.4333      0.46325   -7.2164e-16      -0.4333
_SET1_   ENSG00000143387     1  150733684  150815799     26       5  204402      -0.5296      0.50416   -7.7716e-16      -0.5296
