# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = DACOSTA_UV_RESPONSE_VIA_ERCC3_DN (set)
# _SET1_  NGENES = 801
# _SET1_  P-VALUE = 2.75157e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000162490     1   11716786   11820914    305      46  195813     -0.21757      0.54714    8.5626e-14     -0.21757
_SET1_   ENSG00000120937     1   11882521   11953988    321      29  195813      0.98195      0.13037    8.5598e-14      0.98195
_SET1_   ENSG00000162496     1   12592939   12712737    488      58  195813        1.568     0.051316    8.5709e-14        1.568
_SET1_   ENSG00000173641     1   16305523   16381089    480      31  195813      0.63532      0.20984    8.5598e-14      0.63532
_SET1_   ENSG00000159363     1   17277453   17373423    244      27  195813      0.69618      0.19619    8.5598e-14      0.69618
_SET1_   ENSG00000075151     1   21097963   21538377    863      25  195813     -0.15449      0.46706    8.5626e-14     -0.15449
_SET1_   ENSG00000162552     1   22408798   22505462    340      41  195813     -0.31469      0.59293    8.5598e-14     -0.31469
_SET1_   ENSG00000182749     1   26152701   26232744    135       8  195813      -1.1165      0.80096    8.5709e-14      -1.1165
_SET1_   ENSG00000117632     1   26175672   26268482    121      11  195813      0.62315      0.19499    8.5598e-14      0.62315
_SET1_   ENSG00000169442     1   26609448   26682014    246      23  195813      -0.1753      0.50109    8.5626e-14      -0.1753
_SET1_   ENSG00000090020     1   27390306   27528472    250      13  195813      -1.1978      0.82683    8.5709e-14      -1.1978
_SET1_   ENSG00000158195     1   27695730   27851669    227      12  195813       1.1603     0.092051    8.5709e-14       1.1603
_SET1_   ENSG00000117751     1   28122289   28213187    139      19  195813      -1.3955      0.90554    8.5709e-14      -1.3955
_SET1_   ENSG00000162511     1   31170316   31265667    314      32  195813      -1.7615      0.94537    8.5709e-14      -1.7615
_SET1_   ENSG00000162526     1   32782122   32864913     43      22  195813       1.1535       0.2132    8.5709e-14       1.1535
_SET1_   ENSG00000162521     1   33081743   33186812    234       9  195813      -1.2083      0.88716    8.5709e-14      -1.2083
_SET1_   ENSG00000188910     1   35211790   35286970    285      35  195813      0.33067      0.32125    8.5598e-14      0.33067
_SET1_   ENSG00000126067     1   36032185   36142445    106       9  195813      0.27444      0.47185    8.5598e-14      0.27444
_SET1_   ENSG00000092853     1   36150819   36270568    153      12  195813     -0.44505      0.65067    8.5598e-14     -0.44505
_SET1_   ENSG00000127603     1   39511988   39987849   1009      37  195813      0.67506      0.21089    8.5598e-14      0.67506
_SET1_   ENSG00000127129     1   41909446   41985344    256      32  195813      -1.5347      0.92201    8.5709e-14      -1.5347
_SET1_   ENSG00000065978     1   43113098   43203020    194      25  195813       2.4016     0.005619    8.5709e-14       2.4016
_SET1_   ENSG00000117399     1   43789626   43863874    103      14  195813       1.7452     0.027053    8.5709e-14       1.7452
_SET1_   ENSG00000126091     1   44136495   44431831    649      29  195813       1.0585      0.10457    8.5709e-14       1.0585
_SET1_   ENSG00000132128     1   46691868   46804280    155      27  195813     0.039405      0.46135    8.5619e-14     0.039405
_SET1_   ENSG00000177606     1   59211465   59284785    142      25  195813      -1.4248      0.90635    8.5709e-14      -1.4248
_SET1_   ENSG00000118454     1   70691271   70855417    272      25  195813      0.23186      0.36673    8.5626e-14      0.23186
_SET1_   ENSG00000036549     1   77993101   78184104    390      25  195813     0.060948      0.41564    8.5619e-14     0.060948
_SET1_   ENSG00000137959     1   79050607   79146830    222      38  195813        1.023      0.14249    8.5709e-14        1.023
_SET1_   ENSG00000142875     1   84508745   84739181    421      35  195813      0.74614      0.18392    8.5598e-14      0.74614
_SET1_   ENSG00000097033     1   87135259   87248867    277      27  195813      0.21197      0.38471    8.5626e-14      0.21197
_SET1_   ENSG00000156876     1  100514119  100633511    294      19  195813        1.208       0.1159    8.5709e-14        1.208
_SET1_   ENSG00000162695     1  101326632  101482309    216      22  195813       1.4224     0.057767    8.5709e-14       1.4224
_SET1_   ENSG00000134215     1  108078782  108542766   1684      97  195813       1.0755      0.14368    8.5709e-14       1.0755
_SET1_   ENSG00000143106     1  109906653  110004062    149      13  195813       2.0274     0.013105    8.5709e-14       2.0274
_SET1_   ENSG00000064886     1  111708393  111821062    393      39  195813     -0.68935      0.70896    8.5598e-14     -0.68935
_SET1_   ENSG00000213281     1  115212090  115294515    169      28  195813      0.48276       0.2846    8.5598e-14      0.48276
_SET1_   ENSG00000163399     1  116880290  116987883    186      16  195813     -0.93746      0.87376    8.5598e-14     -0.93746
_SET1_   ENSG00000116824     1  117262007  117346850    183      26  195813      -2.2361      0.98324    8.5709e-14      -2.2361
_SET1_   ENSG00000198162     1  117875071  118106494    623      25  195813    -0.023651      0.42962    8.5619e-14    -0.023651
_SET1_   ENSG00000162836     1  147066453  147177618    326      36  195813       1.0872      0.11916    8.5709e-14       1.0872
_SET1_   ENSG00000118292     1  150205600  150288327    162      14  195813       -0.447      0.58778    8.5598e-14       -0.447
_SET1_   ENSG00000163131     1  150667672  150773433    223      15  195813       2.3565    0.0048034    8.5709e-14       2.3565
_SET1_   ENSG00000163159     1  151107463  151202797    144      28  195813      0.11926      0.42677    8.5612e-14      0.11926
_SET1_   ENSG00000143367     1  151477781  151591059    204      30  195813       1.1331      0.10422    8.5709e-14       1.1331
_SET1_   ENSG00000169469     1  152968678  153040376    311       6  195813     -0.90994      0.70682    8.5598e-14     -0.90994
_SET1_   ENSG00000160741     1  153885145  153966101    105      12  195813       2.0599     0.012008    8.5709e-14       2.0599
_SET1_   ENSG00000143570     1  153896575  153975188     95      12  195813       2.0327     0.013113    8.5709e-14       2.0327
_SET1_   ENSG00000160714     1  154486053  154566504    208      18  195813       2.5805    0.0027449    8.5709e-14       2.5805
_SET1_   ENSG00000160691     1  154899774  154981871    117      19  195813       2.7859    0.0020106    8.5709e-14       2.7859
_SET1_   ENSG00000185499     1  155123300  155197707    125      15  195813        1.986     0.014413    8.5709e-14        1.986
_SET1_   ENSG00000143627     1  155224630  155306225     97       8  195813        1.603     0.033715    8.5709e-14        1.603
_SET1_   ENSG00000160785     1  156128880  156217587    206      21  195813    -0.085099       0.4596    8.5612e-14    -0.085099
_SET1_   ENSG00000132688     1  156603555  156682189    155      27  195813       -1.194      0.85451    8.5709e-14       -1.194
_SET1_   ENSG00000143321     1  156676899  156771717    213      26  195813       1.3956     0.063083    8.5709e-14       1.3956
_SET1_   ENSG00000162734     1  160140127  160220166    181      37  195813     -0.19078      0.53918    8.5626e-14     -0.19078
_SET1_   ENSG00000171786     1  160301857  160377638    193      21  195813      0.22289      0.34405    8.5626e-14      0.22289
_SET1_   ENSG00000026751     1  160674037  160759611    215      37  195813       1.5304     0.051694    8.5709e-14       1.5304
_SET1_   ENSG00000158882     1  161160793  161235408    215      34  195813      -1.5618      0.92839    8.5709e-14      -1.5618
_SET1_   ENSG00000143226     1  161440220  161528803    227      30  195813      -1.7022      0.94227    8.5709e-14      -1.7022
_SET1_   ENSG00000143185     1  168475003  168548235    224      26  195813     0.022869      0.42881    8.5619e-14     0.022869
_SET1_   ENSG00000188404     1  169624808  169715839    458      31  195813     -0.32063       0.5663    8.5598e-14     -0.32063
_SET1_   ENSG00000135845     1  172304329  172448230    377      31  195813       1.2596     0.079696    8.5709e-14       1.2596
_SET1_   ENSG00000094975     1  172466489  172615971    293      21  195813       2.0287      0.01293    8.5709e-14       2.0287
_SET1_   ENSG00000116701     1  183489698  183595011    278      27  195813     -0.10969      0.47746    8.5612e-14     -0.10969
_SET1_   ENSG00000143344     1  183570220  183932665   1120      49  195813      0.26349      0.34139    8.5598e-14      0.26349
_SET1_   ENSG00000143341     1  185668683  186195085    837      51  195813     -0.61198      0.68745    8.5598e-14     -0.61198
_SET1_   ENSG00000047410     1  186245784  186379825    289      20  195813       2.3076     0.006272    8.5709e-14       2.3076
_SET1_   ENSG00000116785     1  196708925  196798203    356       8  195813      0.56724      0.18459    8.5598e-14      0.56724
_SET1_   ENSG00000118194     1  201293136  201381890    322      34  195813    -0.018309      0.46191    8.5619e-14    -0.018309
_SET1_   ENSG00000143466     1  206608791  206705223    287      31  195813      -0.5351      0.65219    8.5598e-14      -0.5351
_SET1_   ENSG00000117335     1  207890402  208003858    266      20  195813     -0.59126      0.65278    8.5598e-14     -0.59126
_SET1_   ENSG00000143473     1  210821555  211342457   1806      98  195813       2.2392     0.012907    8.5709e-14       2.2392
_SET1_   ENSG00000143476     1  212173919  212315742    462      37  195813     -0.90261      0.79845    8.5598e-14     -0.90261
_SET1_   ENSG00000162813     1  220195824  220298804    262      24  195813      0.12398      0.41032    8.5612e-14      0.12398
_SET1_   ENSG00000143786     1  224587362  224963251    973      51  195813       2.4606    0.0049611    8.5709e-14       2.4606
_SET1_   ENSG00000143768     1  226089298  226164189    156      37  195813    -0.038242      0.50307    8.5619e-14    -0.038242
_SET1_   ENSG00000168118     1  229371822  229476641    250      22  195813      -1.5732      0.91573    8.5709e-14      -1.5732
_SET1_   ENSG00000143632     1  229531992  229604845    187      26  195813     -0.20557      0.52653    8.5626e-14     -0.20557
_SET1_   ENSG00000135775     1  230743235  230864728    468      54  195813      0.36903      0.33493    8.5598e-14      0.36903
_SET1_   ENSG00000143633     1  231324509  231411933    256      27  195813      -1.3949      0.89574    8.5709e-14      -1.3949
_SET1_   ENSG00000212916     1  232905643  232981092    276      23  195813     -0.33754       0.6075    8.5598e-14     -0.33754
_SET1_   ENSG00000091483     1  241625903  241718061    280      25  195813      -1.2265      0.85547    8.5709e-14      -1.2265
_SET1_   ENSG00000153187     1  244979468  245062844    154      16  195813      0.12175       0.3864    8.5612e-14      0.12175
_SET1_   ENSG00000162714     1  247425714  247530148    312      30  195813      -0.8016      0.74176    8.5598e-14      -0.8016
_SET1_   ENSG00000115758     2   10545094   10623630    261      30  195813      0.76925      0.17929    8.5598e-14      0.76925
_SET1_   ENSG00000079785     2   15696302   15806235    340      22  195813      -1.2497      0.85185    8.5709e-14      -1.2497
_SET1_   ENSG00000178295     2   17900125   18001632    305      32  195813         1.86     0.024321    8.5709e-14         1.86
_SET1_   ENSG00000084774     2   27405258   27501811    238      19  195813     -0.83533      0.76074    8.5598e-14     -0.83533
_SET1_   ENSG00000171174     2   27969231   28148965    333      20  195813     -0.15398      0.50193    8.5626e-14     -0.15398
_SET1_   ENSG00000013016     2   31421880   31527313    448      53  195813      0.69607      0.21971    8.5598e-14      0.69607
_SET1_   ENSG00000152147     2   38943676   39047142    224      17  195813      -1.4251      0.88794    8.5709e-14      -1.4251
_SET1_   ENSG00000183023     2   40289410   40873193   2283     126  195813     0.049133      0.51626    8.5619e-14     0.049133
_SET1_   ENSG00000143924     2   42361490   42594688    665      25  195813      -1.6932      0.92816    8.5709e-14      -1.6932
_SET1_   ENSG00000138075     2   44004611   44101004    514      27  195813       3.5967   8.4007e-05    8.5709e-14       3.5967
_SET1_   ENSG00000170634     2   54162975   54567437   1232      52  195813     -0.66397      0.70005    8.5598e-14     -0.66397
_SET1_   ENSG00000143947     2   55424039   55497989    199      28  195813      -1.1561      0.85518    8.5709e-14      -1.1561
_SET1_   ENSG00000221823     2   68370989   68518369    273      13  195813      0.46279      0.23269    8.5598e-14      0.46279
_SET1_   ENSG00000115325     2   74741153   74819681     59      14  195813      0.40755      0.41132    8.5598e-14      0.40755
_SET1_   ENSG00000034510     2   85097749   85168795    191      19  195813      0.15141      0.38044    8.5626e-14      0.15141
_SET1_   ENSG00000152291     2   85510147   85590548    273      28  195813     -0.79965      0.74052    8.5598e-14     -0.79965
_SET1_   ENSG00000168906     2   85731288   85807403    251      23  195813       5.5482   5.3231e-09    8.5265e-14       5.5482
_SET1_   ENSG00000168894     2   85787848   85859736    173      24  195813       5.2975   2.9967e-08    8.5265e-14       5.2975
