# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WP_NEOVASCULARISATION_PROCESSES (set)
# _SET1_  NGENES = 37
# _SET1_  P-VALUE = 7.59476e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000187801     1   40880774   40964390     37      12  204402       0.2712      0.21225   -7.2164e-16       0.2712
_SET1_   ENSG00000142973     1   47188510   47320085     70      15  204402      -1.6026      0.86647   -6.6613e-16      -1.6026
_SET1_   ENSG00000162607     1   62866968   62952475     44       5  204402       1.8588    0.0088033   -6.6613e-16       1.8588
_SET1_   ENSG00000137959     1   79050607   79146830     70      16  204402        2.328    0.0023342   -8.8818e-16        2.328
_SET1_   ENSG00000162734     1  160140127  160220166     56      13  204402      -1.0966      0.70899   -6.6613e-16      -1.0966
_SET1_   ENSG00000158874     1  161157082  161228421     52      12  204402        1.859    0.0085104   -6.6613e-16        1.859
_SET1_   ENSG00000075426     2   28580315   28675179    107      20  204402       5.8272   9.0213e-11   -8.8818e-16       5.8272
_SET1_   ENSG00000115594     2  102646004  102831334    282      27  204402       6.4023   1.2831e-12   -8.8818e-16       6.4023
_SET1_   ENSG00000115414     2  216190163  216335895    169      23  204402     -0.21805      0.36718   -7.2164e-16     -0.21805
_SET1_   ENSG00000081052     2  227832427  228063829    235      25  204402      0.96083     0.060319   -7.7716e-16      0.96083
_SET1_   ENSG00000124831     2  238501219  238757325    261      30  204402       1.5439     0.017812   -6.6613e-16       1.5439
_SET1_   ENSG00000114251     3   55464743   55558973     81      15  204402     -0.11187        0.333   -7.3552e-16     -0.11187
_SET1_   ENSG00000196455     3  130362779  130500673     73       3  204402      0.52521      0.16178   -7.7716e-16      0.52521
_SET1_   ENSG00000113916     3  187404165  187498515     88      12  204402      0.32821      0.19402   -7.2164e-16      0.32821
_SET1_   ENSG00000109758     4    3408614    3486211     57      15  204402       1.7652     0.010843   -6.6613e-16       1.7652
_SET1_   ENSG00000109320     4  103387486  103573459    171      11  204402       2.6659   0.00058746   -8.8818e-16       2.6659
_SET1_   ENSG00000109654     4  154038494  154295472    125      26  204402       1.0477     0.057531   -6.6613e-16       1.0477
_SET1_   ENSG00000120733     5  137653285  137807717     74      10  204402      0.60465      0.12656   -7.7716e-16      0.60465
_SET1_   ENSG00000170624     5  155262354  156229799    813      66  204402       1.1949     0.026377   -6.6613e-16       1.1949
_SET1_   ENSG00000227507     6   31513302   31585299     74      21  204402       5.1311   9.9706e-09   -8.8818e-16       5.1311
_SET1_   ENSG00000119900     6   71963506   72053653     73      12  204402      0.55117      0.15048   -7.7716e-16      0.55117
_SET1_   ENSG00000236761     6  131994581  132067206     53       6  204402       1.4087     0.038469   -6.6613e-16       1.4087
_SET1_   ENSG00000160868     7   99319604   99416888     20       3  204402       3.0321   0.00051026   -8.8818e-16       3.0321
_SET1_   ENSG00000164808     8   48138167   48683868     81       7  204402      0.49656      0.15321   -7.2164e-16      0.49656
_SET1_   ENSG00000155792     8  120850957  121098152    229      23  204402      0.16356      0.22839   -7.2164e-16      0.16356
_SET1_   ENSG00000080503     9    1980342    2228624    371      68  204402      -1.3375      0.81035   -6.6613e-16      -1.3375
_SET1_   ENSG00000221829     9   35038832   35115013     49       8  204402       1.4351     0.024863   -6.6613e-16       1.4351
_SET1_   ENSG00000119969    10   96270547   96408662     59       5  204402      -1.7245       0.8853   -6.6613e-16      -1.7245
_SET1_   ENSG00000150593    10  112596565  112694764     57      12  204402     -0.96537      0.69876   -7.7716e-16     -0.96537
_SET1_   ENSG00000139291    12   72044867   72132836     42       8  204402      0.69412      0.11854   -7.7716e-16      0.69412
_SET1_   ENSG00000188342    13   45659650   45893237    151       8  204402       1.2145     0.041331   -6.6613e-16       1.2145
_SET1_   ENSG00000170345    14   75710477   75783933     39      13  204402       2.0558    0.0048319   -8.8818e-16       2.0558
_SET1_   ENSG00000141644    18   47758252   47843144     64       9  204402      0.84988      0.08386   -7.7716e-16      0.84988
_SET1_   ENSG00000256463    18   76705275   76797677     62      13  204402      -1.2147      0.75555   -6.6613e-16      -1.2147
_SET1_   ENSG00000126934    19    4055319    4159126     49      11  204402       0.6677      0.11291   -7.7716e-16       0.6677
_SET1_   ENSG00000198053    20    1840154    1955543    132      28  204402      0.50117      0.15511   -7.7716e-16      0.50117
_SET1_   ENSG00000101412    20   32228489   32309210     23       4  204402      0.56859      0.13757   -7.7716e-16      0.56859
