# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = MISIAK_ANAPLASTIC_THYROID_CARCINOMA_DN (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 3.84393e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000162594     1   67597083   67760662    539      42  59957       8.2155   6.3212e-20    1.7764e-14       8.2155
_SET1_   ENSG00000123689     1  209813765  209884733    237      63  59957       0.6905     0.046428    1.8319e-14       0.6905
_SET1_   ENSG00000144852     3  119464331  119572332    284      42  59957     -0.84921      0.49375    1.8319e-14     -0.84921
_SET1_   ENSG00000118785     4   88861819   88939562    297      34  59957     -0.04963      0.20641    1.8291e-14     -0.04963
_SET1_   ENSG00000164305     4  185513850  185605663    323      27  59957    -0.039188      0.22657    1.8291e-14    -0.039188
_SET1_   ENSG00000124762     6   36609305   36690116    355      41  59957        1.987    0.0021324    1.8208e-14        1.987
_SET1_   ENSG00000155897     8  131757547  132089672   1347      85  59957       2.9986   5.2284e-05    1.8208e-14       2.9986
_SET1_   ENSG00000181634     9  117511915  117603406    233      48  59957       5.1893        5e-10    1.8652e-14       5.1893
_SET1_   ENSG00000122852    10   81335695   81410196    403      31  59957     -0.81938      0.54458    1.8319e-14     -0.81938
_SET1_   ENSG00000185201    11     272631     350272    349      66  59957       1.6387    0.0038655    1.8208e-14       1.6387
_SET1_   ENSG00000165417    14   81606796   81722721    298      34  59957      0.74057     0.055645    1.8319e-14      0.74057
_SET1_   ENSG00000086666    15   80316910   80465735    401      39  59957     -0.42264      0.33733    1.8263e-14     -0.42264
_SET1_   ENSG00000162065    16    2490147    2590735    154      40  59957       0.5338     0.073939    1.8319e-14       0.5338
_SET1_   ENSG00000188803    17   11109580   11502380   1502     147  59957     0.080164      0.14324    1.8291e-14     0.080164
_SET1_   ENSG00000264364    17   56125776   56207897    180      33  59957      0.10774      0.16406    1.8291e-14      0.10774
_SET1_   ENSG00000154639    21   18849700   19000897    458      49  59957      -1.1601      0.60413    1.8208e-14      -1.1601
_SET1_   ENSG00000160223    21   45607874   45695849    471      57  59957       5.9069   4.3035e-12    1.8652e-14       5.9069

# _SET2_  VARIABLE = PID_RAC1_PATHWAY (set)
# _SET2_  NGENES = 52
# _SET2_  P-VALUE = 7.8597e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000078369     1    1681729    1857495    375      26  59957       3.9958   8.7078e-07    1.8208e-14       3.9958
_SET2_   ENSG00000117318     1   23849409   23921285    162      34  59957      -1.0384      0.51613    1.8208e-14      -1.0384
_SET2_   ENSG00000085840     1   52803501   52905131    180      36  59957       0.9573     0.049902    1.8319e-14       0.9573
_SET2_   ENSG00000117090     1  160542890  160652085    453      59  59957      0.53818     0.082274    1.8319e-14      0.53818
_SET2_   ENSG00000116701     1  183489698  183595011    300      35  59957        2.032     0.001786    1.8208e-14        2.032
_SET2_   ENSG00000143344     1  183570220  183932665   1245      68  59957       1.5599    0.0078894    1.8208e-14       1.5599
_SET2_   ENSG00000143869     2   20831424   20908418    270      55  59957     -0.45314       0.2862    1.8263e-14     -0.45314
_SET2_   ENSG00000138031     2   25007038   25177708    641      35  59957       5.9774   5.9822e-12    1.8652e-14       5.9774
_SET2_   ENSG00000071082     2  101583177  101675494    288      32  59957      0.58469     0.074346    1.8319e-14      0.58469
_SET2_   ENSG00000144560     3   11562544   11797220    940      92  59957        2.463   0.00035495    1.8208e-14        2.463
_SET2_   ENSG00000114573     3  113430866  113565903    234      25  59957      0.25652      0.12973    1.8263e-14      0.25652
_SET2_   ENSG00000118777     4   88976416   89187474    680      66  59957     -0.43169      0.32189    1.8263e-14     -0.43169
_SET2_   ENSG00000164305     4  185513850  185605663    323      27  59957    -0.039188      0.22657    1.8291e-14    -0.039188
_SET2_   ENSG00000183580     5   15465305   15974900   1352      76  59957       1.4014        0.013    1.8208e-14       1.4014
_SET2_   ENSG00000164171     5   52250156   52425609    738      45  59957     -0.51522      0.38298    1.8319e-14     -0.51522
_SET2_   ENSG00000095015     5   56076401   56226979    411      22  59957       1.7935    0.0068759    1.8208e-14       1.7935
_SET2_   ENSG00000072682     5  131492531  131666008    580      43  59957       8.2787   5.4173e-20    1.7764e-14       8.2787
_SET2_   ENSG00000112137     6   12682893   13323645   1964     114  59957       -1.343      0.66857    1.8208e-14       -1.343
_SET2_   ENSG00000010704     6   26052509   26133571    350      39  59957       2.5372   0.00034217    1.8208e-14       2.5372
_SET2_   ENSG00000204619     6   29999486   30073110    366      22  59957       2.8013   0.00027612    1.8208e-14       2.8013
_SET2_   ENSG00000010818     6  143037604  143301338    824      90  59957       0.9979     0.027152    1.8319e-14       0.9979
_SET2_   ENSG00000071242     6  166787852  167354939   2262     197  59957       2.0076    0.0012893    1.8208e-14       2.0076
_SET2_   ENSG00000132432     7   54784943   54862667    380      20  59957      0.15194       0.1994    1.8291e-14      0.15194
_SET2_   ENSG00000008282     7  105695949  105788022    362      38  59957       1.4991    0.0097707    1.8208e-14       1.4991
_SET2_   ENSG00000104728     8    1737142    1941807   1141     132  59957    -0.096871      0.18634    1.8291e-14    -0.096871
_SET2_   ENSG00000179041     8   67306263   67377966    249      38  59957     -0.77068      0.47241    1.8319e-14     -0.77068
_SET2_   ENSG00000104267     8   86341081   86428722    163      24  59957       1.3345     0.014824    1.8208e-14       1.3345
_SET2_   ENSG00000182197     8  118771729  119159092   1181      91  59957      -1.5556      0.73814    1.8208e-14      -1.5556
_SET2_   ENSG00000135069     9   80877059   80980009    410      50  59957     -0.79561      0.47037    1.8319e-14     -0.79561
_SET2_   ENSG00000085265     9  137766431  137844809    351      50  59957       1.0694     0.020217    1.8208e-14       1.0694
_SET2_   ENSG00000134460    10    6017652    6139288    581      72  59957       4.1116   2.7161e-07    1.8652e-14       4.1116
_SET2_   ENSG00000133318    11   63413918   63562363    259      18  59957       2.3375    0.0018246    1.8208e-14       2.3375
_SET2_   ENSG00000137486    11   74940226   75097873    430      63  59957      -1.3163      0.64688    1.8208e-14      -1.3163
_SET2_   ENSG00000121351    12   21472893   21567912    388      42  59957      0.95843     0.036568    1.8319e-14      0.95843
_SET2_   ENSG00000133703    12   25322723   25438870    438      53  59957      -0.6465      0.40043    1.8319e-14      -0.6465
_SET2_   ENSG00000139220    12   81617045   82188332   1573      80  59957     -0.18842      0.26382    1.8291e-14     -0.18842
_SET2_   ENSG00000177889    12   93764449   93871038    307      37  59957      -1.8252      0.84143    1.8208e-14      -1.8252
_SET2_   ENSG00000076555    12  109519400  109741031    700      67  59957      0.18574      0.14777    1.8291e-14      0.18574
_SET2_   ENSG00000092199    14   21642295   21772653    380      41  59957       -2.066      0.89124    1.8208e-14       -2.066
_SET2_   ENSG00000182809    14  105904299  105981499    131      31  59957     -0.15849      0.25114    1.8291e-14     -0.15849
_SET2_   ENSG00000128965    15   41210160   41283710    232      34  59957      0.19697      0.14014    1.8291e-14      0.19697
_SET2_   ENSG00000235711    15   79540146   79625580    297      36  59957      -2.3494      0.92821    1.8208e-14      -2.3494
_SET2_   ENSG00000179583    16   10936055   11061079    455      76  59957       3.8368   8.4604e-07    1.8208e-14       3.8368
_SET2_   ENSG00000133392    16   15762029   15985890   1051      78  59957      0.64753     0.070608    1.8319e-14      0.64753
_SET2_   ENSG00000090905    16   24706016   24873953    571      42  59957       1.8573    0.0044612    1.8208e-14       1.8573
_SET2_   ENSG00000197170    17   65299032   65397743    218      41  59957      0.95974     0.027961    1.8319e-14      0.95974
