# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = ROZANOV_MMP14_TARGETS_SUBSET (set)
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 2.02937e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000053372     1   19543033   19621622    391      28  150493      -2.1768      0.97146   -3.1086e-15      -2.1768
_SET1_   ENSG00000143384     1  150512032  150587066    220      41  144556       1.2245     0.060845   -3.1086e-15       1.2245
_SET1_   ENSG00000143179     1  165761768  165915855    541      77  140097      0.98877     0.092441   -2.9976e-15      0.98877
_SET1_   ENSG00000119801     2   30334807   30418399    214      41  144828     0.032883      0.36051   -3.0254e-15     0.032883
_SET1_   ENSG00000181722     3  114021941  114901118   2519     150  144433        2.904   0.00049764   -3.1086e-15        2.904
_SET1_   ENSG00000173175     3  122966143  123203605    816      73  138832       5.4952   2.4467e-09   -2.6645e-15       5.4952
_SET1_   ENSG00000138685     4  123712863  123854391    631      56  145165       1.6552     0.026317   -3.1086e-15       1.6552
_SET1_   ENSG00000081189     5   87978975   88234922    635      54  142176      0.19171      0.29811   -3.0254e-15      0.19171
_SET1_   ENSG00000113525     5  131842136  131927530    221      31  125978       1.0603     0.085237   -3.1086e-15       1.0603
_SET1_   ENSG00000213676     6   32030953   32131030    331      55  131468       1.3833     0.048278   -3.1086e-15       1.3833
_SET1_   ENSG00000170899     6   52807751   52895176    383      45  144087       1.5584     0.029204   -3.1086e-15       1.5584
_SET1_   ENSG00000106031     7   27198122   27274725    221      52  141337      0.36232      0.26233   -2.9976e-15      0.36232
_SET1_   ENSG00000253729     8   48650669   48907743    382      62  128688       1.9639     0.021582   -3.1086e-15       1.9639
_SET1_   ENSG00000185585     9  127504437  127612164    357      59  130098      0.27702       0.2783   -2.9976e-15      0.27702
_SET1_   ENSG00000254647    11    2146009    2217571    348      50  137949       3.1145   0.00026583   -3.1086e-15       3.1145
_SET1_   ENSG00000030066    11   47764639   47905107    415      30  137336       2.4575    0.0025433   -3.1086e-15       2.4575
_SET1_   ENSG00000185479    12   52805435   52880910    461      28  146695      0.35301      0.24615   -2.9976e-15      0.35301
_SET1_   ENSG00000170421    12   53255977   53378738    622      40  148898      -1.1698      0.80047   -3.1086e-15      -1.1698
_SET1_   ENSG00000149948    12   66182911   66395075    595      60  139781       4.9907   6.1874e-08   -2.6645e-15       4.9907
_SET1_   ENSG00000120802    12   98874290   98979157    455      50  143731      -1.5869      0.89762   -3.1086e-15      -1.5869
_SET1_   ENSG00000178741    15   75177132   75265509    223      29  139390      0.86766      0.11157   -2.9976e-15      0.86766
_SET1_   ENSG00000166821    15   90185995   90269014    321      38  144945       1.5358      0.03048   -3.1086e-15       1.5358
_SET1_   ENSG00000132386    17    1630253    1715868    418      54  138208     -0.42352      0.53041   -2.9976e-15     -0.42352
_SET1_   ENSG00000196689    17    3433738    3535392    608      74  134036     0.093232      0.32825   -3.0254e-15     0.093232
_SET1_   ENSG00000108799    17   40817293   40932071    231      43  126243     0.028666      0.35673   -3.0219e-15     0.028666
_SET1_   ENSG00000198909    17   61664775   61808663    296      27  134826       3.2194   0.00018717   -3.1086e-15       3.2194
_SET1_   ENSG00000141338    17   66828433   66986533    570      51  138227     -0.46498      0.54331   -2.9976e-15     -0.46498
_SET1_   ENSG00000175866    17   78973948   79126232    983     124  139329       2.3954    0.0031621   -3.1086e-15       2.3954
_SET1_   ENSG00000197561    19     816014     891242    450      73  122385        1.268     0.053895   -3.1086e-15        1.268
_SET1_   ENSG00000127529    19   15017301   15088260    455      34  151284     -0.37632      0.52334   -2.9976e-15     -0.37632
_SET1_   ENSG00000167754    19   51411559   51491349    439      71  140521      -1.0396       0.7581   -3.1086e-15      -1.0396
