# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL (set)
# _SET1_  NGENES = 24
# _SET1_  P-VALUE = 1.90687e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000198216     1  181347238  181812219   1201      90  128525     -0.13672     0.064252   -2.0539e-15     -0.13672
_SET1_   ENSG00000081248     1  200973642  201116694    454      64  126869       2.6385   4.0768e-05   -2.2204e-15       2.6385
_SET1_   ENSG00000182389     2  152654290  152990593    753      41  128221      0.77676     0.017921   -1.9984e-15      0.77676
_SET1_   ENSG00000007402     3   50365233   50576675    289      22  117924      0.57908     0.073899   -1.9984e-15      0.57908
_SET1_   ENSG00000157388     3   53493683   53882760    911      86  127371       1.4563    0.0013175   -1.9984e-15       1.4563
_SET1_   ENSG00000157445     3   54121574   55143584   2960     203  128091      0.85722   0.00023034   -1.9984e-15      0.85722
_SET1_   ENSG00000153956     7   81540760   82108114   1681     114  127646      0.69614    0.0029095   -1.9984e-15      0.69614
_SET1_   ENSG00000148408     9  140737241  141054076    674      54  123309       0.6859      0.01595   -1.9984e-15       0.6859
_SET1_   ENSG00000165995    10   18394606   18865798   1762     113  128131        6.524   3.8694e-18   -1.7764e-15        6.524
_SET1_   ENSG00000151062    12    1866123    2063002    634      61  128876       2.3399    0.0001845   -2.2204e-15       2.3399
_SET1_   ENSG00000151067    12    2044952    2837108   2142     177  128326       5.3565   1.1519e-14   -1.7764e-15       5.3565
_SET1_   ENSG00000167535    12   49172577   49257724    151      25  127175        1.559    0.0038824   -1.9984e-15        1.559
_SET1_   ENSG00000196557    16    1168241    1306771    445      74  127372      0.41452     0.051039   -2.0539e-15      0.41452
_SET1_   ENSG00000006116    16   24231874   24409122    572      74  128932       1.8516   0.00095329   -1.9984e-15       1.8516
_SET1_   ENSG00000067191    17   37294709   37388956    246      42  128533      0.87827      0.03256   -1.9984e-15      0.87827
_SET1_   ENSG00000006283    17   48603429   48739835    362      48  127752       1.7383    0.0015243   -1.9984e-15       1.7383
_SET1_   ENSG00000075429    17   64796235   64916603    422      63  129177      -1.4052      0.62763   -1.9984e-15      -1.4052
_SET1_   ENSG00000075461    17   64926026   65064514    451      71  127722      0.43306       0.0511   -2.0539e-15      0.43306
_SET1_   ENSG00000108878    17   65005706   65087909    193      34  127417     -0.39123      0.23657   -2.0539e-15     -0.39123
_SET1_   ENSG00000141837    19   13282256   13769804   1661     172  127788      0.64496    0.0040627   -1.9984e-15      0.64496
_SET1_   ENSG00000105605    19   54377589   54482195    235      61  126472       2.5865   9.3459e-05   -2.2204e-15       2.5865
_SET1_   ENSG00000130433    19   54460542   54550923    335      50  129416       1.8712    0.0016585   -1.9984e-15       1.8712
_SET1_   ENSG00000166862    22   36924968   37134603    663      80  128435      0.56147     0.031963   -1.9984e-15      0.56147
_SET1_   ENSG00000100346    22   39931758   40120742    398      39  128695       6.3554   2.6358e-14   -1.7764e-15       6.3554

# _SET2_  VARIABLE = REACTOME_PHASE_2_PLATEAU_PHASE (set)
# _SET2_  NGENES = 14
# _SET2_  P-VALUE = 1.6841e-07
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000152049     2  223881532  224098117    880      42  128851      -1.0974      0.38318   -1.9984e-15      -1.0974
_SET2_   ENSG00000007402     3   50365233   50576675    289      22  117924      0.57908     0.073899   -1.9984e-15      0.57908
_SET2_   ENSG00000127914     7   91535181   91774987    406      10  129102       1.0607     0.015571   -1.9984e-15       1.0607
_SET2_   ENSG00000165995    10   18394606   18865798   1762     113  128131        6.524   3.8694e-18   -1.7764e-15        6.524
_SET2_   ENSG00000053918    11    2430914    2905339   1370     164  128205     -0.47119     0.096998   -2.0539e-15     -0.47119
_SET2_   ENSG00000175538    11   74130886   74213774    218      26  128726       1.5565    0.0041361   -1.9984e-15       1.5565
_SET2_   ENSG00000151067    12    2044952    2837108   2142     177  128326       5.3565   1.1519e-14   -1.7764e-15       5.3565
_SET2_   ENSG00000067191    17   37294709   37388956    246      42  128533      0.87827      0.03256   -1.9984e-15      0.87827
_SET2_   ENSG00000075461    17   64926026   65064514    451      71  127722      0.43306       0.0511   -2.0539e-15      0.43306
_SET2_   ENSG00000105605    19   54377589   54482195    235      61  126472       2.5865   9.3459e-05   -2.2204e-15       2.5865
_SET2_   ENSG00000142408    19   54431294   54528469    281      39  129460       2.5288   0.00018805   -2.2204e-15       2.5288
_SET2_   ENSG00000130433    19   54460542   54550923    335      50  129416       1.8712    0.0016585   -1.9984e-15       1.8712
_SET2_   ENSG00000159197    21   35701323   35778688    262      32  129429     -0.78793       0.4434   -1.9984e-15     -0.78793
_SET2_   ENSG00000180509    21   35783988   35919573    429      41  129548      -1.2664      0.57179   -1.9984e-15      -1.2664

# _SET3_  VARIABLE = WP_15Q25_COPY_NUMBER_VARIATION (set)
# _SET3_  NGENES = 43
# _SET3_  P-VALUE = 5.7122e-06
_SET3_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   ENSG00000117394     1   43356052   43459530    329      27  126297       -1.594      0.63549   -1.9984e-15       -1.594
_SET3_   ENSG00000197959     1  171775621  172422606   1501      73  128639      0.56632      0.00723   -1.9984e-15      0.56632
