# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WP_MEVALONATE_ARM_OF_CHOLESTEROL_BIOSYNTHESIS_PATHWAY (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 3.21314e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000171793     1   41410007   41513235    374      40  59957      0.54888     0.081437    1.8319e-14      0.54888
_SET1_   ENSG00000115009     2  228643558  228717272    269      48  59957       2.8365   7.0633e-05    1.8208e-14       2.8365
_SET1_   ENSG00000151790     4  156740890  156876558    661      45  59957      0.97691     0.050461    1.8319e-14      0.97691
_SET1_   ENSG00000204264     6   32773494   32847480    660      53  59957       8.2953   2.8241e-20    1.7764e-14       8.2953
_SET1_   ENSG00000124762     6   36609305   36690116    355      41  59957        1.987    0.0021324    1.8208e-14        1.987
_SET1_   ENSG00000122678     7   44076846   44157139    253      31  59957       1.5771    0.0076487    1.8208e-14       1.5771
_SET1_   ENSG00000104687     8   30500583   30620443    410      43  59957     -0.22199      0.29063    1.8291e-14     -0.22199
_SET1_   ENSG00000111537    12   68513548   68588527    273      19  59957       4.0032   1.0437e-06    1.8652e-14       4.0032
_SET1_   ENSG00000129474    14   23405383   23486851    149      22  59957      -0.8539       0.4827    1.8319e-14      -0.8539
_SET1_   ENSG00000176454    15   34616106   34694479    280      43  59957      -2.1373       0.8958    1.8208e-14      -2.1373
_SET1_   ENSG00000173757    17   40316186   40463725    223      34  59957        6.754   1.8874e-14    1.8652e-14        6.754
_SET1_   ENSG00000187244    19   45277328   45359673    288      41  59957       1.2062      0.01971    1.8208e-14       1.2062
_SET1_   ENSG00000101350    20   30830467   30957814    252      22  59957       3.8867   1.3557e-06    1.8208e-14       3.8867
