# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000188157    1     920503    1026496     13       2  204402     -0.34602   -1.1102e-16     -0.34602
ENSG00000237330    1     971346    1044687     17       4  204402     -0.29153   -1.1102e-16     -0.29153
ENSG00000131591    1     982198    1086741     32       7  204402     -0.18669   -1.3878e-16     -0.18669
ENSG00000162571    1    1074264    1168315     27      10  204402     -0.43078   -1.1102e-16     -0.43078
ENSG00000186891    1    1103888    1177071     22       7  204402     -0.28403   -1.1102e-16     -0.28403
ENSG00000186827    1    1111706    1184518     21       7  204402     -0.12634   -1.3878e-16     -0.12634
ENSG00000078808    1    1117288    1202411     25       7  204402     -0.21017   -1.3878e-16     -0.21017
ENSG00000176022    1    1132629    1205421     19       6  204402     -0.15251   -1.3878e-16     -0.15251
ENSG00000160087    1    1154289    1244265     20       6  204402      0.37814   -1.1102e-16      0.37814
ENSG00000162572    1    1180816    1262409     16       5  204402      0.42298   -1.1102e-16      0.42298
ENSG00000131584    1    1192756    1279989     12       4  204402      0.36643   -1.1102e-16      0.36643
ENSG00000169972    1    1208947    1282057      7       3  204402       0.7744   -1.1102e-16       0.7744
ENSG00000169962    1    1231694    1305686      4       2  204402     -0.62826   -1.1102e-16     -0.62826
ENSG00000107404    1    1235656    1319730      5       2  204402     -0.83733   -1.1102e-16     -0.83733
ENSG00000162576    1    1253069    1332157      3       2  204402       -2.363             0       -2.363
ENSG00000175756    1    1274110    1345875      3       2  204402       -2.363             0       -2.363
ENSG00000221978    1    1286091    1369708      3       2  204402       -2.363             0       -2.363
ENSG00000242485    1    1302288    1377693      3       2  204402       -2.363             0       -2.363
ENSG00000215915    1    1350069    1440538      1       1  204402      0.02659   -1.2837e-16      0.02659
ENSG00000160072    1    1372143    1468228      7       2  204402      -1.2873   -2.2204e-16      -1.2873
ENSG00000197785    1    1412531    1505067     18       4  204402      -2.4426             0      -2.4426
ENSG00000160075    1    1442053    1545249     21       3  204402      -2.6532             0      -2.6532
ENSG00000008130    1    1647671    1746896     12       3  204402     -0.10484    -1.249e-16     -0.10484
ENSG00000078369    1    1681729    1857495     41       6  204402     -0.60405   -1.1102e-16     -0.60405
ENSG00000169885    1    1811266    1883735     16       3  204402     -0.43331   -1.1102e-16     -0.43331
ENSG00000178821    1    1814029    1885712     15       3  204402     -0.37187   -1.1102e-16     -0.37187
ENSG00000187730    1    1915780    1997192      2       1  204402      -2.1457             0      -2.1457
ENSG00000067606    1    1946909    2151834     68       7  204402      -2.0713             0      -2.0713
ENSG00000157933    1    2125134    2276558     75      19  204402     -0.22894   -1.3878e-16     -0.22894
ENSG00000116151    1    2217692    2358146     94      24  204402     -0.12126    -1.249e-16     -0.12126
ENSG00000157916    1    2288267    2371883     46      17  204402     -0.37727   -1.1102e-16     -0.37727
ENSG00000157911    1    2301236    2380236     38      14  204402      0.13595   -1.3878e-16      0.13595
ENSG00000149527    1    2322419    2471969     64      16  204402     -0.84064   -1.1102e-16     -0.84064
ENSG00000157881    1    2404972    2493039     33       6  204402     -0.98283   -1.1102e-16     -0.98283
ENSG00000197921    1    2425184    2496684     19       4  204402      -1.7397   -2.2204e-16      -1.7397
ENSG00000157873    1    2452078    2531821     26       4  204402     -0.79747   -1.1102e-16     -0.79747
ENSG00000142606    1    2487078    2599481     36       4  204402     -0.12681   -1.3878e-16     -0.12681
ENSG00000215912    1    2532415    2753286     40       6  204402     -0.15613   -1.3878e-16     -0.15613
ENSG00000169717    1    2903046    2974465     61       3  204402       1.0502   -2.2204e-16       1.0502
ENSG00000142611    1    2950732    3390185    334      65  204402      0.77046   -1.1102e-16      0.77046
ENSG00000130762    1    3335990    3432677     37       8  204402      -1.3288   -2.2204e-16      -1.3288
ENSG00000162591    1    3371484    3563059     96      27  204402      0.49228   -1.1102e-16      0.49228
ENSG00000158109    1    3506566    3581691     29       9  204402       1.1625   -2.2204e-16       1.1625
ENSG00000116213    1    3512331    3604325     37      13  204402      0.98529   -1.1102e-16      0.98529
ENSG00000078900    1    3534084    3687765     84      27  204402      0.61589   -1.1102e-16      0.61589
ENSG00000162592    1    3633962    3723209     67      17  204402     -0.74394   -1.1102e-16     -0.74394
ENSG00000235169    1    3654352    3727546     57      14  204402     -0.60428   -1.1102e-16     -0.60428
ENSG00000130764    1    3661784    3748068     98      14  204402      -1.2605   -2.2204e-16      -1.2605
ENSG00000116198    1    3693645    3808778    120      14  204402       -1.889   -2.2204e-16       -1.889
ENSG00000169598    1    3738845    3836993     96      15  204402     -0.96918   -1.1102e-16     -0.96918
ENSG00000198912    1    3770689    3851857     36       6  204402      0.20055   -1.3878e-16      0.20055
ENSG00000196581    1    4679792    4887594    310      59  204402      -0.1429   -1.3878e-16      -0.1429
ENSG00000131697    1    5887871    6087533    200      20  204402     -0.97486   -1.1102e-16     -0.97486
ENSG00000069424    1    6016526    6196253     99      22  204402      -1.0372   -2.2204e-16      -1.0372
ENSG00000116254    1    6126853    6275183     64      16  204402    -0.093988    -1.249e-16    -0.093988
ENSG00000116251    1    6206329    6304449     28       9  204402       1.5932   -2.2204e-16       1.5932
ENSG00000158286    1    6230535    6316359     21       6  204402       1.8577   -2.2204e-16       1.8577
ENSG00000116237    1    6246253    6331032     23       6  204402        1.242   -2.2204e-16        1.242
ENSG00000173673    1    6269252    6340638     19       5  204402       1.1009   -2.2204e-16       1.1009
ENSG00000158292    1    6272406    6356035     24       7  204402      0.82063   -1.1102e-16      0.82063
ENSG00000097021    1    6289329    6489451     64      10  204402      -0.9001   -1.1102e-16      -0.9001
ENSG00000069812    1    6437478    6519730     18       3  204402      -1.7937   -2.2204e-16      -1.7937
ENSG00000187017    1    6449848    6556430     30       7  204402      -2.6728             0      -2.6728
ENSG00000215788    1    6486211    6561255     19       5  204402      -2.5568             0      -2.5568
ENSG00000171680    1    6491152    6615121     59       7  204402    -0.056456   -1.3184e-16    -0.056456
ENSG00000162408    1    6546407    6649595     58       6  204402       0.2771   -1.1102e-16       0.2771
ENSG00000173662    1    6580241    6674817     46       4  204402      0.56318   -1.1102e-16      0.56318
ENSG00000204859    1    6605061    6684340     27       6  204402       1.6862   -2.2204e-16       1.6862
ENSG00000162413    1    6615784    6709667     36       7  204402       2.0215             0       2.0215
ENSG00000116273    1    6638745    6719093     35       6  204402       2.1675             0       2.1675
ENSG00000041988    1    6649926    6730646     39       6  204402       2.0626             0       2.0626
ENSG00000007923    1    6659228    6796984     66       7  204402       2.2067             0       2.2067
ENSG00000171735    1    6810384    7864766    977     126  204402       1.6617   -2.2204e-16       1.6617
ENSG00000049245    1    7796329    7876492     42       9  204402      0.78457   -1.1102e-16      0.78457
ENSG00000049246    1    7809380    7940237     85      15  204402       1.0523   -2.2204e-16       1.0523
ENSG00000049247    1    7868143    7948572     59      13  204402      0.93562   -1.1102e-16      0.93562
ENSG00000049249    1    7944907    8035926     34       9  204402      0.86609   -1.1102e-16      0.86609
ENSG00000116288    1    7979351    8080565     37       7  204402        1.184   -2.2204e-16        1.184
ENSG00000116285    1    8029464    8121368     33       4  204402        1.528   -2.2204e-16        1.528
ENSG00000162426    1    8342886    8439227     50       9  204402      0.69043   -1.1102e-16      0.69043
ENSG00000142599    1    8377457    8912702    256      12  204402       2.0359             0       2.0359
ENSG00000074800    1    8886061    8974308     48       7  204402       1.2957   -2.2204e-16       1.2957
ENSG00000131686    1    8970926    9070151    100      29  204402       1.2021   -2.2204e-16       1.2021
ENSG00000197241    1    9028359    9121404     70      20  204402      0.93782   -1.1102e-16      0.93782
ENSG00000142583    1    9060166    9183537    108      22  204402      0.14596   -1.3878e-16      0.14596
ENSG00000180758    1    9125364    9224229     69      11  204402    -0.089577    -1.249e-16    -0.089577
ENSG00000049239    1    9259834    9366396     57      13  204402       0.7423   -1.1102e-16       0.7423
ENSG00000171621    1    9317939    9464591     92      26  204402      -0.0569   -1.3184e-16      -0.0569
ENSG00000171612    1    9564541    9680237     30       4  204402      0.71411   -1.1102e-16      0.71411
ENSG00000188807    1    9613932    9709935     30       5  204402      0.92062   -1.1102e-16      0.92062
