# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = CAIRO_HEPATOBLASTOMA_CLASSES_UP (set)
# _SET1_  NGENES = 558
# _SET1_  P-VALUE = 1.74041e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000187608     1     913803     984920    236      25  59957     -0.40967      0.33906    1.8263e-14     -0.40967
_SET1_   ENSG00000078808     1    1117288    1202411    389      27  59957       3.3701   3.8049e-05    1.8208e-14       3.3701
_SET1_   ENSG00000078369     1    1681729    1857495    375      26  59957       3.9958   8.7078e-07    1.8208e-14       3.9958
_SET1_   ENSG00000169885     1    1811266    1883735    229      21  59957        3.953   7.1341e-07    1.8208e-14        3.953
_SET1_   ENSG00000142606     1    2487078    2599481    349      20  59957       3.0956   6.7136e-05    1.8208e-14       3.0956
_SET1_   ENSG00000078900     1    3534084    3687765    582      86  59957     -0.48276      0.31142    1.8263e-14     -0.48276
_SET1_   ENSG00000142599     1    8377457    8912702    992      40  59957      0.33968      0.13453    1.8263e-14      0.33968
_SET1_   ENSG00000074800     1    8886061    8974308    230      35  59957      0.34371      0.10025    1.8263e-14      0.34371
_SET1_   ENSG00000173614     1    9968486   10080559    266      26  59957       0.2462      0.19789    1.8291e-14       0.2462
_SET1_   ENSG00000004487     1   23310941   23445182    224      24  59957      0.47582      0.10036    1.8263e-14      0.47582
_SET1_   ENSG00000175793     1   27154633   27225947    112      16  59957     0.098619      0.20394    1.8291e-14     0.098619
_SET1_   ENSG00000084636     1   32082848   32204920    300      37  59957     -0.78319      0.46513    1.8319e-14     -0.78319
_SET1_   ENSG00000116885     1   36846428   36951086    467      26  59957      0.46195      0.12504    1.8263e-14      0.46195
_SET1_   ENSG00000084073     1   40688779   40794856    248      45  59957      -2.0493      0.88152    1.8208e-14      -2.0493
_SET1_   ENSG00000065978     1   43113098   43203020    205      29  59957       1.0877     0.024805    1.8208e-14       1.0877
_SET1_   ENSG00000070785     1   45281450   45487282    639      25  59957       1.6681     0.011006    1.8208e-14       1.6681
_SET1_   ENSG00000085999     1   46678360   46779145    129      30  59957       1.0071     0.034664    1.8208e-14       1.0071
_SET1_   ENSG00000198841     1   52462775   52534488    168      21  59957       0.6413      0.12123    1.8319e-14       0.6413
_SET1_   ENSG00000177606     1   59211465   59284785    170      35  59957     -0.51353      0.34974    1.8319e-14     -0.51353
_SET1_   ENSG00000162599     1   61295931   61963465   2041     221  59957      0.89697     0.033112    1.8319e-14      0.89697
_SET1_   ENSG00000116704     1   67430015   67554782    400      29  59957       5.7791   3.5236e-11    1.8652e-14       5.7791
_SET1_   ENSG00000172260     1   71826623   72783417   2333     123  59957    -0.026578      0.18233    1.8287e-14    -0.026578
_SET1_   ENSG00000122420     1   78734568   79040434   1025      68  59957        1.965    0.0027693    1.8208e-14        1.965
_SET1_   ENSG00000142875     1   84508745   84739181    515      40  59957      -1.4247      0.72399    1.8208e-14      -1.4247
_SET1_   ENSG00000162645     1   89536815   89651139    335      22  59957       1.0542     0.034754    1.8208e-14       1.0542
_SET1_   ENSG00000117525     1   94959781   95042356    223      42  59957      -1.4408      0.69119    1.8208e-14      -1.4408
_SET1_   ENSG00000185946     1  104033313  104132861    198      48  59957      0.88082       0.0379    1.8319e-14      0.88082
_SET1_   ENSG00000134215     1  108078782  108542766   1833     111  59957      0.26311       0.1245    1.8263e-14      0.26311
_SET1_   ENSG00000116489     1  113126795  113249241    245      26  59957        2.862   0.00010242    1.8208e-14        2.862
_SET1_   ENSG00000134242     1  114321433  114449381    261      26  59957       1.2082     0.020233    1.8208e-14       1.2082
_SET1_   ENSG00000116830     1  117567925  117685075    363      47  59957      -1.1178      0.60582    1.8208e-14      -1.1178
_SET1_   ENSG00000143365     1  151743547  151839348    276      39  59957       5.0458   9.8689e-10    1.8652e-14       5.0458
_SET1_   ENSG00000187223     1  152600872  152672135    302      18  59957       2.0899    0.0029454    1.8208e-14       2.0899
_SET1_   ENSG00000203783     1  153155060  153226793    251      32  59957     -0.52127      0.34269    1.8319e-14     -0.52127
_SET1_   ENSG00000196420     1  153474623  153549241    198      17  59957     -0.39124      0.44602    1.8263e-14     -0.39124
_SET1_   ENSG00000189334     1  153551731  153624462    178      26  59957      -1.8586      0.82767    1.8208e-14      -1.8586
_SET1_   ENSG00000160691     1  154899774  154981871    146      29  59957     -0.21985      0.27681    1.8291e-14     -0.21985
_SET1_   ENSG00000116586     1  155989543  156063301    131      37  59957       2.4133   0.00040603    1.8208e-14       2.4133
_SET1_   ENSG00000203747     1  161476549  161635917    374      43  59957       5.6434   2.8669e-11    1.8652e-14       5.6434
_SET1_   ENSG00000162733     1  162566163  162792190    675      55  59957       -1.827      0.86613    1.8208e-14       -1.827
_SET1_   ENSG00000152382     1  166790747  166880564    221      29  59957      0.80503     0.042025    1.8319e-14      0.80503
_SET1_   ENSG00000007933     1  171025018  171121959    384      31  59957      -1.9335      0.88392    1.8208e-14      -1.9335
_SET1_   ENSG00000135845     1  172304329  172448230    399      35  59957      -1.3877      0.71696    1.8208e-14      -1.3877
_SET1_   ENSG00000117560     1  172593154  172671014    193      40  59957       1.6398    0.0040263    1.8208e-14       1.6398
_SET1_   ENSG00000116161     1  174933300  175015851    181      34  59957     -0.63447       0.3972    1.8319e-14     -0.63447
_SET1_   ENSG00000057252     1  179227925  179362815    625      29  59957      0.71183     0.069547    1.8319e-14      0.71183
_SET1_   ENSG00000162704     1  183557401  183639892    376      17  59957       2.0629    0.0040661    1.8208e-14       2.0629
_SET1_   ENSG00000116741     1  192743169  192816403    222      35  59957      0.21436      0.12448    1.8291e-14      0.21436
_SET1_   ENSG00000122180     1  203017260  203090164    227      39  59957      -0.8374      0.44349    1.8319e-14      -0.8374
_SET1_   ENSG00000188783     1  203409956  203495480    335      33  59957      -1.3638      0.73088    1.8208e-14      -1.3638
_SET1_   ENSG00000136653     1  206645879  206797616    509      55  59957       1.4707    0.0086322    1.8208e-14       1.4707
_SET1_   ENSG00000180667     1  207182194  207261325    216      35  59957      0.78267     0.049158    1.8319e-14      0.78267
_SET1_   ENSG00000123684     1  211881799  212039114    555      48  59957      -1.1341       0.6511    1.8208e-14      -1.1341
_SET1_   ENSG00000143499     1  214419445  214545474    422      42  59957      0.45955     0.090093    1.8263e-14      0.45955
_SET1_   ENSG00000154305     1  222756428  222876354    290      24  59957      -1.1575      0.68278    1.8208e-14      -1.1575
_SET1_   ENSG00000143756     1  224266789  224384749    477      27  59957     -0.73815       0.5035    1.8319e-14     -0.73815
_SET1_   ENSG00000143641     1  230158536  230452870   1273     110  59957       1.7937    0.0033803    1.8208e-14       1.7937
_SET1_   ENSG00000135744     1  230803269  230885043    408      38  59957      0.32219      0.13059    1.8263e-14      0.32219
_SET1_   ENSG00000174371     1  241976269  242093450    536      61  59957    -0.075252      0.18223    1.8291e-14    -0.075252
_SET1_   ENSG00000117020     1  243616535  244049381    830      43  59957      0.56391      0.10481    1.8319e-14      0.56391
_SET1_   ENSG00000153187     1  244979468  245062844    226      34  59957      0.90114     0.040846    1.8319e-14      0.90114
_SET1_   ENSG00000185420     1  245877642  246705614   4127     143  59957     -0.13336      0.22177    1.8291e-14     -0.13336
_SET1_   ENSG00000134324     2   11782721   12002535    855     111  59957      0.87842     0.034161    1.8319e-14      0.87842
_SET1_   ENSG00000071575     2   12822015   12917860    264      30  59957     -0.93973      0.52098    1.8319e-14     -0.93973
_SET1_   ENSG00000170745     2   18024114   18577882   2451     172  59957     -0.46333      0.30451    1.8263e-14     -0.46333
_SET1_   ENSG00000115138     2   25348722   25426772    203      26  59957       1.8026    0.0044041    1.8208e-14       1.8026
_SET1_   ENSG00000084734     2   27684709   27781554    216      29  59957       3.7156   1.9115e-06    1.8208e-14       3.7156
_SET1_   ENSG00000150938     2   36548069   36813278    903      85  59957      -1.8822      0.82496    1.8208e-14      -1.8822
_SET1_   ENSG00000055332     2   37291353   37419208    600      26  59957      0.53104      0.12358    1.8319e-14      0.53104
_SET1_   ENSG00000115828     2   37536717   37635465    467      65  59957      0.78239     0.055854    1.8319e-14      0.78239
