# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION (set)
# _SET1_  NGENES = 51
# _SET1_  P-VALUE = 1.15249e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000142949     1   43955858   44124343    385      19  129052       4.6427   4.6628e-09   -1.7764e-15       4.6427
_SET1_   ENSG00000123080     1   51391417   51475305    102      12  127386        1.525    0.0055569   -1.9984e-15        1.525
_SET1_   ENSG00000162434     1   65263912   65467187    494      37  127859       1.1691     0.010861   -1.9984e-15       1.1691
_SET1_   ENSG00000213281     1  115212090  115294515    135      20  126946       3.2112   9.1095e-06   -2.2204e-15       3.2112
_SET1_   ENSG00000117289     1  145403469  145477635     77      16  127034      -1.9468      0.83082   -1.9984e-15      -1.9468
_SET1_   ENSG00000143384     1  150512032  150587066    153      23  116731       1.5019    0.0064142   -1.9984e-15       1.5019
_SET1_   ENSG00000135847     1  180209515  180507089    812      41  129314      0.18406     0.076065   -2.0539e-15      0.18406
_SET1_   ENSG00000157064     1  183182372  183422737    578      28  127467      0.32111     0.050554   -2.0539e-15      0.32111
_SET1_   ENSG00000196843     2   97167480   97253375    103      19  124494      0.79131     0.025829   -1.9984e-15      0.79131
_SET1_   ENSG00000168137     3    9404299    9555924    313      28  128802        2.744   0.00012358   -2.2204e-15        2.744
_SET1_   ENSG00000179674     3  160359948  160431233    216      22  126519     0.027347      0.11646    -2.047e-15     0.027347
_SET1_   ENSG00000109321     4   75275851   75355726    130      18  129710     -0.79021      0.45779   -1.9984e-15     -0.79021
_SET1_   ENSG00000145349     4  114337188  114718083    896      64  128722     -0.39716        0.155   -2.0539e-15     -0.39716
_SET1_   ENSG00000186468     5   81534177   81609396    157      21  127091       1.0167      0.01657   -1.9984e-15       1.0167
_SET1_   ENSG00000002822     7    1820429    2307878   1938      37  127968        5.834   5.9535e-16   -1.7764e-15        5.834
_SET1_   ENSG00000136244     7   22730503   22806621    313      26  129031      0.18628      0.10724   -2.0539e-15      0.18628
_SET1_   ENSG00000122642     7   32962017   33081543    322      30  126802       1.2583    0.0067477   -1.9984e-15       1.2583
