# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = ZHANG_INTERFERON_RESPONSE (set)
# _SET1_  NGENES = 23
# _SET1_  P-VALUE = 2.72939e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000127603     1   39511988   39987849    221      22  204402       5.3916   1.5267e-09   -8.8818e-16       5.3916
_SET1_   ENSG00000182795     1  207156866  207241101     58       7  204402    -0.030727      0.30878   -7.2858e-16    -0.030727
_SET1_   ENSG00000115594     2  102646004  102831334    282      27  204402       6.4023   1.2831e-12   -8.8818e-16       6.4023
_SET1_   ENSG00000115641     2  105939169  106089970    130      32  204402    -0.097171      0.33669   -7.3552e-16    -0.097171
_SET1_   ENSG00000051382     3  138337860  138588780     91       3  204402      -1.5966      0.86251   -6.6613e-16      -1.5966
_SET1_   ENSG00000157796     4   39149024   39322430     87       4  204402       1.0618     0.057245   -6.6613e-16       1.0618
_SET1_   ENSG00000189184     4  138405072  138488648     36       7  204402     -0.53711      0.50842   -7.7716e-16     -0.53711
_SET1_   ENSG00000112742     6   80678604   80787244    120       8  204402      -3.1383      0.99515   -8.8818e-16      -3.1383
_SET1_   ENSG00000136244     7   22730503   22806621    112      15  204402       6.2317   6.1523e-12   -8.8818e-16       6.2317
_SET1_   ENSG00000105971     7  115892434  116183595    281      27  204402        1.427     0.021895   -6.6613e-16        1.427
_SET1_   ENSG00000136802     9  131609391  131715318     42       9  204402      -2.8078      0.98886   -8.8818e-16      -2.8078
_SET1_   ENSG00000197467    10   71526644   71759031    374      72  204402      0.69519      0.12531   -7.7716e-16      0.69519
_SET1_   ENSG00000166478    11    9446866    9585071     51       7  204402      0.94002     0.070686   -7.7716e-16      0.94002
_SET1_   ENSG00000157613    11   46264212   46377972     32       9  204402       2.5413    0.0010358   -8.8818e-16       2.5413
_SET1_   ENSG00000149547    11  125404112  125489575     52       7  204402       -1.445      0.82926   -6.6613e-16       -1.445
_SET1_   ENSG00000050405    12   50534571   50712329     66       5  204402      0.53871      0.14448   -7.7716e-16      0.53871
_SET1_   ENSG00000156076    12   65409406   65550346     77       8  204402      0.87049     0.080332   -7.7716e-16      0.87049
_SET1_   ENSG00000150991    12  125361150  125436914     47      13  204402      0.71664      0.10505   -7.7716e-16      0.71664
_SET1_   ENSG00000100804    14   23450752   23539439     28       7  204402      0.26517      0.21278   -7.2164e-16      0.26517
_SET1_   ENSG00000100644    14   62127231   62249976     70      10  204402      -0.2627      0.41386   -7.2164e-16      -0.2627
_SET1_   ENSG00000054654    14   64284683   64728165    360      30  204402       -1.298      0.75238   -6.6613e-16       -1.298
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000105486    19   48583702   48708860    116      17  204402     -0.17684      0.35841   -7.2164e-16     -0.17684
