# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 6.88259e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000137962     1   94579544   94775624    161      22  228017     -0.75021      0.73859    1.1613e-13     -0.75021
_SET1_   ENSG00000117569     1   97152221   97324294    102      12  229405       4.0144   1.1364e-05    1.1635e-13       4.0144
_SET1_   ENSG00000000457     1  169783772  169898408    155      11  231841      -1.0326      0.75788    1.1613e-13      -1.0326
_SET1_   ENSG00000171094     2   29380640   30179432   1205     109  227346       1.5885     0.026001    1.1613e-13       1.5885
_SET1_   ENSG00000153250     2  161093662  161385305    149      14  237389      0.91046     0.091063    1.1613e-13      0.91046
_SET1_   ENSG00000079215     5   36571457   36723436    177      38  229639        3.529   0.00030251    1.1635e-13        3.529
_SET1_   ENSG00000118689     6  108846038  109040977    163      17  227870       3.4256   0.00015003    1.1635e-13       3.4256
_SET1_   ENSG00000147465     8   37966167   38043783     28       7  170468     0.051788      0.65564    1.1614e-13     0.051788
_SET1_   ENSG00000148737    10  114675009  114962437    168      35  234988       5.4114      2.3e-08    1.1635e-13       5.4114
_SET1_   ENSG00000148985    11    3783954    3882601     75      17  226706     -0.89907      0.79746    1.1613e-13     -0.89907
_SET1_   ENSG00000139970    14   60027694   60372684    252      17  230554      0.89624     0.095017    1.1613e-13      0.89624
_SET1_   ENSG00000102882    16   30090426   30169827     22       5  210837       3.6389   0.00011713    1.1635e-13       3.6389
_SET1_   ENSG00000120075    17   46633619   46706323     34       7  233186       2.7058    0.0011997    1.1635e-13       2.7058
_SET1_   ENSG00000132003    19   13871274   13978044     47      10  201324      0.32209       0.4559    1.1613e-13      0.32209
