# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_KERATAN_SULFATE_DEGRADATION (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 2.75612e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000085999     1   46678360   46779145    185      45  136658      -1.1611      0.81141   -3.1086e-15      -1.1611
_SET1_   ENSG00000116133     1   55280306   55387891    547      38  145806      0.24827       0.2806   -3.0254e-15      0.24827
_SET1_   ENSG00000115738     2    8783975    8859583    317      41  144600       1.8187     0.017789   -3.1086e-15       1.8187
_SET1_   ENSG00000173175     3  122966143  123203605    816      73  138832       5.4952   2.4467e-09   -2.6645e-15       5.4952
_SET1_   ENSG00000134853     4   55060264   55199414    451      40  146408      0.45379       0.2161   -2.9976e-15      0.45379
_SET1_   ENSG00000145386     4  122702599  122780087    227      34  146583       0.7745      0.13603   -2.9976e-15       0.7745
_SET1_   ENSG00000204264     6   32773494   32847480    751      60  132462       1.3124     0.047014   -3.1086e-15       1.3124
_SET1_   ENSG00000146648     7   55051714   55359313   1339     137  146660      -2.6847      0.99058   -3.1086e-15      -2.6847
_SET1_   ENSG00000136997     8  128712680  128788674    290      58  140755    -0.068651      0.40607   -3.0254e-15    -0.068651
_SET1_   ENSG00000106688     9    4455444    4622469    815     106  141394      -1.0734      0.76866   -3.1086e-15      -1.0734
_SET1_   ENSG00000147883     9   21967902   22044362    243      38  127005       5.3247    7.107e-09   -2.6645e-15       5.3247
_SET1_   ENSG00000151532    10  114171756  114613503   1407     179  140628       2.4335    0.0030171   -3.1086e-15       2.4335
_SET1_   ENSG00000118939    13   76088619   76215085    465      32  150279       1.3814     0.044992   -3.1086e-15       1.3814
_SET1_   ENSG00000198900    20   39622458   39788127    441      57  143418       3.1877    0.0002565   -3.1086e-15       3.1877
_SET1_   ENSG00000100393    22   41452790   41611081    415      30  139727       1.4847     0.033715   -3.1086e-15       1.4847
