# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WP_SULFATASE_AND_AROMATASE_PATHWAY (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 7.71447e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000189410     1   21011225   21094330     72      15  225249      -1.3364      0.89855    1.1613e-13      -1.3364
_SET1_   ENSG00000162772     1  212703676  212829119    159      33  227338          1.9     0.036304    1.1613e-13          1.9
_SET1_   ENSG00000123610     2  152179106  152271560     56      12  231877       1.5007     0.039994    1.1613e-13       1.5007
_SET1_   ENSG00000132155     3   12590100   12740725    107      11  232263      0.93155      0.10792    1.1613e-13      0.93155
_SET1_   ENSG00000112319     6  133526736  133888258    444      48  228844     -0.28829      0.52773    1.1613e-13     -0.28829
_SET1_   ENSG00000008988     8   56944854   57022069     60       4  220011     -0.19524      0.53445     1.161e-13     -0.19524
_SET1_   ENSG00000148737    10  114675009  114962437    168      35  234988       5.0766     1.44e-07    1.1635e-13       5.0766
_SET1_   ENSG00000251655    12   11469757   11583500     60      10  214982       1.6491     0.055234    1.1613e-13       1.6491
_SET1_   ENSG00000139372    12  104324582  104417652    132      20  223678      0.51126      0.30451    1.1613e-13      0.51126
_SET1_   ENSG00000184304    14   30010687   30696104    568      58  232379       1.6059     0.023675    1.1613e-13       1.6059
_SET1_   ENSG00000128965    15   41210160   41283710     31       5  222931      0.90952      0.12842    1.1613e-13      0.90952
_SET1_   ENSG00000007520    16    1364241    1436912     54       7  209600     -0.18294      0.61173     1.161e-13     -0.18294
_SET1_   ENSG00000100311    22   39584364   39675756     89      14  218795     0.050763      0.47783    1.1612e-13     0.050763
_SET1_   ENSG00000100401    22   41606615   41717255     73       6  233992       1.6431     0.020488    1.1613e-13       1.6431
