# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MEDICUS_REFERENCE_CA2_ENTRY_LIGAND_GATED_CA2_CHANNEL (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 3.35761e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000158292     1    6272406    6356035     24       7  204402      0.82063     0.094092   -7.7716e-16      0.82063
_SET1_   ENSG00000135763     1  229726981  229830946     75       9  204402     -0.62525      0.53455   -7.7716e-16     -0.62525
_SET1_   ENSG00000081052     2  227832427  228063829    235      25  204402      0.96083     0.060319   -7.7716e-16      0.96083
_SET1_   ENSG00000150961     4  119608978  119794838    128      14  204402      0.42806      0.16214   -7.2164e-16      0.42806
_SET1_   ENSG00000196313     7   72314936   72456979      4       2  204402       0.6692      0.12322   -7.7716e-16       0.6692
_SET1_   ENSG00000104427     8   79543282   79667000     96       7  204402      -1.4874      0.83722   -6.6613e-16      -1.4874
_SET1_   ENSG00000107968    10   30687866   30785762     70       7  204402       3.4362   3.7803e-05   -8.8818e-16       3.4362
_SET1_   ENSG00000135100    12  121381346  121475315     75      13  204402       7.1499   7.6052e-15   -8.8818e-16       7.1499
_SET1_   ENSG00000100804    14   23450752   23539439     28       7  204402      0.26517      0.21278   -7.2164e-16      0.26517
_SET1_   ENSG00000170345    14   75710477   75783933     39      13  204402       2.0558    0.0048319   -8.8818e-16       2.0558
_SET1_   ENSG00000105755    19   43975871   44066396     46       9  204402       1.8388    0.0089213   -6.6613e-16       1.8388
