# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = DIAZ_CHRONIC_MYELOGENOUS_LEUKEMIA_UP (set)
# _SET1_  NGENES = 1269
# _SET1_  P-VALUE = 7.84793e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000187608     1     913803     984920     61       4  195813       2.0409    0.0097487    8.5709e-14       2.0409
_SET1_   ENSG00000187730     1    1915780    1997192     79      13  195813      -2.1596      0.97591    8.5709e-14      -2.1596
_SET1_   ENSG00000130762     1    3335990    3432677    339      32  195813    -0.096493      0.51441    8.5612e-14    -0.096493
_SET1_   ENSG00000169598     1    3738845    3836993    513      30  195813       1.0318      0.11082    8.5709e-14       1.0318
_SET1_   ENSG00000049249     1    7944907    8035926    254      24  195813      -1.3773      0.88897    8.5709e-14      -1.3773
_SET1_   ENSG00000074800     1    8886061    8974308    200      25  195813      0.52454      0.24675    8.5598e-14      0.52454
_SET1_   ENSG00000131686     1    8970926    9070151    415      71  195813     -0.16931      0.56003    8.5626e-14     -0.16931
_SET1_   ENSG00000171608     1    9676790    9824172    260      32  195813      -0.4387      0.62702    8.5598e-14      -0.4387
_SET1_   ENSG00000009724     1   11051580   11142290    212      15  195813      -1.1529      0.83533    8.5709e-14      -1.1529
_SET1_   ENSG00000116649     1   11079641   11155081    175      10  195813     -0.77556      0.72165    8.5598e-14     -0.77556
_SET1_   ENSG00000198793     1   11131592   11357564    450      12  195813      -0.7617      0.71109    8.5598e-14      -0.7617
_SET1_   ENSG00000189337     1   14890200   15479539   2171     207  195813      -1.5248      0.95584    8.5709e-14      -1.5248
_SET1_   ENSG00000065526     1   16139359   16301955    422      26  195813      0.47743      0.26444    8.5598e-14      0.47743
_SET1_   ENSG00000158747     1   19932048   20019945    292      35  195813       0.3584       0.3227    8.5598e-14       0.3584
_SET1_   ENSG00000183114     1   20843932   20916512    360      35  195813    -0.079771      0.47816    8.5612e-14    -0.079771
