# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = MATTIOLI_MGUS_VS_PCL (set)
# _SET1_  NGENES = 91
# _SET1_  P-VALUE = 1.26744e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000123472     1   47063409   47174539    103      10  199323       1.2128      0.15764    1.1613e-13       1.2128
_SET1_   ENSG00000163131     1  150667672  150773433     36       3  214730       1.3118     0.078754    1.1613e-13       1.3118
_SET1_   ENSG00000176444     1  155197659  155283282     30       2  219765      0.40614      0.28094    1.1613e-13      0.40614
_SET1_   ENSG00000075391     1  178027864  178483644    229      14  229487     -0.50287      0.56826    1.1613e-13     -0.50287
_SET1_   ENSG00000073756     1  186605923  186684559     52       6  221711       1.1238      0.11639    1.1613e-13       1.1238
_SET1_   ENSG00000154380     1  225639537  225875844    166      18  228817       1.2308     0.081534    1.1613e-13       1.2308
_SET1_   ENSG00000117020     1  243616535  244049381    169      11  225987       3.0537   0.00046124    1.1591e-13       3.0537
_SET1_   ENSG00000151665     2   46773076   46879258    104      15  224066     -0.97993      0.82103    1.1613e-13     -0.97993
_SET1_   ENSG00000158417     2   99918816  100052789    118       8  232404      -1.0288      0.74291    1.1613e-13      -1.0288
_SET1_   ENSG00000115107     2  119946384  120058228    116      21  228688      -1.5576      0.92929    1.1613e-13      -1.5576
_SET1_   ENSG00000054219     2  160593362  160796260    232      26  227165       3.2197   0.00037684    1.1591e-13       3.2197
_SET1_   ENSG00000074582     2  219488487  219563166     54       5  221957       3.5482   0.00010585    1.1591e-13       3.5482
_SET1_   ENSG00000127824     2  220079433  220177892     52       7  222475       2.8378     0.001972    1.1591e-13       2.8378
_SET1_   ENSG00000081052     2  227832427  228063829    266      32  209624       3.7755   0.00014388    1.1591e-13       3.7755
_SET1_   ENSG00000132170     3   12293867   12510855    194      24  255615       2.6395   0.00036917    1.1591e-13       2.6395
_SET1_   ENSG00000055955     3   52811991   52900495     87       9  247432       2.6754   0.00046422    1.1591e-13       2.6754
_SET1_   ENSG00000163932     3   53155025   53261733     84      16  227782    -0.011106      0.45898    1.1611e-13    -0.011106
_SET1_   ENSG00000163666     3   57196944   57295549     32       3  225583      -1.3397      0.85236    1.1613e-13      -1.3397
_SET1_   ENSG00000083937     3   87241421   87339698     69       8  231462      0.82811      0.12949    1.1613e-13      0.82811
_SET1_   ENSG00000109689     4   26824300   27062003    150      15  223548     -0.36816      0.58881    1.1613e-13     -0.36816
_SET1_   ENSG00000169245     4   76907273   76979650     80       5  227727     -0.57495      0.60686    1.1613e-13     -0.57495
_SET1_   ENSG00000109339     4   86901276   87550284    450      39  231742      -1.2456       0.7923    1.1613e-13      -1.2456
_SET1_   ENSG00000138821     4  103137198  103387415    253      24  249745       3.2369   4.0281e-05    1.1591e-13       3.2369
_SET1_   ENSG00000170365     4  146367346  146514231     79       8  214945     -0.18967      0.57445     1.161e-13     -0.18967
_SET1_   ENSG00000109756     4  159990330  160316321    156      16  229281       2.3169    0.0050405    1.1591e-13       2.3169
_SET1_   ENSG00000145730     5  102054685  102401809    252      11  220531       1.8892     0.013771    1.1613e-13       1.8892
_SET1_   ENSG00000164398     5  131107683  131382936    157      11  223996      0.62651      0.20078    1.1613e-13      0.62651
_SET1_   ENSG00000185129     5  139452362  139531321     28       4  232074      0.16259      0.29597     1.161e-13      0.16259
_SET1_   ENSG00000145901     5  150374506  150508138    229      47  226848    -0.089848      0.62118    1.1612e-13    -0.089848
_SET1_   ENSG00000204616     6   30035674   30115883    208      18  244464     -0.89612      0.62484    1.1613e-13     -0.89612
_SET1_   ENSG00000196230     6   30652978   30728203     53      13  241823     -0.23247      0.45889     1.161e-13     -0.23247
_SET1_   ENSG00000082293     6   70541463   70954679    488      50  227834      -1.2615      0.84078    1.1613e-13      -1.2615
_SET1_   ENSG00000034693     6  143736944  143846147    145      11  229699      -1.1957      0.81083    1.1613e-13      -1.1957
_SET1_   ENSG00000136238     7    6379154    6478608     78      11  225707        2.139     0.011345    1.1591e-13        2.139
_SET1_   ENSG00000196262     7   44801279   44899163     54       6  229307       1.1564     0.075451    1.1613e-13       1.1564
_SET1_   ENSG00000196715     7   65303254   65459550     35       6  226030      0.82712      0.14563    1.1613e-13      0.82712
_SET1_   ENSG00000086730     7   73578982   73679161     21       6  224759      0.73654      0.19551    1.1613e-13      0.73654
_SET1_   ENSG00000127947     7   77131592   77304388    101      13  231665        2.368    0.0046234    1.1591e-13        2.368
_SET1_   ENSG00000164741     8   12905870   13408167    784      64  230765       -2.208      0.93326    1.1591e-13       -2.208
_SET1_   ENSG00000168484     8   21979426   22056992     31      12  175137     -0.84744      0.89964    1.1613e-13     -0.84744
_SET1_   ENSG00000070501     8   42160972   42264326     51       5  227632     -0.57809      0.68595    1.1613e-13     -0.57809
_SET1_   ENSG00000185963     9   95438645   95562094     79       6  230698      -1.3081      0.83978    1.1613e-13      -1.3081
_SET1_   ENSG00000095380     9  100784021  100880357     51       8  225869     -0.61618      0.66191    1.1613e-13     -0.61618
_SET1_   ENSG00000148154     9  114624046  114732649    123      23  229798     -0.68378      0.72613    1.1613e-13     -0.68378
_SET1_   ENSG00000119522     9  126106933  126727431    490      37  231445       3.6386   1.6445e-05    1.1591e-13       3.6386
_SET1_   ENSG00000167136     9  131545753  131619956     58       5  220524       2.5162    0.0043794    1.1591e-13       2.5162
_SET1_   ENSG00000165995    10   18394606   18865798    618      74  232455      0.22937      0.32821     1.161e-13      0.22937
_SET1_   ENSG00000150867    10   22788778   23038484    303      18  226256      0.75601      0.12633    1.1613e-13      0.75601
_SET1_   ENSG00000095637    10   97036528   97356171    427      53  226034      0.01435      0.47412    1.1611e-13      0.01435
_SET1_   ENSG00000148737    10  114675009  114962437    168      35  234988       5.0766     1.44e-07    1.1635e-13       5.0766
_SET1_   ENSG00000019995    10  126595692  126711758    113      17  220872       3.4272   0.00033641    1.1591e-13       3.4272
_SET1_   ENSG00000130598    11    1825219    1897910     58      10  220222       1.1355      0.11506    1.1613e-13       1.1355
_SET1_   ENSG00000173457    11   63976956   64049413     31       6  229594       1.6024     0.028428    1.1613e-13       1.6024
_SET1_   ENSG00000149218    11   94787974   94900809    143      25  226795      -1.3729      0.91425    1.1613e-13      -1.3729
_SET1_   ENSG00000137713    11  111562632  111672151     42       6  227865     -0.53712      0.60506    1.1613e-13     -0.53712
_SET1_   ENSG00000198851    11  118140260  118221890     70       9  230136       1.3249     0.055503    1.1613e-13       1.3249
_SET1_   ENSG00000064199    11  124508694  124602414     49       9  208063      0.68353      0.29929    1.1613e-13      0.68353
_SET1_   ENSG00000010278    12    6273881    6382425     78      11  229022     -0.18708      0.47911     1.161e-13     -0.18708
_SET1_   ENSG00000133687    12   29618773   29972692    496      59  227415     -0.63646      0.69437    1.1613e-13     -0.63646
_SET1_   ENSG00000170653    12   53866640   54055199     96      12  229533       1.4425     0.048381    1.1613e-13       1.4425
_SET1_   ENSG00000183735    12   64810660   64930888     71      13  224321       1.4296      0.06295    1.1613e-13       1.4296
_SET1_   ENSG00000149948    12   66182911   66395075    135      23  233720       1.6939     0.034416    1.1613e-13       1.6939
_SET1_   ENSG00000121390    13   20213896   20392142    104       7  228564       1.2456     0.068829    1.1613e-13       1.2456
_SET1_   ENSG00000136141    13   47092303   47362175    355      26  229656     -0.22043       0.4174     1.161e-13     -0.22043
_SET1_   ENSG00000187498    13  110766318  110994496    345      71  263454     0.046342      0.32166    1.1612e-13     0.046342
_SET1_   ENSG00000092140    14   30993329   31124269     93       9  224016      0.63956      0.21616    1.1613e-13      0.63956
_SET1_   ENSG00000126785    14   63635832   63794937    191      27  220942     -0.24302      0.63066     1.161e-13     -0.24302
_SET1_   ENSG00000184990    14  105184437  105269831     28       5  227355      -1.0385      0.77208    1.1613e-13      -1.0385
_SET1_   ENSG00000074803    15   48448861   48631275     75       5  222385     -0.52955      0.65833    1.1613e-13     -0.52955
_SET1_   ENSG00000140743    16   22322257   22483486     19       4  217510       1.2909     0.087553    1.1613e-13       1.2909
_SET1_   ENSG00000261052    16   30170754   30250631      4       1  189657       2.4651    0.0063268    1.1591e-13       2.4651
_SET1_   ENSG00000140937    16   64942656   65195015    323      23  228025       2.1092     0.006182    1.1591e-13       2.1092
_SET1_   ENSG00000103035    16   74295673   74375186     34       8  210416      0.54922      0.32312    1.1613e-13      0.54922
_SET1_   ENSG00000142507    17    4664439    4736790     45      13  197816     -0.10183      0.65093    1.1612e-13     -0.10183
_SET1_   ENSG00000141510    17    7530097    7625856     43      13  228883       1.7137     0.030566    1.1613e-13       1.7137
_SET1_   ENSG00000072210    17   19516449   19615911     59       7  219443      -0.7007      0.72466    1.1613e-13      -0.7007
_SET1_   ENSG00000108294    17   36873989   36955484     47      13  232859      -0.8842      0.74311    1.1613e-13      -0.8842
_SET1_   ENSG00000126561    17   40404565   40498961     29       3  227851      -1.2267      0.82021    1.1613e-13      -1.2267
_SET1_   ENSG00000161513    17   72823619   72904156     43       6  218795      -2.7441       0.9962    1.1591e-13      -2.7441
_SET1_   ENSG00000108479    17   73712675   73796792     34      10  213426       2.2122     0.015267    1.1591e-13       2.2122
_SET1_   ENSG00000141526    17   80151273   80254005     40       6  209442       2.6583    0.0042389    1.1591e-13       2.6583
_SET1_   ENSG00000126261    19   34884257   34995853     51       7  220542     -0.97172      0.82643    1.1613e-13     -0.97172
_SET1_   ENSG00000249115    19   36068646   36151251     44       9  224003      -1.3343      0.88024    1.1613e-13      -1.3343
_SET1_   ENSG00000013275    19   40441912   40522348     57       7  202562      -1.0037      0.91745    1.1613e-13      -1.0037
_SET1_   ENSG00000126458    19   50103549   50178458     14       3  204999      0.72689      0.23098    1.1613e-13      0.72689
_SET1_   ENSG00000124214    20   47694878   47839904     87       9  229641       1.0016      0.10286    1.1613e-13       1.0016
_SET1_   ENSG00000203896    20   62331815   62405456     62      10  233854     -0.38517       0.5291    1.1613e-13     -0.38517
_SET1_   ENSG00000100030    22   22073789   22256970    114      12  221287       2.8415    0.0017105    1.1591e-13       2.8415
_SET1_   ENSG00000128340    22   37586301   37675488    107      18  224678      -1.0554      0.84129    1.1613e-13      -1.0554
_SET1_   ENSG00000077935    22   45704944   45844500    146      10  226877     -0.32571      0.51752    1.1613e-13     -0.32571
_SET1_   ENSG00000100425    22   50131931   50256160     70       8  213028        0.806       0.2415    1.1613e-13        0.806
