# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = GOZGIT_ESR1_TARGETS_UP (set)
# _SET1_  NGENES = 130
# _SET1_  P-VALUE = 2.46382e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000160049     1   10481579   10567583     51       5  204402       1.7723     0.010955   -6.6613e-16       1.7723
_SET1_   ENSG00000053371     1   19595459   19673640     44      11  204402       -1.132      0.72674   -6.6613e-16       -1.132
_SET1_   ENSG00000162552     1   22408798   22505462    101      20  204402       1.3378     0.032462   -6.6613e-16       1.3378
_SET1_   ENSG00000084652     1   32610287   32698886     17       3  204402      -1.2087      0.81699   -6.6613e-16      -1.2087
_SET1_   ENSG00000172380     1   68132149   68334150    198      22  204402       1.1243     0.045318   -6.6613e-16       1.1243
_SET1_   ENSG00000099260     1  100076499  100195097    157      22  204402      0.65892      0.11993   -7.7716e-16      0.65892
_SET1_   ENSG00000162688     1  100280640  100424579    121      12  204402      0.24628       0.2112   -7.2164e-16      0.24628
_SET1_   ENSG00000213281     1  115212090  115294515     36       6  204402      0.77236     0.097192   -7.7716e-16      0.77236
_SET1_   ENSG00000143257     1  161164456  161243092     68      17  204402       1.8556    0.0085842   -6.6613e-16       1.8556
_SET1_   ENSG00000116750     1  192946380  193064237     30       6  204402      0.17529      0.24872   -7.2164e-16      0.17529
_SET1_   ENSG00000185155     1  226376319  226449755     29       5  204402     -0.90688      0.64758   -7.7716e-16     -0.90688
_SET1_   ENSG00000143641     1  230158536  230452870    276      46  204402      0.76591     0.099405   -7.7716e-16      0.76591
_SET1_   ENSG00000117009     1  241660434  241793944    104      23  204402      0.65562      0.11803   -7.7716e-16      0.65562
_SET1_   ENSG00000171094     2   29380640   30179432   1114     107  204402        1.056     0.045834   -6.6613e-16        1.056
_SET1_   ENSG00000115904     2   39173537   39386486    123       5  204402     -0.67266      0.60902   -7.7716e-16     -0.67266
_SET1_   ENSG00000162924     2   61073656   61193745     62       9  204402     -0.91712      0.64848   -7.7716e-16     -0.91712
_SET1_   ENSG00000082898     2   61669984   61800761     34       2  204402     0.092823      0.28467   -7.3552e-16     0.092823
_SET1_   ENSG00000003137     2   72321367   72410167     88      11  204402       1.2405     0.038662   -6.6613e-16       1.2405
_SET1_   ENSG00000034510     2   85097749   85168795     42       3  204402      0.87918     0.091637   -7.7716e-16      0.87918
_SET1_   ENSG00000198586     2  171812333  172122824    162      13  204402       2.3737     0.001672   -8.8818e-16       2.3737
_SET1_   ENSG00000168542     2  189804046  189912472    117      19  204402       -1.449      0.82445   -6.6613e-16       -1.449
_SET1_   ENSG00000064012     2  202063166  202187434     79      13  204402       1.0293     0.059252   -6.6613e-16       1.0293
_SET1_   ENSG00000204217     2  203206659  203467474     53       8  204402      0.26849      0.21869   -7.2164e-16      0.26849
_SET1_   ENSG00000077097     3   25604475   25741398    102      14  204402       1.1368     0.048011   -6.6613e-16       1.1368
_SET1_   ENSG00000154917     3  133508083  133649680    121      26  204402        1.085     0.053328   -6.6613e-16        1.085
_SET1_   ENSG00000196549     3  154706913  154936497    139      35  204402    -0.015921      0.31378   -7.2858e-16    -0.015921
_SET1_   ENSG00000133256     4     584373     699571     26       4  204402        -1.62      0.89254   -6.6613e-16        -1.62
_SET1_   ENSG00000063978     4    2428947    2662047     58      13  204402      0.33985      0.19168   -7.2164e-16      0.33985
_SET1_   ENSG00000169851     4   30687037   31183422    327      34  204402      -1.4592      0.80378   -6.6613e-16      -1.4592
_SET1_   ENSG00000135220     4   69759181   69852509     96      10  204402       1.0662     0.061545   -6.6613e-16       1.0662
_SET1_   ENSG00000163110     4   95338037   95624377    214      21  204402     -0.82517        0.594   -7.7716e-16     -0.82517
_SET1_   ENSG00000145354     4  103755135  103845399     24       2  204402       0.6628      0.12477   -7.7716e-16       0.6628
_SET1_   ENSG00000138802     4  110319928  110497052     75       6  204402     0.004065      0.32458   -7.2945e-16     0.004065
_SET1_   ENSG00000121207     4  155513097  155709270    124      15  204402     0.022327      0.28002   -7.2858e-16     0.022327
_SET1_   ENSG00000081189     5   87978975   88234922    141      16  204402      0.76915     0.093307   -7.7716e-16      0.76915
