# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = BOYLAN_MULTIPLE_MYELOMA_PCA1_UP (set)
# _SET1_  NGENES = 100
# _SET1_  P-VALUE = 2.83112e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000078369     1    1681729    1857495    375      26  59957       3.9958   8.7078e-07    1.8208e-14       3.9958
_SET1_   ENSG00000157873     1    2452078    2531821    290      28  59957       4.3838    9.284e-08    1.8652e-14       4.3838
_SET1_   ENSG00000116661     1   11673424   11750842    278      48  59957      -2.6083      0.95608    1.8208e-14      -2.6083
_SET1_   ENSG00000117298     1   21508740   21706997    641      63  59957       2.0466    0.0020256    1.8208e-14       2.0466
_SET1_   ENSG00000134686     1   33754224   33931653    583      29  59957       2.4803   0.00062441    1.8208e-14       2.4803
_SET1_   ENSG00000092853     1   36150819   36270568    208      24  59957      -1.3925      0.78392    1.8208e-14      -1.3925
_SET1_   ENSG00000142973     1   47188510   47320085    450      62  59957       1.3201     0.014742    1.8208e-14       1.3201
_SET1_   ENSG00000116704     1   67430015   67554782    400      29  59957       5.7791   3.5236e-11    1.8652e-14       5.7791
_SET1_   ENSG00000172260     1   71826623   72783417   2333     123  59957    -0.026578      0.18233    1.8287e-14    -0.026578
_SET1_   ENSG00000162645     1   89536815   89651139    335      22  59957       1.0542     0.034754    1.8208e-14       1.0542
_SET1_   ENSG00000137942     1   93878688   94055218    331      45  59957       2.2228    0.0012114    1.8208e-14       2.2228
_SET1_   ENSG00000000971     1  196586008  196751634    462      36  59957     0.098196      0.19463    1.8291e-14     0.098196
_SET1_   ENSG00000163811     2   29082509   29206088    409      24  59957      0.83413     0.053619    1.8319e-14      0.83413
_SET1_   ENSG00000049323     2   33137039   33659576   2594     127  59957     -0.61218      0.38014    1.8319e-14     -0.61218
_SET1_   ENSG00000115904     2   39173537   39386486    524      25  59957      0.66272      0.12693    1.8319e-14      0.66272
_SET1_   ENSG00000170577     2   45197300   45271569    409      32  59957      -2.8353      0.97613    1.8208e-14      -2.8353
_SET1_   ENSG00000170634     2   54162975   54567437   1381      61  59957      -1.3754      0.70611    1.8208e-14      -1.3754
_SET1_   ENSG00000143947     2   55424039   55497989    226      38  59957     -0.10958      0.23179    1.8291e-14     -0.10958
_SET1_   ENSG00000169764     2   64033074   64153696    329      39  59957      -1.3726      0.73109    1.8208e-14      -1.3726
_SET1_   ENSG00000163235     2   70639412   70816325    656      57  59957        1.036     0.026257    1.8208e-14        1.036
_SET1_   ENSG00000115459     2   85546517   85653875    374      37  59957      0.77259     0.058824    1.8319e-14      0.77259
_SET1_   ENSG00000115107     2  119946384  120058228    465      57  59957     -0.53073       0.3405    1.8319e-14     -0.53073
_SET1_   ENSG00000091409     2  173257082  173406181    671      42  59957     -0.29343      0.33526    1.8263e-14     -0.29343
_SET1_   ENSG00000116044     2  178057323  178292425    682      44  59957      -1.1078      0.64977    1.8208e-14      -1.1078
_SET1_   ENSG00000115648     2  238359071  238498961    714      44  59957    -0.063586       0.2689    1.8291e-14    -0.063586
_SET1_   ENSG00000066422     3  101332733  101431339    193      26  59957        1.944    0.0024366    1.8208e-14        1.944
_SET1_   ENSG00000144802     3  101511835  101614866    213      38  59957       1.1203     0.018813    1.8208e-14       1.1203
_SET1_   ENSG00000188582     3  142633006  142717178    281      44  59957       1.1137     0.018565    1.8208e-14       1.1137
_SET1_   ENSG00000018408     3  149200022  149489501   1210      97  59957     0.034605      0.18035    1.8291e-14     0.034605
_SET1_   ENSG00000169851     4   30687037   31183422   1697      90  59957      0.96941     0.032026    1.8319e-14      0.96941
_SET1_   ENSG00000164109     4  120941763  121023229    214      35  59957      -1.2633      0.63731    1.8208e-14      -1.2633
_SET1_   ENSG00000071205     4  148618214  149028931   1094      83  59957       1.3073     0.021251    1.8208e-14       1.3073
_SET1_   ENSG00000112977     5   10644342   10796384    558      35  59957       4.1822   3.7137e-07    1.8652e-14       4.1822
_SET1_   ENSG00000151876     5   41890356   41976845    195      21  59957        1.306     0.029816    1.8208e-14        1.306
_SET1_   ENSG00000175745     5   92884043   92965321    116      29  59957       -1.152      0.65299    1.8208e-14       -1.152
_SET1_   ENSG00000171720     5  140965443  141051437    270      41  59957       1.1013     0.027353    1.8208e-14       1.1013
_SET1_   ENSG00000070808     5  149564054  149704854    445      79  59957       4.5322   1.5623e-08    1.8652e-14       4.5322
_SET1_   ENSG00000196230     6   30652978   30728203    241      35  59957       3.2954   3.6039e-05    1.8208e-14       3.2954
_SET1_   ENSG00000204386     6   31790436   31865683    270      41  59957       6.0914   2.3489e-12    1.8652e-14       6.0914
_SET1_   ENSG00000204304     6   32117512   32192963    307      44  59957       7.3711   8.4008e-17    1.8652e-14       7.3711
_SET1_   ENSG00000112576     6   41867671   42053095    592      79  59957       3.2756   1.2642e-05    1.8208e-14       3.2756
_SET1_   ENSG00000135297     6   74136301   74253959    335      33  59957      0.56496     0.098854    1.8319e-14      0.56496
