# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000187634    1     825260     914955    269      31  115393      0.58756   -1.9984e-15      0.58756
ENSG00000188976    1     844584     929689    272      33  117565     -0.12552   -2.0539e-15     -0.12552
ENSG00000187961    1     860967     936095    239      36  118648     -0.49153   -2.0539e-15     -0.49153
ENSG00000187583    1     866877     946245    253      29  119915     -0.39226   -2.0539e-15     -0.39226
ENSG00000188290    1     899342     970552    225      26  124050      -2.5978   -2.2204e-15      -2.5978
ENSG00000187608    1     913803     984920    217      22  125709      -3.5963   -2.2204e-15      -3.5963
ENSG00000188157    1     920503    1026496    290      23  125797      -2.3217   -2.2204e-15      -2.3217
ENSG00000237330    1     971346    1044687    194      24  126101      -1.8934   -1.9984e-15      -1.8934
ENSG00000131591    1     982198    1086741    327      28  125152      -2.0786   -2.2204e-15      -2.0786
ENSG00000162571    1    1074264    1168315    426      40  126083      -1.2018   -1.9984e-15      -1.2018
ENSG00000186891    1    1103888    1177071    345      25  127083     -0.88206   -1.9984e-15     -0.88206
ENSG00000186827    1    1111706    1184518    325      22  127223     -0.84815   -1.9984e-15     -0.84815
ENSG00000078808    1    1117288    1202411    348      20  127103     -0.68774   -1.9984e-15     -0.68774
ENSG00000176022    1    1132629    1205421    270      17  126391     -0.26683   -2.0539e-15     -0.26683
ENSG00000160087    1    1154289    1244265    321      27  125302     -0.40915   -2.0539e-15     -0.40915
ENSG00000162572    1    1180816    1262409    217      28  124110     -0.20483   -2.0539e-15     -0.20483
ENSG00000131584    1    1192756    1279989    244      29  124418     -0.28373   -2.0539e-15     -0.28373
ENSG00000169972    1    1208947    1282057    212      27  124963    -0.079501   -2.0539e-15    -0.079501
ENSG00000169962    1    1231694    1305686    218      21  126135       0.1781   -2.0539e-15       0.1781
ENSG00000107404    1    1235656    1319730    266      16  126500      0.18192   -2.0539e-15      0.18192
ENSG00000162576    1    1253069    1332157    250      21  126705      0.16917   -2.0539e-15      0.16917
ENSG00000175756    1    1274110    1345875    222      20  126976      0.10036   -2.0539e-15      0.10036
ENSG00000221978    1    1286091    1369708    273      17  127075     -0.24282   -2.0539e-15     -0.24282
ENSG00000242485    1    1302288    1377693    221      21  127001     -0.20874   -2.0539e-15     -0.20874
ENSG00000235098    1    1318800    1392149    184      22  125419     -0.55981   -1.9984e-15     -0.55981
ENSG00000205116    1    1326508    1398167    180      22  125287     -0.49372   -2.0539e-15     -0.49372
ENSG00000179403    1    1335241    1413262    182      23  125051     -0.22343   -2.0539e-15     -0.22343
ENSG00000215915    1    1350069    1440538    180      27  124079     0.032148    -2.047e-15     0.032148
ENSG00000160072    1    1372143    1468228    175      29  122029      0.92322   -1.9984e-15      0.92322
ENSG00000197785    1    1412531    1505067    204      27  122810       1.1855   -1.9984e-15       1.1855
ENSG00000160075    1    1442053    1545249    291      27  123174      0.96204   -1.9984e-15      0.96204
ENSG00000197530    1    1515795    1600990    161      22  125045       0.7211   -1.9984e-15       0.7211
ENSG00000189409    1    1532474    1605639    113      16  126430       1.2296   -1.9984e-15       1.2296
ENSG00000248333    1    1535603    1625473    149      23  127208       1.2239   -1.9984e-15       1.2239
ENSG00000189339    1    1557939    1659167    139      22  128716       1.8255   -1.9984e-15       1.8255
ENSG00000008128    1    1599169    1690766    148      21  129251      0.75851   -1.9984e-15      0.75851
