# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 2.19507e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000126067     1   36032185   36142445    213      29  59957      -1.1156      0.73593    1.8208e-14      -1.1156
_SET1_   ENSG00000168036     3   41201328   41336587    308      32  59957       2.5706   0.00031054    1.8208e-14       2.5706
_SET1_   ENSG00000077943    10   15520948   15797124   1082      63  59957   -0.0099139      0.20663    1.8289e-14   -0.0099139
_SET1_   ENSG00000165322    10   32059365   32252742    455      35  59957       2.4125   0.00051669    1.8208e-14       2.4125
_SET1_   ENSG00000171314    10   99150917   99228198    238      33  59957      0.93002     0.035737    1.8319e-14      0.93002
_SET1_   ENSG00000025434    11   47234851   47325396    240      24  59957     -0.82972      0.51854    1.8319e-14     -0.82972
_SET1_   ENSG00000010278    12    6273881    6382425    326      39  59957     -0.14496       0.2016    1.8291e-14     -0.14496
_SET1_   ENSG00000111275    12  112169691  112282782    187      19  59957      0.61783       0.1031    1.8319e-14      0.61783
_SET1_   ENSG00000100852    14   32510320   32663934    259      60  59957      0.77209     0.045413    1.8319e-14      0.77209
_SET1_   ENSG00000185650    14   69219377   69298190    277      27  59957       5.8371   1.2387e-11    1.8652e-14       5.8371
_SET1_   ENSG00000142208    14  105200686  105297088    321      49  59957       1.1232     0.021767    1.8208e-14       1.1232
_SET1_   ENSG00000179583    16   10936055   11061079    455      76  59957       3.8368   8.4604e-07    1.8208e-14       3.8368
_SET1_   ENSG00000168610    17   40430342   40575586    360      27  59957        6.478   2.4423e-13    1.8652e-14        6.478
_SET1_   ENSG00000104980    19    7956603    8043805    281      34  59957     -0.80411      0.48162    1.8319e-14     -0.80411
_SET1_   ENSG00000131408    19   50797910   50921239    366      53  59957      0.79172     0.043626    1.8319e-14      0.79172
