# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WAGSCHAL_EHMT2_TARGETS_UP (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 2.74696e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000196353     3  131217399  132039254   1005      65  204402       1.0978     0.030766   -6.6613e-16       1.0978
_SET1_   ENSG00000164107     4  174411120  174486380     66      13  204402        3.005   0.00019405   -8.8818e-16        3.005
_SET1_   ENSG00000113742     5  173280283  173423979    122      18  204402       1.3445     0.030857   -6.6613e-16       1.3445
_SET1_   ENSG00000158560     7   95366866   95774634    383      54  204402      0.93965       0.0688   -7.7716e-16      0.93965
_SET1_   ENSG00000164683     8   80641245   80715098     58      16  204402      0.51093      0.14936   -7.7716e-16      0.51093
_SET1_   ENSG00000123908     8  141506264  141680718    124      19  204402       1.6928     0.012349   -6.6613e-16       1.6928
_SET1_   ENSG00000122694     9   36101732   36198910     64      16  204402      0.18683      0.23662   -7.2164e-16      0.18683
_SET1_   ENSG00000107796    10   90659831   90786147    157      26  204402      -1.1807        0.741   -6.6613e-16      -1.1807
_SET1_   ENSG00000076248    12  109500379  109583797     54      10  204402    -0.030201      0.31943   -7.2858e-16    -0.030201
_SET1_   ENSG00000139618    13   32854611   33008805    146      26  204402       1.1336     0.048213   -6.6613e-16       1.1336
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000040531    17    3504762    3599836     62      14  204402     -0.87796      0.63139   -7.7716e-16     -0.87796
_SET1_   ENSG00000152229    18   43528502   43687238    112      13  204402     -0.23414      0.38243   -7.2164e-16     -0.23414
