# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = DANG_BOUND_BY_MYC (set)
# _SET1_  NGENES = 944
# _SET1_  P-VALUE = 8.96814e-08
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000188157     1     920503    1026496    337      30  59957     -0.86932       0.5245    1.8319e-14     -0.86932
_SET1_   ENSG00000162571     1    1074264    1168315    471      44  59957       2.7679   0.00026186    1.8208e-14       2.7679
_SET1_   ENSG00000107404     1    1235656    1319730    294      20  59957       4.0808   2.1478e-06    1.8652e-14       4.0808
_SET1_   ENSG00000187730     1    1915780    1997192    235      45  59957       1.2762     0.012298    1.8208e-14       1.2762
_SET1_   ENSG00000157873     1    2452078    2531821    290      28  59957       4.3838    9.284e-08    1.8652e-14       4.3838
_SET1_   ENSG00000158109     1    3506566    3581691    309      39  59957      -1.6104       0.7724    1.8208e-14      -1.6104
_SET1_   ENSG00000215788     1    6486211    6561255    227      31  59957        3.388   2.2836e-05    1.8208e-14        3.388
_SET1_   ENSG00000142599     1    8377457    8912702    992      40  59957      0.33968      0.13453    1.8263e-14      0.33968
_SET1_   ENSG00000142583     1    9060166    9183537    552      52  59957      0.55775     0.079536    1.8319e-14      0.55775
_SET1_   ENSG00000171608     1    9676790    9824172    375      63  59957     -0.81002      0.46695    1.8319e-14     -0.81002
_SET1_   ENSG00000054523     1   10235863   10476661    818      23  59957     -0.69918      0.54435    1.8319e-14     -0.69918
_SET1_   ENSG00000116649     1   11079641   11155081    210      16  59957      0.29014      0.18701    1.8263e-14      0.29014
_SET1_   ENSG00000011021     1   11831207   11938201    568      33  59957      0.29373      0.16092    1.8263e-14      0.29373
_SET1_   ENSG00000028137     1   12192060   12304285    374      56  59957     -0.46247      0.34584    1.8263e-14     -0.46247
_SET1_   ENSG00000132906     1   15782327   15888029    374      27  59957      0.12812      0.16472    1.8291e-14      0.12812
_SET1_   ENSG00000116138     1   15818308   15953874    487      20  59957     -0.85162       0.5406    1.8319e-14     -0.85162
_SET1_   ENSG00000055070     1   16644070   16759640    308      27  59957     0.013075      0.20456    1.8289e-14     0.013075
_SET1_   ENSG00000053371     1   19595459   19673640    348      37  59957      -1.7699      0.82848    1.8208e-14      -1.7699
_SET1_   ENSG00000158828     1   20924948   21013004    344      27  59957      -1.2076      0.64854    1.8208e-14      -1.2076
_SET1_   ENSG00000070831     1   22344120   22454437    451      35  59957      0.98778     0.040285    1.8319e-14      0.98778
_SET1_   ENSG00000162552     1   22408798   22505462    390      53  59957       1.3707     0.012864    1.8208e-14       1.3707
