# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = VALK_AML_CLUSTER_13 (set)
# _SET1_  NGENES = 28
# _SET1_  P-VALUE = 4.63189e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000198793     1   11131592   11357564     51       3  204402      0.18893      0.25339   -7.2164e-16      0.18893
_SET1_   ENSG00000115310     2   55164325   55374757    227      26  204402     -0.45882      0.45654   -7.2164e-16     -0.45882
_SET1_   ENSG00000034510     2   85097749   85168795     42       3  204402      0.87918     0.091637   -7.7716e-16      0.87918
_SET1_   ENSG00000016391     3   53811362   53915417     74      14  204402      0.51089      0.14646   -7.7716e-16      0.51089
_SET1_   ENSG00000187715     3  127599075  127741514    101      16  204402     -0.96067      0.66564   -7.7716e-16     -0.96067
_SET1_   ENSG00000075651     3  171283195  171563740    233      20  204402       2.2637    0.0021293   -8.8818e-16       2.2637
_SET1_   ENSG00000134851     4   56227124   56354564     83       7  204402      -1.1216      0.72063   -6.6613e-16      -1.1216
_SET1_   ENSG00000169116     4   75823305   76010325    127      19  204402      0.44508      0.16649   -7.2164e-16      0.44508
_SET1_   ENSG00000164128     4  164210113  164300984     99      15  204402      -1.3999      0.81766   -6.6613e-16      -1.3999
_SET1_   ENSG00000168412     4  187419809  187511721     60      14  204402       1.4864     0.021672   -6.6613e-16       1.4864
_SET1_   ENSG00000151883     5   49926733   50177356    137      12  204402      0.52892      0.14827   -7.7716e-16      0.52892
_SET1_   ENSG00000204463     6   31571805   31655482    100      16  204402       4.5229    2.365e-07   -8.8818e-16       4.5229
_SET1_   ENSG00000112096     6  160055089  160218561    110      11  204402     -0.21326      0.36875   -7.2164e-16     -0.21326
_SET1_   ENSG00000176623     8   87445486   87561586     90       7  204402      0.92472     0.072067   -7.7716e-16      0.92472
_SET1_   ENSG00000186638     9   34217379   34364198     82       9  204402      -1.4067      0.80832   -6.6613e-16      -1.4067
_SET1_   ENSG00000165280     9   35021061   35108246     46       7  204402       1.5175     0.020916   -6.6613e-16       1.5175
_SET1_   ENSG00000148154     9  114624046  114732649    111      22  204402       1.5795     0.017304   -6.6613e-16       1.5795
_SET1_   ENSG00000187908    10  124285181  124438252      2       1  204402       0.2685      0.23999   -7.2164e-16       0.2685
_SET1_   ENSG00000135451    12   49682019   49760514     31       5  204402      0.27806        0.233   -7.2164e-16      0.27806
_SET1_   ENSG00000135100    12  121381346  121475315     75      13  204402       7.1499   7.6052e-15   -8.8818e-16       7.1499
_SET1_   ENSG00000139687    13   48842887   49091122     95      11  204402       1.0562     0.070744   -6.6613e-16       1.0562
_SET1_   ENSG00000092108    14   31056318   31240018    128      13  204402      0.56773      0.13656   -7.7716e-16      0.56773
_SET1_   ENSG00000182718    15   60604333   60730082    114      15  204402      0.34242      0.18658   -7.2164e-16      0.34242
_SET1_   ENSG00000166949    15   67321101   67522533    211      38  204402       1.3449      0.03009   -6.6613e-16       1.3449
_SET1_   ENSG00000169896    16   31236311   31379213     64       8  204402      -1.1349       0.7271   -6.6613e-16      -1.1349
_SET1_   ENSG00000102921    16   48537637   48689059     93       4  204402       0.5245      0.14969   -7.7716e-16       0.5245
_SET1_   ENSG00000167772    19    8393173    8474257     30       8  204402     -0.22942      0.37558   -7.2164e-16     -0.22942
_SET1_   ENSG00000015475    22   18181906   18292536     89      22  204402       2.6955    0.0006416   -8.8818e-16       2.6955

# _SET2_  VARIABLE = WP_VITAMIN_B12_DISORDERS (set)
# _SET2_  NGENES = 11
# _SET2_  P-VALUE = 2.921e-07
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000164266     5  147169131  147246349     77      17  204402      0.40139      0.17551   -7.2164e-16      0.40139
_SET2_   ENSG00000178878    12   12843851   13017909    111      31  204402       0.6654      0.11975   -7.7716e-16       0.6654
_SET2_   ENSG00000161800    12   50335706   50461919     49       9  204402      0.13631      0.26395   -7.2164e-16      0.13631
_SET2_   ENSG00000172819    12   53569354   53661764     37       9  204402      -0.5847      0.53085   -7.7716e-16      -0.5847
_SET2_   ENSG00000123374    12   56325553   56401568     34       9  204402      -1.1405      0.73135   -6.6613e-16      -1.1405
_SET2_   ENSG00000119681    14   74929873   75114306    151      20  204402      0.11948      0.24797   -7.3552e-16      0.11948
_SET2_   ENSG00000142208    14  105200686  105297088     27       6  204402      0.71123      0.10708   -7.7716e-16      0.71123
_SET2_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET2_   ENSG00000197405    19   47758280   47860323     45       9  204402      0.06587       0.2778   -7.3552e-16      0.06587
_SET2_   ENSG00000160213    21   45157393   45231326     59      10  204402      -2.6732      0.98388   -8.8818e-16      -2.6732
_SET2_   ENSG00000217442    22   50954541   51036334     52      10  204402      -1.1024      0.71543   -6.6613e-16      -1.1024
