# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP (set)
# _SET1_  NGENES = 504
# _SET1_  P-VALUE = 1.35578e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000127472     1   20319672   20452683    438      40  195813      -1.7952      0.95319    8.5709e-14      -1.7952
_SET1_   ENSG00000158825     1   20880441   20980401    503      30  195813     -0.13684      0.47981    8.5626e-14     -0.13684
_SET1_   ENSG00000070831     1   22344120   22454437    403      25  195813       0.4474      0.26799    8.5598e-14       0.4474
_SET1_   ENSG00000162552     1   22408798   22505462    340      41  195813     -0.31469      0.59293    8.5598e-14     -0.31469
_SET1_   ENSG00000117632     1   26175672   26268482    121      11  195813      0.62315      0.19499    8.5598e-14      0.62315
_SET1_   ENSG00000130695     1   26525691   26640299    400      17  195813     -0.22991      0.49901    8.5626e-14     -0.22991
_SET1_   ENSG00000116350     1   29439255   29543499    250      28  195813     -0.89777      0.78894    8.5598e-14     -0.89777
_SET1_   ENSG00000116514     1   33367046   33465286    184      19  195813      0.97237       0.1295    8.5598e-14      0.97237
_SET1_   ENSG00000188910     1   35211790   35286970    285      35  195813      0.33067      0.32125    8.5598e-14      0.33067
_SET1_   ENSG00000116922     1   38112242   38192914    258      28  195813     -0.63645      0.68698    8.5598e-14     -0.63645
_SET1_   ENSG00000010803     1   41457872   41742826    734      26  195813    -0.081199      0.45455    8.5612e-14    -0.081199
_SET1_   ENSG00000132781     1   45759835   45841142    114      22  195813       1.5379     0.050825    8.5709e-14       1.5379
_SET1_   ENSG00000117450     1   45941708   46023719    187      12  195813     -0.11604      0.44549    8.5612e-14     -0.11604
_SET1_   ENSG00000123080     1   51391417   51475305    122      15  195813       1.9931     0.016051    8.5709e-14       1.9931
_SET1_   ENSG00000143006     1   53890072   53968161    259      18  195813     -0.69123      0.71969    8.5598e-14     -0.69123
_SET1_   ENSG00000058804     1   54196133   54339533    281      25  195813      0.99666      0.13214    8.5598e-14      0.99666
_SET1_   ENSG00000157216     1   54656105   54914152    798      85  195813      -2.3033      0.98903    8.5709e-14      -2.3033
_SET1_   ENSG00000162409     1   57075995   57216008    515      41  195813       -1.156      0.84402    8.5709e-14       -1.156
_SET1_   ENSG00000203965     1   63954043   64073364    295      15  195813     -0.67419      0.66704    8.5598e-14     -0.67419
_SET1_   ENSG00000162434     1   65263912   65467187    512      33  195813      0.04984      0.43542    8.5619e-14      0.04984
_SET1_   ENSG00000116729     1   68529142   68733803    793      84  195813       1.8406     0.033833    8.5709e-14       1.8406
_SET1_   ENSG00000137960     1   78410226   78639133    647      38  195813      -1.3755      0.89423    8.5709e-14      -1.3755
_SET1_   ENSG00000117155     1   85074390   85191486    295      26  195813     -0.43228      0.62201    8.5598e-14     -0.43228
_SET1_   ENSG00000069702     1   92110902   92406892   1068      83  195813       2.6592    0.0035759    8.5709e-14       2.6592
_SET1_   ENSG00000117500     1   93580299   93681285    203      19  195813      0.55801      0.23518    8.5598e-14      0.55801
_SET1_   ENSG00000121957     1  109382972  109512167    442      29  195813     -0.74526      0.72654    8.5598e-14     -0.74526
_SET1_   ENSG00000134184     1  110195436  110286661    268      37  195813       1.0655      0.12037    8.5709e-14       1.0655
_SET1_   ENSG00000134245     1  112974163  113107787    304      33  195813      -2.0915      0.97482    8.5709e-14      -2.0915
_SET1_   ENSG00000213190     1  150995234  151075970    199      27  195813       1.4129     0.069076    8.5709e-14       1.4129
_SET1_   ENSG00000160688     1  154920814  155000587     94      17  195813       2.5318    0.0044525    8.5709e-14       2.5318
_SET1_   ENSG00000185630     1  164489821  164903533   1222     124  195813     0.046196      0.51201    8.5619e-14     0.046196
_SET1_   ENSG00000143171     1  165335159  165449433    453      54  195813     -0.43928      0.64508    8.5598e-14     -0.43928
_SET1_   ENSG00000198821     1  167364877  167522847    553      89  195813     -0.60709      0.73987    8.5598e-14     -0.60709
_SET1_   ENSG00000174175     1  169523087  169634431    449      40  195813      0.57086      0.23852    8.5598e-14      0.57086
_SET1_   ENSG00000058085     1  183120373  183249035    407      27  195813       2.5984     0.002926    8.5709e-14       2.5984
_SET1_   ENSG00000162630     1  193113175  193190784    184      18  195813      0.28718      0.33665    8.5598e-14      0.28718
_SET1_   ENSG00000143476     1  212173919  212315742    462      37  195813     -0.90261      0.79845    8.5598e-14     -0.90261
_SET1_   ENSG00000162772     1  212703676  212829119    430      57  195813      -1.0424      0.84301    8.5709e-14      -1.0424
_SET1_   ENSG00000136636     1  215705735  215830149     93      25  195813      -1.6769      0.94884    8.5709e-14      -1.6769
_SET1_   ENSG00000116141     1  220666568  220872803    462      24  195813      -2.8887       0.9973    8.5709e-14      -2.8887
_SET1_   ENSG00000143819     1  225962794  226068260    395      42  195813     -0.40213      0.61554    8.5598e-14     -0.40213
_SET1_   ENSG00000143799     1  226513392  226630780    353      24  195813      0.46523      0.25378    8.5598e-14      0.46523
_SET1_   ENSG00000135744     1  230803269  230885043    403      35  195813       1.3014     0.077608    8.5709e-14       1.3014
_SET1_   ENSG00000135750     1  233714750  233843258    502      69  195813      0.53631      0.28467    8.5598e-14      0.53631
_SET1_   ENSG00000143669     1  235789341  236081940    488      26  195813     -0.59649      0.64583    8.5598e-14     -0.59649
_SET1_   ENSG00000151360     2    3670785    3785261    447      47  195813      0.49573      0.27589    8.5598e-14      0.49573
_SET1_   ENSG00000071575     2   12822015   12917860    235      29  195813       1.1985     0.088931    8.5709e-14       1.1985
_SET1_   ENSG00000115129     2   24265303   24343731    243      15  195813       1.9523     0.015854    8.5709e-14       1.9523
_SET1_   ENSG00000084733     2   26221976   26395323    372      19  195813     -0.55614      0.65017    8.5598e-14     -0.55614
_SET1_   ENSG00000138030     2   27274615   27358640    134      17  195813       1.0968       0.1026    8.5709e-14       1.0968
_SET1_   ENSG00000115234     2   27558389   27634995     96      12  195813      0.60657      0.21302    8.5598e-14      0.60657
_SET1_   ENSG00000152147     2   38943676   39047142    224      17  195813      -1.4251      0.88794    8.5709e-14      -1.4251
_SET1_   ENSG00000138079     2   44467599   44583633    352      22  195813      0.30969      0.31044    8.5598e-14      0.30969
_SET1_   ENSG00000116016     2   46485806   46648836    611      65  195813     -0.43875      0.64424    8.5598e-14     -0.43875
_SET1_   ENSG00000095002     2   47595108   47824450    748      66  195813     -0.25941      0.58584    8.5598e-14     -0.25941
_SET1_   ENSG00000068878     2   54056204   54232977    521      25  195813     -0.61162      0.66026    8.5598e-14     -0.61162
_SET1_   ENSG00000143995     2   66625584   66836001    470      65  195813      0.14959      0.42787    8.5626e-14      0.14959
