# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION (set)
# _SET1_  NGENES = 18
# _SET1_  P-VALUE = 3.83639e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000169403     1   28438677   28555447    173      20  215968     -0.28422      0.43825   -2.7756e-16     -0.28422
_SET1_   ENSG00000162366     1   47614265   47691716    176      26  219658       2.3154    0.0030104   -4.4409e-16       2.3154
_SET1_   ENSG00000116574     1  228835824  228917416    219      21  218910     -0.68324      0.59388   -3.3307e-16     -0.68324
_SET1_   ENSG00000187094     3   42264317   42342699    207      27  219719      -1.2648      0.79074   -2.2204e-16      -1.2648
_SET1_   ENSG00000163734     4   74867306   74939524     37      10  176631      0.87574      0.10831   -3.3307e-16      0.87574
_SET1_   ENSG00000081189     5   87978975   88234922    398      30  213521        5.563   4.5941e-10             0        5.563
_SET1_   ENSG00000131015     6  150228136  150305371    237      22  211924    -0.036206      0.33982   -2.7756e-16    -0.036206
_SET1_   ENSG00000154678     7   31755793   32373941   2045     118  217035       1.5481    0.0034733   -2.2204e-16       1.5481
_SET1_   ENSG00000105989     7  116881685  116998343    263      26  217405      0.82223      0.09422   -3.3307e-16      0.82223
_SET1_   ENSG00000147799     8  145719563  145946194    130       6  211555       1.6411     0.030081   -2.2204e-16       1.6411
_SET1_   ENSG00000107242     9   71285575   71659092    849      48  214596      0.19273      0.17804   -2.7756e-16      0.19273
_SET1_   ENSG00000110700    11   17060936   17134334    136      17  190873       2.2356    0.0033861   -4.4409e-16       2.2356
_SET1_   ENSG00000170890    12  120724914  120800592    167      16  206807       0.4129       0.1973   -2.7756e-16       0.4129
_SET1_   ENSG00000185344    12  124161865  124281302    356      17  217118      -0.5134      0.50451   -3.3307e-16      -0.5134
_SET1_   ENSG00000198807    14   37091773   37183920    241      22  221432    -0.080582      0.35237   -2.7756e-16    -0.080582
_SET1_   ENSG00000170345    14   75710477   75783933    193      33  220052        0.598      0.14493   -3.3307e-16        0.598
_SET1_   ENSG00000140465    15   74976883   75052951    106      16  220753     -0.80232      0.68963   -3.3307e-16     -0.80232
_SET1_   ENSG00000101150    20   62461596   62557898    170      18  200279       1.1697      0.05424   -2.2204e-16       1.1697
