# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = BIOCARTA_AT1R_PATHWAY (set)
# _SET1_  NGENES = 26
# _SET1_  P-VALUE = 1.00286e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000160712     1  154342669  154476926    365      32  195813       4.9416   1.6852e-07    8.5265e-14       4.9416
_SET1_   ENSG00000072694     1  161516101  161683444    461      37  195813     -0.50794      0.63749    8.5598e-14     -0.50794
_SET1_   ENSG00000115750     2    9948483   10109545    762      38  195813      -0.4556      0.61047    8.5598e-14      -0.4556
_SET1_   ENSG00000241553     3    9799179    9884410    213      21  195813      -1.1722      0.84223    8.5709e-14      -1.1722
_SET1_   ENSG00000118785     4   88861819   88939562    270      25  195813     -0.93714      0.78006    8.5598e-14     -0.93714
_SET1_   ENSG00000154447     4  169980407  170227256    621      43  195813       1.1313       0.1013    8.5709e-14       1.1313
_SET1_   ENSG00000012660     6   53097196   53248947    491      27  195813       1.1299     0.094538    8.5709e-14       1.1299
_SET1_   ENSG00000112367     6  109977499  110181631    528      32  195813      0.84032        0.155    8.5598e-14      0.84032
_SET1_   ENSG00000128602     7  128793713  128888386    243      32  195813     -0.53572      0.67028    8.5598e-14     -0.53572
_SET1_   ENSG00000164825     8    6693097    6770544    639      47  195813      -1.1253      0.83738    8.5709e-14      -1.1253
_SET1_   ENSG00000106829     9   82151688   82376658    502      48  195813       2.4388    0.0061552    8.5709e-14       2.4388
_SET1_   ENSG00000135047     9   90305434   90381308    271      24  195813      -1.9328      0.96088    8.5709e-14      -1.9328
_SET1_   ENSG00000048828     9   96179004   96363397    593      26  195813       1.4324     0.051593    8.5709e-14       1.4324
_SET1_   ENSG00000150867    10   22788778   23038484    789      37  195813        1.006        0.124    8.5709e-14        1.006
_SET1_   ENSG00000107562    10   44758038   44916941    652      58  195813       5.5541   9.3873e-09    8.5265e-14       5.5541
_SET1_   ENSG00000026103    10   90715414   90810542    365      38  195813       0.9338      0.14187    8.5598e-14       0.9338
_SET1_   ENSG00000167768    12   53033520   53109191    280      25  195813      -1.0822      0.81835    8.5709e-14      -1.0822
_SET1_   ENSG00000175336    12   56719353   56791607     66       8  195813       3.8059    6.439e-05    8.5709e-14       3.8059
_SET1_   ENSG00000017427    12  102754645  102909423    332      34  195813      -0.5822      0.70004    8.5598e-14      -0.5822
_SET1_   ENSG00000140545    15   89406916   89491642    287      29  195813      -1.1445      0.83729    8.5709e-14      -1.1445
_SET1_   ENSG00000002919    17   46145719   46235436    270      18  195813      0.81623      0.15603    8.5598e-14      0.81623
_SET1_   ENSG00000011422    19   44115247   44209699    322      50  195813      0.88661      0.17008    8.5598e-14      0.88661
_SET1_   ENSG00000188624    19   46588328   46662931    243      16  195813     -0.20986        0.543    8.5626e-14     -0.20986
_SET1_   ENSG00000171049    19   52220279   52308779    405      59  195813      0.74245      0.21338    8.5598e-14      0.74245
_SET1_   ENSG00000101439    20   23573534   23654110    259      12  195813       1.4115     0.047601    8.5709e-14       1.4115
_SET1_   ENSG00000100197    22   42487501   42561908    256      14  195813      -1.4147      0.87755    8.5709e-14      -1.4147
