# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 6.69936e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000084636     1   32082848   32204920    180      20  210265       1.6174     0.017842   -2.2204e-16       1.6174
_SET1_   ENSG00000164070     4  128667976  128796888    130      14  214937      0.76274      0.13305   -3.3307e-16      0.76274
_SET1_   ENSG00000244067     6   52579897   52663367    194      17  220013      0.56302      0.15777   -3.3307e-16      0.56302
_SET1_   ENSG00000128585     7  130759855  131216395   1005      82  213987      0.23989      0.14575   -2.7756e-16      0.23989
_SET1_   ENSG00000136824     9  106821541  106938698    355      16  217826      -1.3366      0.80069   -2.2204e-16      -1.3366
_SET1_   ENSG00000165655    10   77122588   77196664     78      18  178964       1.9334     0.010126   -2.2204e-16       1.9334
_SET1_   ENSG00000092108    14   31056318   31240018    404      26  215522       1.2248     0.040952   -2.2204e-16       1.2248
_SET1_   ENSG00000069869    15   56084120   56320944    845      29  218423      0.40991      0.13883   -2.7756e-16      0.40991
_SET1_   ENSG00000167513    16   88834621   88910666     66       9  208323      -1.7881      0.91801   -2.2204e-16      -1.7881
_SET1_   ENSG00000101096    20   49968494   50214370    643      79  214585      0.14454       0.2009   -2.7756e-16      0.14454
_SET1_   ENSG00000160298    21   47685095   47778789    275      19  192673      0.68395      0.11161   -3.3307e-16      0.68395
