# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KOBAYASHI_RESPONSE_TO_ROMIDEPSIN (set)
# _SET1_  NGENES = 18
# _SET1_  P-VALUE = 6.70848e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000130764     1    3661784    3748068     98      14  204402      -1.2605       0.7626   -6.6613e-16      -1.2605
_SET1_   ENSG00000184588     1   66223197   66875259    592      51  204402       6.4041   7.0804e-13   -8.8818e-16       6.4041
_SET1_   ENSG00000143546     1  153327508  153398664     44       4  204402       1.6417     0.018757   -6.6613e-16       1.6417
_SET1_   ENSG00000144231     2  128568840  128650731     49       8  204402     -0.61927       0.5342   -7.7716e-16     -0.61927
_SET1_   ENSG00000063660     2  241340088  241442493     72       8  204402    -0.037941       0.3094   -7.2858e-16    -0.037941
_SET1_   ENSG00000169313     3  151020168  151137600    167      17  204402       2.9833    0.0001896   -8.8818e-16       2.9833
_SET1_   ENSG00000134352     5   55195923   55325821     63      11  204402      0.46371      0.16708   -7.2164e-16      0.46371
_SET1_   ENSG00000112294     6   24460080   24572435    130      17  204402      0.23118      0.21818   -7.2164e-16      0.23118
_SET1_   ENSG00000204475     6   31521672   31595762     72      20  204402       5.8841   8.8077e-11   -8.8818e-16       5.8841
_SET1_   ENSG00000135312     6   78136948   78208490     92      15  204402        1.191     0.041617   -6.6613e-16        1.191
_SET1_   ENSG00000118515     6  134455384  134674250    164      42  204402     -0.80999      0.63303   -7.7716e-16     -0.80999
_SET1_   ENSG00000149575    11  117997666  118082388     92      19  204402       1.2328     0.038336   -6.6613e-16       1.2328
_SET1_   ENSG00000118181    11  118851422  118924401     41       7  204402     -0.44039      0.46382   -7.2164e-16     -0.44039
_SET1_   ENSG00000135100    12  121381346  121475315     75      13  204402       7.1499   7.6052e-15   -8.8818e-16       7.1499
_SET1_   ENSG00000102524    13  108868588  108995832     85      19  204402     -0.25628      0.39513   -7.2164e-16     -0.25628
_SET1_   ENSG00000102606    13  111731906  111993084    192      31  204402      0.72658      0.10327   -7.7716e-16      0.72658
_SET1_   ENSG00000005844    16   30448979   30569506     40      11  204402      -0.9615      0.66274   -7.7716e-16      -0.9615
_SET1_   ENSG00000108849    17   41983172   42054836     60       9  204402       -1.181      0.73834   -6.6613e-16       -1.181
