# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WP_MAPK_PATHWAY_IN_CONGENITAL_THYROID_CANCER (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 2.30511e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000134686     1   33754224   33931653    164      14  204402      0.08919      0.25551   -7.3552e-16      0.08919
_SET1_   ENSG00000138028     2   27286757   27376995     30       3  204402       3.0981   0.00015871   -8.8818e-16       3.0981
_SET1_   ENSG00000197980     3  156508270  156798918    228      21  204402      0.32612       0.1814   -7.2164e-16      0.32612
_SET1_   ENSG00000180104     5     408273     507052     75      10  204402      -2.5702      0.97874   -8.8818e-16      -2.5702
_SET1_   ENSG00000044115     5  137911656  138305723    212       9  204402       1.6823      0.01187   -6.6613e-16       1.6823
_SET1_   ENSG00000113328     5  162829575  162908157     62       9  204402      0.53651      0.14547   -7.7716e-16      0.53651
_SET1_   ENSG00000204386     6   31790436   31865683     47      10  204402       4.1016   1.9133e-06   -8.8818e-16       4.1016
_SET1_   ENSG00000066855     8   66521969   66718496     97      12  204402        1.811    0.0092526   -6.6613e-16        1.811
_SET1_   ENSG00000175216    11   46729598   46902847     76       6  204402       3.6761   1.7375e-05   -8.8818e-16       3.6761
_SET1_   ENSG00000067182    12    6402923    6486280     40      13  204402       1.7054     0.012103   -6.6613e-16       1.7054
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000090581    16    1366924    1448352     44       6  204402        1.918    0.0085092   -6.6613e-16        1.918
_SET1_   ENSG00000136444    17   48521161   48598336     49       8  204402      -1.3553      0.79285   -6.6613e-16      -1.3553
_SET1_   ENSG00000104904    19    2234485    2308487     27       9  204402      0.85077     0.087151   -7.7716e-16      0.85077
