# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_GLYCOGEN_METABOLISM (set)
# _SET1_  NGENES = 22
# _SET1_  P-VALUE = 9.04375e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000142945     1   45170490   45268439     31       4  204402      0.84259     0.091678   -7.7716e-16      0.84259
_SET1_   ENSG00000158773     1  160974041  161050767     37       7  204402       1.5854     0.017277   -6.6613e-16       1.5854
_SET1_   ENSG00000136518     3  179245668  179341196     39       5  204402      0.66878       0.1179   -7.7716e-16      0.66878
_SET1_   ENSG00000072274     3  195719054  195844060     65      11  204402       1.0804     0.053142   -6.6613e-16       1.0804
_SET1_   ENSG00000118513     6  135467453  135575311     74      12  204402      0.34268      0.18775   -7.2164e-16      0.34268
_SET1_   ENSG00000111962     6  149033464  149433126    468      73  204402     -0.48777       0.4886   -7.2164e-16     -0.48777
_SET1_   ENSG00000078668     8   42214142   42298415     28       6  204402      0.31524      0.28874   -7.2164e-16      0.31524
_SET1_   ENSG00000147804     8  145600126  145677279     27       4  204402    -0.055815      0.31966   -7.2858e-16    -0.055815
_SET1_   ENSG00000136897     9  104114915  104195896     96      13  204402      0.57686      0.13295   -7.7716e-16      0.57686
_SET1_   ENSG00000148468    10   15218642   15448061    243      35  204402     -0.53528      0.49112   -7.7716e-16     -0.53528
_SET1_   ENSG00000026025    10   17235258   17314592     71      12  204402      0.27713      0.20861   -7.2164e-16      0.27713
_SET1_   ENSG00000025434    11   47234851   47325396     54       7  204402       5.8701   8.8764e-11   -8.8818e-16       5.8701
_SET1_   ENSG00000137486    11   74940226   75097873    111      23  204402      0.88131     0.078782   -7.7716e-16      0.88131
_SET1_   ENSG00000198431    12  104574557  104779061    148      18  204402      0.43892      0.16278   -7.2164e-16      0.43892
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000167964    16    2155804    2239166      9       3  204402       2.4742    0.0018852   -8.8818e-16       2.4742
_SET1_   ENSG00000173801    17   39740692   39978183     95      18  204402      -2.0756      0.93653   -8.8818e-16      -2.0756
_SET1_   ENSG00000161542    17   74270567   74415602     74      15  204402      0.45639      0.16289   -7.2164e-16      0.45639
_SET1_   ENSG00000090339    19   10346511   10432291     40      13  204402       1.8182     0.009079   -6.6613e-16       1.8182
_SET1_   ENSG00000099901    22   20068461   20149878     62      10  204402      0.58403      0.13579   -7.7716e-16      0.58403
_SET1_   ENSG00000128342    22   30601436   30677840     46      12  204402      0.26678      0.21105   -7.2164e-16      0.26678
_SET1_   ENSG00000100097    22   38036615   38110813     31       7  204402      -1.6082      0.85783   -6.6613e-16      -1.6082
