# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = DACOSTA_UV_RESPONSE_VIA_ERCC3_DN (set)
# _SET1_  NGENES = 804
# _SET1_  P-VALUE = 3.94253e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000142655     1   10497345   10725815    475      38  1559377     -0.29696      0.21398   -7.7716e-16     -0.29696
_SET1_   ENSG00000189337     1   14890200   15479539   1911     196  1570153        -2.16      0.44688   -8.8818e-16        -2.16
_SET1_   ENSG00000065526     1   16139359   16301955    288      21  1567607       2.8049   9.6859e-05   -8.8818e-16       2.8049
_SET1_   ENSG00000075151     1   21097963   21538377    496      37  1545499       1.2685     0.022758   -8.8818e-16       1.2685
_SET1_   ENSG00000133216     1   23002332   23276818    559      66  1571218       2.2559   0.00028213   -8.8818e-16       2.2559
_SET1_   ENSG00000117318     1   23849409   23921285    117      21  1577891     -0.29981      0.24131   -7.7716e-16     -0.29981
_SET1_   ENSG00000126705     1   27825546   27965942    164      23  1547197      -1.0358       0.6932   -8.8818e-16      -1.0358
_SET1_   ENSG00000134644     1   31369353   31573838    414      26  1564127      -1.3562      0.62255   -8.8818e-16      -1.3562
_SET1_   ENSG00000146463     1   35699568   35922659    223      16  1525272      0.45716      0.21285   -7.7716e-16      0.45716
_SET1_   ENSG00000127603     1   39511988   39987849    832      40  1572707    -0.026279      0.10139   -7.8756e-16    -0.026279
_SET1_   ENSG00000117000     1   40592045   40741593    162      24  1562847    0.0014474      0.19467   -7.8648e-16    0.0014474
_SET1_   ENSG00000066136     1   41122320   41272275    348      29  1582787       1.5095    0.0057217   -8.8818e-16       1.5095
_SET1_   ENSG00000198815     1   42607210   42836548    371      25  1549910        1.732    0.0033522   -8.8818e-16        1.732
_SET1_   ENSG00000086015     1   46217659   46536796    586      13  1585839     -0.81111      0.36887   -7.7716e-16     -0.81111
_SET1_   ENSG00000123473     1   47680811   47814819    293      17  1590290       2.5396   0.00019526   -8.8818e-16       2.5396
_SET1_   ENSG00000085832     1   51784935   52020000    643      22  1582285      0.26963      0.12866   -7.7716e-16      0.26963
_SET1_   ENSG00000157077     1   52573046   52847358    348      20  1520216       1.0793      0.05901   -8.8818e-16       1.0793
_SET1_   ENSG00000162402     1   55497032   55715786    488      34  1587555       2.1336   0.00070436   -8.8818e-16       2.1336
_SET1_   ENSG00000177606     1   59211465   59284785    122      21  1560163      0.49088     0.078743   -7.7716e-16      0.49088
_SET1_   ENSG00000185483     1   64204693   64682181   1119      79  1585736     -0.29949     0.090937   -7.7716e-16     -0.29949
_SET1_   ENSG00000036549     1   77993101   78184104    335      22  1549174      -2.4808       0.9399   -8.8818e-16      -2.4808
_SET1_   ENSG00000162613     1   78374740   78479794    199      25  1567742      -1.1734      0.68728   -8.8818e-16      -1.1734
_SET1_   ENSG00000142875     1   84508745   84739181    346      31  1568346     -0.86434      0.43484   -7.7716e-16     -0.86434
_SET1_   ENSG00000065243     1   89114905   89336938    464      13  1586335      0.46126      0.08891   -7.7716e-16      0.46126
_SET1_   ENSG00000069702     1   92110902   92406892    928      80  1578376       -1.302      0.43539   -8.8818e-16       -1.302
_SET1_   ENSG00000067208     1   92939253   93292961    500      14  1579806      0.89939     0.031233   -7.7716e-16      0.89939
_SET1_   ENSG00000143033     1   93509792   93639638    250      32  1567616     -0.64488      0.37393   -7.7716e-16     -0.64488
_SET1_   ENSG00000137942     1   93878688   94055218    234      32  1572097     -0.39502      0.29991   -7.7716e-16     -0.39502
_SET1_   ENSG00000137936     1   93992347   94347706   1002      37  1579699      0.19711     0.050624   -7.7716e-16      0.19711
_SET1_   ENSG00000137962     1   94579544   94775624    364      38  1562696      0.21964      0.10833   -7.7716e-16      0.21964
_SET1_   ENSG00000117525     1   94959781   95042356    158      25  1562532      -3.2411      0.98855   -8.8818e-16      -3.2411
_SET1_   ENSG00000188641     1   97508299   98421605   1645     115  1567521     -0.61164     0.095455   -7.7716e-16     -0.61164
_SET1_   ENSG00000117620     1  100400345  100527535    374      23  1584224      0.92066     0.048062   -7.7716e-16      0.92066
_SET1_   ENSG00000085491     1  108641658  108778471    424      34  1585466       2.2056   0.00049172   -8.8818e-16       2.2056
_SET1_   ENSG00000116266     1  109254296  109387148    367      21  1562672        0.265      0.10083   -7.7716e-16        0.265
_SET1_   ENSG00000116473     1  112049840  112294313    685      61  1584627      0.54114     0.035598   -7.7716e-16      0.54114
_SET1_   ENSG00000081019     1  114269454  114390098    176      21  1573037      0.74416     0.044489   -7.7716e-16      0.74416
_SET1_   ENSG00000197323     1  114900399  115088781    415      24  1576010       1.6934    0.0039572   -8.8818e-16       1.6934
_SET1_   ENSG00000143379     1  150863739  150972213    210      21  1523490     -0.27548      0.25964   -7.7716e-16     -0.27548
_SET1_   ENSG00000143398     1  151135425  151257012    137      15  1567389      0.52757     0.076334   -7.7716e-16      0.52757
_SET1_   ENSG00000143554     1  153711830  153787633    113      21  1558850       2.7863   8.8453e-05   -8.8818e-16       2.7863
_SET1_   ENSG00000162733     1  162566163  162792190    470      39  1588496      -0.6365      0.35811   -7.7716e-16      -0.6365
_SET1_   ENSG00000143179     1  165761768  165915855    265      35  1560015      -1.2414       0.5875   -8.8818e-16      -1.2414
_SET1_   ENSG00000143155     1  168113171  168204950    213      23  1582463      -2.8834      0.97408   -8.8818e-16      -2.8834
_SET1_   ENSG00000075945     1  169855467  170089349    629      14  1600840      -1.6102      0.69892   -8.8818e-16      -1.6102
_SET1_   ENSG00000117523     1  171419651  171597650    448      26  1581831       1.7349    0.0024081   -8.8818e-16       1.7349
_SET1_   ENSG00000094975     1  172466489  172615971    248      24  1563078     -0.36661      0.27214   -7.7716e-16     -0.36661
_SET1_   ENSG00000076321     1  173649080  173790840    147      15  1570204      0.96414     0.032162   -7.7716e-16      0.96414
_SET1_   ENSG00000152061     1  174093548  174999445   1259      25  1577276       2.1495   7.3436e-05   -8.8818e-16       2.1495
_SET1_   ENSG00000135837     1  179888873  180119015    574      21  1587909     -0.38453      0.23768   -7.7716e-16     -0.38453
_SET1_   ENSG00000135862     1  182957595  183149727    567      16  1573850      -0.2734      0.18969   -7.7716e-16      -0.2734
_SET1_   ENSG00000143344     1  183570220  183932665    949      51  1581569     -0.55749      0.17427   -7.7716e-16     -0.55749
_SET1_   ENSG00000121481     1  184979496  185106740    155      17  1542477     -0.17227      0.27214   -7.7716e-16     -0.17227
_SET1_   ENSG00000151414     1  198091093  198326550    636      25  1575779       3.8777   2.7775e-07   -8.8818e-16       3.8777
_SET1_   ENSG00000118193     1  200485628  200624862    408      30  1573872      -1.3832      0.64406   -8.8818e-16      -1.3832
_SET1_   ENSG00000118200     1  200673686  200864832    464      28  1583192     -0.67547      0.34364   -7.7716e-16     -0.67547
_SET1_   ENSG00000117139     1  202661526  202813598    374      27  1583267     0.067447      0.14069   -7.9103e-16     0.067447
_SET1_   ENSG00000058668     1  203560689  203748209    409      52  1563216      -2.0648      0.84532   -8.8818e-16      -2.0648
_SET1_   ENSG00000163486     1  206481200  206672783    276      31  1552692      -2.0518      0.87373   -8.8818e-16      -2.0518
_SET1_   ENSG00000066027     1  212423879  212570200    331      25  1572943     -0.90021      0.46652   -7.7716e-16     -0.90021
_SET1_   ENSG00000117724     1  214741538  214872931    435      27  1566175      0.80984     0.036422   -7.7716e-16      0.80984
_SET1_   ENSG00000092969     1  218484577  218652961    314      35  1582104      0.30427      0.10175   -7.7716e-16      0.30427
_SET1_   ENSG00000143514     1  223932601  224068674    291      18  1572961      0.48052     0.082997   -7.7716e-16      0.48052
_SET1_   ENSG00000143748     1  224380036  224553089    361      27  1582853      -1.7451      0.80827   -8.8818e-16      -1.7451
_SET1_   ENSG00000182827     1  226297380  226409431    225      29  1567642       1.6014    0.0048643   -8.8818e-16       1.6014
_SET1_   ENSG00000143776     1  227142566  227541175   1693      29  1581352     -0.75875     0.083447   -7.7716e-16     -0.75875
_SET1_   ENSG00000069248     1  229542045  229679103    256      17  1554614      -1.3014      0.65816   -8.8818e-16      -1.3014
_SET1_   ENSG00000116984     1  236923610  237102281    426      26  1565518     -0.23283      0.20585   -7.7716e-16     -0.23283
_SET1_   ENSG00000182901     1  240896554  241555530   1990     171  1578322      -2.0099      0.36362   -8.8818e-16      -2.0099
_SET1_   ENSG00000143702     1  243252730  243453650    206      18  1523380         1.23     0.016014   -8.8818e-16         1.23
_SET1_   ENSG00000179456     1  244179585  244255778    182      46  1557859       3.6183   2.2532e-06   -8.8818e-16       3.6183
_SET1_   ENSG00000153207     1  246967400  247130280    334      34  1557005      -0.6585      0.35363   -7.7716e-16      -0.6585
_SET1_   ENSG00000134313     2    8830408    9012760    266      38  1545737       0.1876      0.13822   -7.7716e-16       0.1876
_SET1_   ENSG00000143797     2    8957820    9178942    339      23  1554999     -0.86542      0.51929   -7.7716e-16     -0.86542
_SET1_   ENSG00000151693     2    9311894    9580812    425      39  1568848      -1.5136      0.66683   -8.8818e-16      -1.5136
_SET1_   ENSG00000151694     2    9593615    9730921    238      22  1560781      -2.1505      0.87914   -8.8818e-16      -2.1505
_SET1_   ENSG00000115756     2   10408015   10602743    694      96  1569737     -0.43789      0.20551   -7.7716e-16     -0.43789
_SET1_   ENSG00000134318     2   11284887   11523456    594      28  1568442     -0.26384       0.1883   -7.7716e-16     -0.26384
_SET1_   ENSG00000151779     2   15272032   15736454   1043      28  1570340       1.9064   0.00025855   -8.8818e-16       1.9064
_SET1_   ENSG00000055917     2   20413452   20586995    338      21  1572746       0.2651      0.10973   -7.7716e-16       0.2651
_SET1_   ENSG00000119778     2   23936534   24184984    650      22  1586250       2.5546   0.00010365   -8.8818e-16       2.5546
_SET1_   ENSG00000198399     2   24390733   24618583    545      19  1572054     -0.36133      0.28521   -7.7716e-16     -0.36133
_SET1_   ENSG00000084676     2   24679783   25028571    708      35  1575229       2.4233   0.00014768   -8.8818e-16       2.4233
_SET1_   ENSG00000115163     2   26952157   27058935    226      18  1568897       3.0762   2.5139e-05   -8.8818e-16       3.0762
_SET1_   ENSG00000115207     2   27513716   27614868    116      19  1556926      0.71215     0.051213   -7.7716e-16      0.71215
_SET1_   ENSG00000163811     2   29082509   29206088    327      19  1587741        1.338    0.0094431   -8.8818e-16        1.338
_SET1_   ENSG00000021574     2   32253680   32417706    338      22  1536155       1.1558     0.017204   -8.8818e-16       1.1558
_SET1_   ENSG00000150938     2   36548069   36813278    691      59  1560711      0.71609     0.022747   -7.7716e-16      0.71609
_SET1_   ENSG00000115875     2   38935741   39013636    130      14  1547623     -0.74161       0.4336   -7.7716e-16     -0.74161
_SET1_   ENSG00000115904     2   39173537   39386486    386      16  1506633      0.76615     0.068809   -7.7716e-16      0.76615
_SET1_   ENSG00000152518     2   43414541   43488748    140      26  1553673     -0.22184      0.23032   -7.7716e-16     -0.22184
_SET1_   ENSG00000138095     2   44078647   44258144    646      30  1574130       2.0306   0.00059485   -8.8818e-16       2.0306
_SET1_   ENSG00000138032     2   44360108   44506523    325      23  1565669       1.3916    0.0085924   -8.8818e-16       1.3916
_SET1_   ENSG00000171150     2   46891091   47025268    496      31  1578766     -0.98204      0.45134   -7.7716e-16     -0.98204
_SET1_   ENSG00000095002     2   47595108   47824450    587      54  1568706      -1.7018      0.70921   -8.8818e-16      -1.7018
_SET1_   ENSG00000116062     2   47887669   48072240    478      45  1565453       0.7343     0.037067   -7.7716e-16       0.7343
_SET1_   ENSG00000068878     2   54056204   54232977    446      25  1576029       1.4314    0.0064451   -8.8818e-16       1.4314
_SET1_   ENSG00000085760     2   55428731   55531483    274      30  1543495      0.52143     0.085071   -7.7716e-16      0.52143
_SET1_   ENSG00000115464     2   61379598   61732904    639      25  1564940       0.6704     0.030186   -7.7716e-16       0.6704
_SET1_   ENSG00000082898     2   61669984   61800761    219      19  1575729       1.3696    0.0097386   -8.8818e-16       1.3696
_SET1_   ENSG00000115504     2   62865986   63308622    459      36  1576639      0.86731        0.026   -7.7716e-16      0.86731
_SET1_   ENSG00000198369     2   65502985   65694771    512      33  1570439      0.49823     0.051984   -7.7716e-16      0.49823
_SET1_   ENSG00000221823     2   68370989   68518369    241      16  1556656     0.087749      0.14922   -7.9103e-16     0.087749
_SET1_   ENSG00000116001     2   70401576   70510792    187       9  1574381     -0.16249       0.2614   -7.7716e-16     -0.16249
_SET1_   ENSG00000075292     2   71468691   71697199    627      31  1579592      0.88384     0.021452   -7.7716e-16      0.88384
_SET1_   ENSG00000115525     2   86031267   86151137    377      22  1577454     -0.36242      0.24865   -7.7716e-16     -0.36242
_SET1_   ENSG00000115548     2   86632770   86754839    275      20  1581529       1.2359     0.015163   -8.8818e-16       1.2359
_SET1_   ENSG00000075568     2   98337799   98647388    510      24  1539305      0.69875     0.039354   -7.7716e-16      0.69875
_SET1_   ENSG00000115594     2  102646004  102831334    527      38  1570844     -0.29854      0.19425   -7.7716e-16     -0.29854
_SET1_   ENSG00000135968     2  109030017  109160871    332      18  1570287      0.20562      0.11757   -7.7716e-16      0.20562
_SET1_   ENSG00000153201     2  109300937  109437267    102      22  1501980      0.17837      0.17492   -7.7716e-16      0.17837
_SET1_   ENSG00000125633     2  118638054  118806709    503      25  1581356     0.055091      0.12544    -7.841e-16     0.055091
_SET1_   ENSG00000088179     2  120482207  120776394    457      25  1575966     -0.32109       0.2564   -7.7716e-16     -0.32109
_SET1_   ENSG00000163083     2  121068719  121144384    220      42  1573800      -1.1032      0.54897   -8.8818e-16      -1.1032
_SET1_   ENSG00000074054     2  122060352  122442163    840      23  1565847      -1.3705      0.61742   -8.8818e-16      -1.3705
_SET1_   ENSG00000152127     2  134842554  135247192   1050      87  1576634      0.23975      0.03855   -7.7716e-16      0.23975
_SET1_   ENSG00000115839     2  135774835  135968964    275      12  1481718    -0.043181      0.23882    -7.841e-16    -0.043181
_SET1_   ENSG00000048991     2  136254025  136517840    289      16  1472627     0.039264       0.1884    -7.841e-16     0.039264
_SET1_   ENSG00000169554     2  145106648  145317147    285      51  1569173      0.75833     0.042531   -7.7716e-16      0.75833
_SET1_   ENSG00000168280     2  149597819  149918273    346      22  1551281     -0.60358      0.37395   -7.7716e-16     -0.60358
_SET1_   ENSG00000080345     2  152231397  152399527    335      26  1588608      -1.7897      0.77894   -8.8818e-16      -1.7897
_SET1_   ENSG00000115170     2  158557958  158767374    279      40  1553136        1.438     0.010691   -8.8818e-16        1.438
_SET1_   ENSG00000144283     2  159278476  159574391    939      30  1562962     -0.54087      0.18295   -7.7716e-16     -0.54087
_SET1_   ENSG00000123636     2  160140490  160508203   1030      58  1568091       2.8714   4.8553e-06   -8.8818e-16       2.8714
_SET1_   ENSG00000153250     2  161093662  161385305    642      36  1552121       2.8135   3.1877e-05   -8.8818e-16       2.8135
_SET1_   ENSG00000136560     2  161958419  162127732    249      23  1587453       1.6415    0.0064896   -8.8818e-16       1.6415
_SET1_   ENSG00000198648     2  168775530  169139651    935      51  1580353     -0.24429      0.10745   -7.7716e-16     -0.24429
_SET1_   ENSG00000172292     2  169277372  169666644    924      84  1566434       1.1583    0.0053541   -8.8818e-16       1.1583
_SET1_   ENSG00000152253     2  169655642  169804881    356      32  1552142     -0.42191      0.26642   -7.7716e-16     -0.42191
_SET1_   ENSG00000198586     2  171812333  172122824    669      32  1566532      0.29449     0.064871   -7.7716e-16      0.29449
_SET1_   ENSG00000115840     2  172605880  172899766    590      27  1588664       2.9367    2.321e-05   -8.8818e-16       2.9367
_SET1_   ENSG00000128708     2  172743958  172883599    271      22  1581570       2.5806    0.0002342   -8.8818e-16       2.5806
_SET1_   ENSG00000091409     2  173257082  173406181    567      33  1576156       -1.341      0.59728   -8.8818e-16       -1.341
_SET1_   ENSG00000172845     2  174736187  174865430    397      30  1579057       1.1342     0.015918   -8.8818e-16       1.1342
_SET1_   ENSG00000115966     2  175901978  176068110    344      25  1589469      -2.0469      0.88013   -8.8818e-16      -2.0469
_SET1_   ENSG00000128654     2  177099123  177237753    250      25  1564971      -2.2852      0.90852   -8.8818e-16      -2.2852
_SET1_   ENSG00000061676     2  183738843  183938586    460      34  1522498        1.784     0.003726   -8.8818e-16        1.784
_SET1_   ENSG00000170396     2  185428093  185839219    819      30  1589275       3.1469   3.5436e-06   -8.8818e-16       3.1469
_SET1_   ENSG00000003436     2  188293957  188465487    349      31  1574172      0.58702     0.055658   -7.7716e-16      0.58702
_SET1_   ENSG00000204262     2  189861622  190079605    571      23  1563501     -0.31867      0.22708   -7.7716e-16     -0.31867
_SET1_   ENSG00000064933     2  190614107  190777355    327      22  1585270     -0.14007      0.25946   -7.7716e-16     -0.14007
_SET1_   ENSG00000128641     2  192074911  192325115    408      22  1548571       -1.393      0.64481   -8.8818e-16       -1.393
_SET1_   ENSG00000115540     2  198345295  198453423     98      15  1544807       3.7181   1.6469e-06   -8.8818e-16       3.7181
_SET1_   ENSG00000119042     2  200099223  200370989    372      31  1582705      -1.6749      0.76282   -8.8818e-16      -1.6749
