# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MEDICUS_VARIANT_BCR_ABL_FUSION_KINASE_TO_RAS_ERK_SIGNALING_PATHWAY (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 5.78879e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000163206     1  152815793  152892523    102      17  195813       1.2744     0.081427    8.5709e-14       1.2744
_SET1_   ENSG00000198049     1  206188976  206266639    196      15  195813      0.66289      0.21643    8.5598e-14      0.66289
_SET1_   ENSG00000128683     2  171634723  171752661    332      30  195813     -0.81268      0.74897    8.5598e-14     -0.81268
_SET1_   ENSG00000112699     6    1589041    2280926   2076     119  195813       1.9151     0.031363    8.5709e-14       1.9151
_SET1_   ENSG00000096006     6   49660097   49747150    245      24  195813     -0.04244      0.45192    8.5619e-14     -0.04244
_SET1_   ENSG00000176406     8  104477976  105303322   2834      36  195813      0.81309       0.1549    8.5598e-14      0.81309
_SET1_   ENSG00000176697    11   27641440   27778605    266      28  195813       1.8271     0.024555    8.5709e-14       1.8271
_SET1_   ENSG00000152207    13   49245951   49318498    265      26  195813     -0.77372      0.74015    8.5598e-14     -0.77372
_SET1_   ENSG00000196547    15   91410448   91500814    279      29  195813       4.2108   6.7849e-06    8.5265e-14       4.2108
_SET1_   ENSG00000167526    16   89592065   89665950    241      24  195813       3.4384   0.00015134    8.5709e-14       3.4384
_SET1_   ENSG00000132589    17   27171353   27259697    115      19  195813       2.0827     0.013658    8.5709e-14       2.0827
_SET1_   ENSG00000104826    19   49484237   49555338    220      19  195813      -1.2471      0.85111    8.5709e-14      -1.2471
_SET1_   ENSG00000101439    20   23573534   23654110    259      12  195813       1.4115     0.047601    8.5709e-14       1.4115

# _SET2_  VARIABLE = MIKKELSEN_ES_ICP_WITH_H3K4ME3 (set)
# _SET2_  NGENES = 629
# _SET2_  P-VALUE = 5.87e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000067606     1    1946909    2151834    450      27  195813    -0.046461      0.43772    8.5619e-14    -0.046461
_SET2_   ENSG00000116213     1    3512331    3604325    303      38  195813     -0.10108      0.49376    8.5612e-14     -0.10108
_SET2_   ENSG00000169598     1    3738845    3836993    513      30  195813       1.0318      0.11082    8.5709e-14       1.0318
_SET2_   ENSG00000041988     1    6649926    6730646    194      22  195813     -0.25742      0.53477    8.5598e-14     -0.25742
_SET2_   ENSG00000171612     1    9564541    9680237    171      18  195813       1.3391     0.071315    8.5709e-14       1.3391
_SET2_   ENSG00000054523     1   10235863   10476661    754      19  195813      0.12907      0.35411    8.5626e-14      0.12907
_SET2_   ENSG00000009724     1   11051580   11142290    212      15  195813      -1.1529      0.83533    8.5709e-14      -1.1529
_SET2_   ENSG00000116649     1   11079641   11155081    175      10  195813     -0.77556      0.72165    8.5598e-14     -0.77556
_SET2_   ENSG00000028137     1   12192060   12304285    321      40  195813       1.1235      0.11516    8.5709e-14       1.1235
_SET2_   ENSG00000070831     1   22344120   22454437    403      25  195813       0.4474      0.26799    8.5598e-14       0.4474
_SET2_   ENSG00000184454     1   24847602   24970819    473      46  195813      -1.3671       0.8943    8.5709e-14      -1.3671
