# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG (set)
# _SET1_  NGENES = 25
# _SET1_  P-VALUE = 4.18101e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000143627     1  155224630  155306225     17       2  204402      -0.7182      0.59441   -1.1102e-16      -0.7182
_SET1_   ENSG00000116833     1  199961730  200181552    229      43  204402       1.1962      0.04347   -2.2204e-16       1.1962
_SET1_   ENSG00000162992     2  182502815  182580603     68       9  204402      0.70437      0.11271   -1.1102e-16      0.70437
_SET1_   ENSG00000163581     3  170679137  170779539     68       5  204402       3.6453   2.0973e-05             0       3.6453
_SET1_   ENSG00000114315     3  193818934  193891521     45      11  204402      -0.8133      0.62042   -1.1102e-16      -0.8133
_SET1_   ENSG00000163623     4   85378140   85454603     42       8  204402       2.2497      0.00279             0       2.2497
_SET1_   ENSG00000106633     7   44148872   44272769     77      17  204402      0.98457     0.064838   -1.1102e-16      0.98457
_SET1_   ENSG00000180535     7   97805739   97877291     42       8  204402     0.092104      0.26734    -1.249e-16     0.092104
_SET1_   ENSG00000106331     7  127215346  127290982     40       7  204402      0.95841      0.07143   -1.1102e-16      0.95841
_SET1_   ENSG00000130675     7  156751745  156838345     50       9  204402      -1.4563      0.82517   -2.2204e-16      -1.4563
_SET1_   ENSG00000164749     8   76285149   76514078    265      22  204402      -1.1414      0.70641   -2.2204e-16      -1.1414
_SET1_   ENSG00000182759     8  144466352  144547576     32       9  204402     -0.22924      0.37645   -1.3878e-16     -0.22924
_SET1_   ENSG00000122859    10   71296454   71367994     87      19  204402       1.4028     0.026298   -2.2204e-16       1.4028
_SET1_   ENSG00000152804    10   94412945   94490403     35       7  204402       2.4023    0.0017363             0       2.4023
_SET1_   ENSG00000254647    11    2146009    2217571     44      10  204402       2.7221    0.0005431             0       2.7221
_SET1_   ENSG00000007372    11   31771340   31874509     43       9  204402      -1.0921      0.71348   -2.2204e-16      -1.0921
_SET1_   ENSG00000121351    12   21472893   21567912    104      17  204402     -0.67857      0.56152   -1.1102e-16     -0.67857
_SET1_   ENSG00000135100    12  121381346  121475315     75      13  204402       7.1499   7.6052e-15             0       7.1499
_SET1_   ENSG00000139515    13   28459157   28535368     52       8  204402      0.23099       0.2225   -1.3878e-16      0.23099
_SET1_   ENSG00000169856    15   53014637   53118273     75      15  204402       3.2236   9.1012e-05             0       3.2236
_SET1_   ENSG00000108753    17   36011435   36140237    101      34  204402       4.2307   1.1241e-06             0       4.2307
_SET1_   ENSG00000170608    19   46332247   46412055     38       8  204402       1.9352    0.0069225   -2.2204e-16       1.9352
_SET1_   ENSG00000125820    20   21456648   21529664     23       4  204402    -0.038738      0.31427   -1.3184e-16    -0.038738
_SET1_   ENSG00000125798    20   22526643   22601093     69       4  204402    -0.085739      0.37462    -1.249e-16    -0.085739
_SET1_   ENSG00000101076    20   42949340   43096485    124      26  204402       2.0977    0.0042788             0       2.0977

# _SET2_  VARIABLE = WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME (set)
# _SET2_  NGENES = 57
# _SET2_  P-VALUE = 4.8429e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000184371     1  110417864  110508614     75      19  204402       1.2773     0.035378   -2.2204e-16       1.2773
_SET2_   ENSG00000068654     2   86212339   86368278    126      10  204402     -0.13596      0.35088   -1.3878e-16     -0.13596
_SET2_   ENSG00000115594     2  102646004  102831334    282      27  204402       6.4023   1.2831e-12             0       6.4023
_SET2_   ENSG00000115598     2  102768433  102891462    221      21  204402       4.8332   3.1414e-08             0       4.8332
_SET2_   ENSG00000153093     2  111455150  111910799    383      35  204402      0.65414     0.099688   -1.1102e-16      0.65414
_SET2_   ENSG00000153094     2  111841955  111961024     94      11  204402       0.3251      0.18987   -1.1102e-16       0.3251
_SET2_   ENSG00000153107     2  112488848  112677267     54      10  204402       1.6817     0.013079   -2.2204e-16       1.6817
_SET2_   ENSG00000153208     2  112621056  112822138    181      13  204402       1.6225     0.013878   -2.2204e-16       1.6225
_SET2_   ENSG00000153214     2  112777800  112911895     72      12  204402       2.2883     0.002395             0       2.2883
_SET2_   ENSG00000144152     2  112860962  112980791     62      12  204402        2.628   0.00077156             0        2.628
_SET2_   ENSG00000144161     2  112934102  113047713     45       7  204402        1.929    0.0070014   -2.2204e-16        1.929
_SET2_   ENSG00000188177     2  112998171  113132640     50       5  204402       1.4362     0.025035   -2.2204e-16       1.4362
_SET2_   ENSG00000169629     2  113092669  113227065     12       4  204402      0.57138      0.13385   -1.1102e-16      0.57138
_SET2_   ENSG00000114999     2  113204731  113334316     50       8  204402     0.092533      0.26675    -1.249e-16     0.092533
_SET2_   ENSG00000125630     2  113264492  113369635     46       7  204402      0.20622      0.23004   -1.3878e-16      0.20622
_SET2_   ENSG00000125611     2  113306817  113381852     38       8  204402      0.14988      0.24598   -1.3878e-16      0.14988
_SET2_   ENSG00000144136     2  113368434  113456404     51       6  204402      0.46866      0.16194   -1.1102e-16      0.46866
_SET2_   ENSG00000144130     2  113444063  113535456     54       9  204402       1.5221     0.019182   -2.2204e-16       1.5221
_SET2_   ENSG00000169607     2  113458930  113557254     84      10  204402       2.1634    0.0033235             0       2.1634
_SET2_   ENSG00000115008     2  113496492  113577167     75       8  204402        2.559   0.00097455             0        2.559
_SET2_   ENSG00000125538     2  113552328  113629480     58       9  204402       3.8257    6.436e-06             0       3.8257
_SET2_   ENSG00000125571     2  113635548  113711459     93       8  204402       2.3221    0.0022433             0       2.3221
_SET2_   ENSG00000136688     2  113695780  113778242     88       8  204402       3.7716   7.9758e-06             0       3.7716
_SET2_   ENSG00000136694     2  113728038  113800621     58       7  204402       3.8274   6.4381e-06             0       3.8274
_SET2_   ENSG00000136696     2  113744668  113845444    141      17  204402        6.967   2.5868e-14             0        6.967
_SET2_   ENSG00000136695     2  113781215  113857959    144      17  204402       7.1069   8.7711e-15             0       7.1069
_SET2_   ENSG00000136697     2  113790547  113868427    151      17  204402       5.5475        5e-10             0       5.5475
_SET2_   ENSG00000136689     2  113829791  113926593    179      18  204402       5.5373        5e-10             0       5.5373
