# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 1.08785e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000079277     1   46988090   47117515     80      12  204402       1.1346     0.046704   -6.6613e-16       1.1346
_SET1_   ENSG00000116678     1   65851248   66142242    274      19  204402       7.7396   3.2597e-17   -8.8818e-16       7.7396
_SET1_   ENSG00000169231     1  155130379  155213842     24       4  204402       1.2219     0.040089   -6.6613e-16       1.2219
_SET1_   ENSG00000115008     2  113496492  113577167     75       8  204402        2.559   0.00097455   -8.8818e-16        2.559
_SET1_   ENSG00000003400     2  202012604  202129129     71      11  204402       1.0572     0.057001   -6.6613e-16       1.0572
_SET1_   ENSG00000204389     6   31748291   31820723     32      10  204402        3.352   6.9259e-05   -8.8818e-16        3.352
_SET1_   ENSG00000253958     8    8524448    8596616    105      12  204402        4.823   4.0046e-08   -8.8818e-16        4.823
_SET1_   ENSG00000155926     8  134013973  134150298    247      21  204402     -0.61093      0.50472   -7.7716e-16     -0.61093
_SET1_   ENSG00000150347    10   63626059   63891703    176      38  204402      0.86384     0.084628   -7.7716e-16      0.86384
_SET1_   ENSG00000135503    12   52310451   52425862     53      11  204402       1.0738     0.054772   -6.6613e-16       1.0738
_SET1_   ENSG00000110917    12  121089672  121174667     35       7  204402       5.5716        5e-10   -8.8818e-16       5.5716
_SET1_   ENSG00000103460    16   52436917   52616714    132      23  204402       1.6773     0.012944   -6.6613e-16       1.6773
_SET1_   ENSG00000205220    16   67933405   68005990     16       4  204402     -0.44751      0.51527   -7.2164e-16     -0.44751
_SET1_   ENSG00000141665    18   71705588   71850100    140      11  204402       1.9587    0.0071486   -6.6613e-16       1.9587
_SET1_   ENSG00000105058    19   16261191   16337857     37       5  204402       2.6404   0.00087062   -8.8818e-16       2.6404
