# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_DECTIN_2_FAMILY (set)
# _SET1_  NGENES = 25
# _SET1_  P-VALUE = 6.59791e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000048707     1   12255124   12607099    519      33  1492646     0.047468      0.20696    -7.841e-16     0.047468
_SET1_   ENSG00000188529     1   24256294   24342417      4       2  1474189       1.0306     0.019588   -8.8818e-16       1.0306
_SET1_   ENSG00000116212     1   54376750   54468841    202      21  1569616     -0.38077       0.3358   -7.7716e-16     -0.38077
_SET1_   ENSG00000143228     1  163201366  163360554    591      34  1573252      0.17474     0.085606   -7.7716e-16      0.17474
_SET1_   ENSG00000068878     2   54056204   54232977    446      25  1576029       1.4314    0.0064451   -8.8818e-16       1.4314
_SET1_   ENSG00000082898     2   61669984   61800761    219      19  1575729       1.3696    0.0097386   -8.8818e-16       1.3696
_SET1_   ENSG00000114738     3   50613951   50721720    119       8  1587089       1.2422     0.023337   -8.8818e-16       1.2422
_SET1_   ENSG00000174953     3  153955335  154077286    215      21  1563317     -0.49321      0.33289   -7.7716e-16     -0.49321
_SET1_   ENSG00000145147     4   20219883   20657184    989     125  1572840       1.6473    0.0010443   -8.8818e-16       1.6473
_SET1_   ENSG00000145632     5   57714809   57791087    281      23  1577056      0.94768     0.025887   -7.7716e-16      0.94768
_SET1_   ENSG00000169045     5  179006179  179096785    207      30  1567320      0.94598     0.027506   -7.7716e-16      0.94598
_SET1_   ENSG00000127920     7   93516011   93592922    211      34  1555457      -1.1818      0.59128   -8.8818e-16      -1.1818
_SET1_   ENSG00000180447     9   89524279   89597104    260      21  1570174     -0.45085      0.33979   -7.7716e-16     -0.45085
_SET1_   ENSG00000095585    10   97916458   98066344    405      55  1550486      0.47569     0.068954   -7.7716e-16      0.47569
_SET1_   ENSG00000213593    11   57445072   57543445    125      14  1570953       5.5266   4.7604e-11   -8.8818e-16       5.5266
_SET1_   ENSG00000175592    11   65624520   65703044    151      21  1535538       0.6286     0.060446   -7.7716e-16       0.6286
_SET1_   ENSG00000149294    11  112796997  113184158    974      71  1492726       6.0032   5.5039e-14   -8.8818e-16       6.0032
_SET1_   ENSG00000136003    12  108921358  108998160    241      26  1594737     0.019362      0.16677   -7.8756e-16     0.019362
_SET1_   ENSG00000092470    15   44084161   44195617    122      10  1570203       1.3717     0.015565   -8.8818e-16       1.3717
_SET1_   ENSG00000064270    16   84367133   84532793   1017      91  1571702      -1.2621      0.39387   -8.8818e-16      -1.2621
_SET1_   ENSG00000178999    17    8073056    8148918    167      24  1570669       4.0278   4.4145e-07   -8.8818e-16       4.0278
_SET1_   ENSG00000108424    17   45691842   45797871    160      21  1501397       3.0411    4.193e-05   -8.8818e-16       3.0411
_SET1_   ENSG00000169696    17   79899683   80010282    229      29  1537356       2.1658   0.00093013   -8.8818e-16       2.1658
_SET1_   ENSG00000196628    18   52854562   53367018    838      53  1595980       6.3681   4.3389e-15   -8.8818e-16       6.3681
_SET1_   ENSG00000242247    22   43157508   43289112    433      28  1565486       2.5669   0.00013083   -8.8818e-16       2.5669
